"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","15/158","67/9521",0.223880597014925,13.4909314188551,13.3279677203579,1.67587901904178e-13,3.40203440865481e-11,2.48735728089359e-11,"127/126/3939/125/55902/5313/130/230/10327/2203/229/5105/124/2538/2645",15,"Up_res_DEq_MS_BDM_vs_BT"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","15/158","73/9521",0.205479452054795,12.382087740593,12.6809830732312,6.47138288259661e-13,6.56845362583556e-11,4.80244729708486e-11,"1571/1548/127/126/316/125/1559/130/2944/1558/124/2330/2938/1549/1555",15,"Up_res_DEq_MS_BDM_vs_BT"
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","12/158","47/9521",0.25531914893617,15.3854026393752,12.8423282651591,9.0742755206453e-12,6.14025976896999e-10,4.48937841547715e-10,"127/126/3939/125/55902/5313/130/10327/32/5105/124/134526",12,"Up_res_DEq_MS_BDM_vs_BT"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","12/158","68/9521",0.176470588235294,10.6340282948622,10.356596373709,9.36994083893782e-10,4.75524497576094e-08,3.47674120602693e-08,"1548/127/126/316/125/1559/130/1558/124/8630/1549/1555",12,"Up_res_DEq_MS_BDM_vs_BT"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","12/158","79/9521",0.151898734177215,9.1533408107675,9.45271686671641,5.631431178245e-09,2.14922583993925e-07,1.57138109116637e-07,"1571/1548/127/126/125/1559/130/2944/124/2938/1549/1555",12,"Up_res_DEq_MS_BDM_vs_BT"
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","9/158","37/9521",0.243243243243243,14.657714676702,10.8124131237144,6.35239164514065e-09,2.14922583993925e-07,1.57138109116637e-07,"127/126/316/125/130/124/1644/6898/4282",9,"Up_res_DEq_MS_BDM_vs_BT"
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","8/158","39/9521",0.205128205128205,12.3609217786433,9.2349681864649,1.9148074295033e-07,5.55294154555956e-06,4.05996763248068e-06,"635/10840/27232/6470/10841/1491/23743/2653",8,"Up_res_DEq_MS_BDM_vs_BT"
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","12/158","117/9521",0.102564102564103,6.18046088932165,7.32393575253716,4.89874385153268e-07,1.24305625232642e-05,9.08845898771194e-06,"48/26007/6470/55902/5313/230/9104/2203/229/2653/6392/2645",12,"Up_res_DEq_MS_BDM_vs_BT"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","10/158","81/9521",0.123456790123457,7.43944366307236,7.56039291229065,8.13747960216909e-07,1.83545373248925e-05,1.34197032035771e-05,"1571/1548/51733/2990/2944/1806/7498/1807/2938/1549",10,"Up_res_DEq_MS_BDM_vs_BT"
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","7/158","35/9521",0.2,12.0518987341772,8.50881076147642,1.38091281405261e-06,2.6926348855507e-05,1.96868819736919e-05,"26007/230/3795/6652/2203/229/5207",7,"Up_res_DEq_MS_BDM_vs_BT"
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","11/158","107/9521",0.102803738317757,6.19490121850231,7.01974912930075,1.45906323847575e-06,2.6926348855507e-05,1.96868819736919e-05,"3939/2998/5836/5261/32/2203/5105/5256/2538/5207/2645",11,"Up_res_DEq_MS_BDM_vs_BT"
