"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","29/175","183/9521",0.158469945355191,8.62167056986729,14.2453588430568,1.80260615125006e-19,4.30822870148763e-17,3.43443908817116e-17,"4938/6772/23586/4939/6891/4940/64135/3106/5371/5610/3107/6773/6890/6672/684/3105/6892/3665/972/10379/7098/56829/567/3134/841/3133/55080/148022/4792",29,"Down_res_DEq_MS_BD_vs_BDM"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","27/175","205/9521",0.131707317073171,7.16563066202091,12.211367641984,4.5502785262437e-16,5.43758283886122e-14,4.33473901710584e-14,"4938/6772/9636/23586/4939/6891/4940/3106/5610/3107/6773/6890/3105/6892/3665/10379/958/567/3134/7128/8737/841/3133/55080/4792/10018/5600",27,"Down_res_DEq_MS_BD_vs_BDM"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","24/175","189/9521",0.126984126984127,6.90866213151927,11.2268340752938,5.13287330692572e-14,4.08918906785082e-12,3.2598248019423e-12,"4938/6772/4939/2633/4940/6773/115361/3665/834/2634/10616/10379/7128/8737/841/79792/2635/114769/8767/55072/148022/5580/4792/5600",24,"Down_res_DEq_MS_BD_vs_BDM"
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","15/175","82/9521",0.182926829268293,9.95226480836237,11.1404174145206,1.72700444824137e-11,1.03188515782422e-09,8.22599487188652e-10,"6891/3106/3107/6890/3105/6892/5720/972/5641/1520/567/3134/3133/55080/10437",15,"Down_res_DEq_MS_BD_vs_BDM"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","20/175","173/9521",0.115606936416185,6.2896779521057,9.60765814637196,4.3560182624917e-11,2.08217672947103e-09,1.65987222212842e-09,"4938/4599/6772/23586/4939/4940/64135/5371/5610/103/6773/3665/834/10379/7098/841/148022/8743/7113/4792",20,"Down_res_DEq_MS_BD_vs_BDM"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","18/175","159/9521",0.113207547169811,6.15913746630728,8.97668434243792,6.12987495386324e-10,2.44173352328886e-08,1.94650415201622e-08,"4938/3434/4599/6772/23586/4939/4940/5610/6773/3665/10379/7098/8737/100506658/841/148022/4792/9069",18,"Down_res_DEq_MS_BD_vs_BDM"
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","20/175","214/9521",0.0934579439252336,5.08464619492657,8.26953490314058,2.0082822987133e-09,6.85684956274971e-08,5.46615182055802e-08,"25939/6891/3106/3107/6890/684/3105/6892/567/3134/8737/841/3133/85363/55080/60489/2787/4792/5600/4775",20,"Down_res_DEq_MS_BD_vs_BDM"
"Human Diseases","Infectious disease: viral","hsa05162","Measles","16/175","139/9521",0.115107913669065,6.2625282631038,8.55221749960557,4.53228857225869e-09,1.35402121096229e-07,1.07940030470898e-07,"4938/4599/6772/23586/4939/4940/64135/5610/103/6773/3665/10379/7128/841/25898/4792",16,"Down_res_DEq_MS_BD_vs_BDM"
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","12/175","72/9521",0.166666666666667,9.06761904761905,9.40249944768418,6.00736298941842e-09,1.59528861607889e-07,1.27173415331548e-07,"9636/23586/64135/103/3665/57169/8737/841/79132/64343/4792/5600",12,"Down_res_DEq_MS_BD_vs_BDM"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","20/175","238/9521",0.0840336134453782,4.5719087635054,7.63605892000686,1.26524501176744e-08,3.02393557812417e-07,2.41062470663059e-07,"4938/4599/6772/9636/23586/4939/4940/64135/5610/103/6773/716/834/10379/715/7098/7113/4792/6167/5600",20,"Down_res_DEq_MS_BD_vs_BDM"
