"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","17/84","89/9521",0.191011235955056,21.6502140181915,18.4654035789041,9.93560465375381e-19,1.53008311667809e-16,1.33869199545314e-16,"7057/3915/375790/3339/7060/5649/1311/3911/3371/2335/7148/960/7059/3675/1292/1291/3918",17,"Down_res_DEq_MS_B2_vs_C"
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","19/84","154/9521",0.123376623376623,13.9841527520099,15.3255071871361,4.05024964497705e-17,3.11869222663233e-15,2.72858923451085e-15,"7057/3915/7060/5649/1311/2243/2266/3911/3371/2244/2335/29780/7148/7059/3675/83706/1292/1291/3918",19,"Down_res_DEq_MS_B2_vs_C"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","15/84","203/9521",0.0738916256157636,8.37526389866291,10.0208686657876,2.07094467403023e-10,1.06308493266885e-08,9.30108485178488e-09,"7057/3915/7060/5649/1311/3911/3371/2335/29780/7148/7059/3675/1292/1291/3918",15,"Down_res_DEq_MS_B2_vs_C"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","16/84","333/9521",0.048048048048048,5.44601744601745,7.79155114357954,2.57558089514458e-08,9.91598644630663e-07,8.67564090996068e-07,"7057/3915/7060/4599/5649/1311/3911/3371/2335/1026/7148/7059/3675/1292/1291/3918",16,"Down_res_DEq_MS_B2_vs_C"
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","16/84","362/9521",0.0441988950276243,5.00973428045251,7.33815682558574,8.25770718988618e-08,2.54337381448494e-06,2.22523477959038e-06,"7057/3915/7060/1969/5649/1311/3911/3371/2335/1026/7148/7059/3675/1292/1291/3918",16,"Down_res_DEq_MS_B2_vs_C"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","12/84","233/9521",0.0515021459227468,5.83752299202943,7.05311620188676,8.27879277734781e-07,2.12489014618594e-05,1.85909732543951e-05,"7057/375790/3339/7060/7431/1311/2335/7059/3675/1292/4811/1291",12,"Down_res_DEq_MS_B2_vs_C"
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","7/84","93/9521",0.0752688172043011,8.53136200716846,6.88567230193828,1.65962952121819e-05,0.000365118494668002,0.00031944748679087,"3915/1643/3911/2335/1026/3675/3918",7,"Down_res_DEq_MS_B2_vs_C"
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","5/84","50/9521",0.1,11.3345238095238,6.91223816713681,7.35428005390117e-05,0.0012903347650695,0.00112893267210455,"7057/7060/1311/7059/3040",5,"Down_res_DEq_MS_B2_vs_C"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","8/84","159/9521",0.050314465408805,5.70290506139563,5.64185077584261,7.54091745819837e-05,0.0012903347650695,0.00112893267210455,"7057/7060/4353/1311/10381/9902/7059/78989",8,"Down_res_DEq_MS_B2_vs_C"
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","5/84","75/9521",0.0666666666666667,7.55634920634921,5.37786477519286,0.000504225591586328,0.00776507411042945,0.0067937763919,"7057/5054/1643/50484/1026",5,"Down_res_DEq_MS_B2_vs_C"
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","4/84","59/9521",0.0677966101694915,7.68442292171106,4.85891826362742,0.001774391936793,0.024841487115102,0.021734178747321,"50484/9027/221357/2940",4,"Down_res_DEq_MS_B2_vs_C"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","7/84","204/9521",0.0343137254901961,3.88929738562092,3.93559518241488,0.00210063098260008,0.0269580976100344,0.0235860320853342,"7057/3339/2719/2335/1026/960/4318",7,"Down_res_DEq_MS_B2_vs_C"
