"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","11/101","73/9521",0.150684931506849,14.2046656720467,11.7266133886245,2.26885127268515e-10,3.56209649811568e-08,2.74650417219781e-08,"1558/1548/125/126/1559/1544/2326/2329/1576/1557/1549",11,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","8/101","68/9521",0.117647058823529,11.0902737332557,8.64622006787097,5.30098598843502e-07,4.16127400092149e-05,3.20849151931593e-05,"1558/1548/125/126/1559/1544/1576/1549",8,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","7/101","52/9521",0.134615384615385,12.6898324447829,8.75208666552844,1.10925072850762e-06,5.80507881252321e-05,4.47592399222373e-05,"6898/27232/26227/3939/883/1491/1036",7,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","7/101","67/9521",0.104477611940299,9.84882518102557,7.52608167769119,6.33224834079023e-06,0.000248540747376016,0.00019163383136602,"230/125/126/2821/3939/229/2645",7,"Up_res_DEq_MS_BD_vs_D"
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","7/101","71/9521",0.0985915492957746,9.29396179054525,7.26321684094006,9.35398037072214e-06,0.000293714983640675,0.000226464787922746,"1558/1548/1559/1544/1576/1557/1549",7,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","5/101","30/9521",0.166666666666667,15.7112211221122,8.35616628461368,1.40391551283792e-05,0.000367357892525922,0.000283246112239229,"1558/1559/1544/1576/1557",5,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","7/101","79/9521",0.0886075949367089,8.3528011028951,6.79497832169999,1.90254791397497e-05,0.000426714317848671,0.000329012045273866,"1548/125/126/1559/1544/1576/1549",7,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","4/101","17/9521",0.235294117647059,22.1805474665114,9.05028254685496,2.55358924363357e-05,0.000445459456944967,0.000343465219903931,"80270/570/9420/51302",4,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","4/101","17/9521",0.235294117647059,22.1805474665114,9.05028254685496,2.55358924363357e-05,0.000445459456944967,0.000343465219903931,"570/2326/2329/1036",4,"Up_res_DEq_MS_BD_vs_D"
"Organismal Systems","Digestive system","hsa04976","Bile secretion","7/101","90/9521",0.0777777777777778,7.33190319031903,6.24928538846338,4.45885510771152e-05,0.000700040251910709,0.000539756144617711,"570/6580/64241/1576/10864/8671/486",7,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","5/101","42/9521",0.119047619047619,11.2223008015087,6.87457334165121,7.57679570921265e-05,0.00108141538758762,0.00083381005412388,"130013/64577/125061/883/1544",5,"Up_res_DEq_MS_BD_vs_D"
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","4/101","23/9521",0.173913043478261,16.3943176926388,7.65353354322419,9.04721909273512e-05,0.00118367783129951,0.000912658066372402,"10991/27165/8671/486",4,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","5/101","47/9521",0.106382978723404,10.0284390141142,6.42463733628021,0.000131013945046954,0.0015340947602273,0.0011828420880063,"134526/125/126/32/3939",5,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","6/101","75/9521",0.08,7.54138613861386,5.88884545651473,0.000136798258873772,0.0015340947602273,0.0011828420880063,"48/230/26227/229/5053/1491",6,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","4/101","27/9521",0.148148148148148,13.965529886322,6.98556034481001,0.000173563253310058,0.0018166287179786,0.00140068590390573,"9415/3992/6319/570",4,"Up_res_DEq_MS_BD_vs_D"
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","5/101","51/9521",0.0980392156862745,9.24189477771307,6.11069874811916,0.000194018089132801,0.00190380249961561,0.00146790001646527,"64241/350/341/344/345",5,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","7/101","117/9521",0.0598290598290598,5.63992553101464,5.22879169464664,0.000234432420164895,0.00216505235093462,0.001669333022846,"48/230/26007/26227/2821/229/2645",7,"Up_res_DEq_MS_BD_vs_D"
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","5/101","61/9521",0.0819672131147541,7.72683006005519,5.4573714583254,0.000451902967375513,0.00394159810433086,0.00303911352328561,"7018/4494/4495/486/4496",5,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","4/101","35/9521",0.114285714285714,10.7734087694484,5.99780352441362,0.00048521617980676,0.00400941790682428,0.00309140502369958,"230/26007/229/51171",4,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","3/101","16/9521",0.1875,17.6751237623762,6.91204737840213,0.000586924182362804,0.00450199021987583,0.00347119594559651,"6898/5053/4282",3,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","4/101","37/9521",0.108108108108108,10.1910623494782,5.79995349469407,0.000602177035779569,0.00450199021987583,0.00347119594559651,"6898/125/126/4282",4,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","4/101","39/9521",0.102564102564103,9.66844376745367,5.61664757090835,0.000737866903076136,0.00526568653558879,0.00406003319874429,"10841/27232/10840/1491",4,"Up_res_DEq_MS_BD_vs_D"
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","5/101","71/9521",0.0704225352112676,6.63854413610375,4.93780532898262,0.000909719967060995,0.00611538256128761,0.0047151793130947,"3939/5163/2645/9123/27165",5,"Up_res_DEq_MS_BD_vs_D"
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","6/101","107/9521",0.0560747663551402,5.28601832145831,4.61649664986349,0.00093483555077008,0.00611538256128761,0.0047151793130947,"32/3939/5261/5256/2645/5257",6,"Up_res_DEq_MS_BD_vs_D"
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","4/101","45/9521",0.0888888888888889,8.37931793179318,5.13763991723089,0.00127318202215305,0.00799558309912116,0.0061648813704253,"23460/64241/20/1672",4,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","5/101","81/9521",0.0617283950617284,5.81897078596749,4.50987511152847,0.00164696447956449,0.00994513166506251,0.0076680532449359,"1548/51733/1806/1576/1549",5,"Up_res_DEq_MS_BD_vs_D"
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","6/101","138/9521",0.0434782608695652,4.09857942315971,3.79651418815113,0.00341657149392122,0.0198667305387271,0.0153179618635844,"32/5261/5256/2645/5257/5507",6,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","3/101","31/9521",0.0967741935483871,9.12264452251677,4.69028137924405,0.00419831381790904,0.0235405453361328,0.0181506048518624,"230/2821/229",3,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","4/101","63/9521",0.0634920634920635,5.98522709413799,4.11063841265735,0.00440138621832419,0.0238281943543758,0.0183723925628778,"1558/1559/3248/1557",4,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","4/101","64/9521",0.0625,5.89170792079208,4.06562688866218,0.00465715746037942,0.0243724573759856,0.0187920388752152,"1544/1576/6716/9420",4,"Up_res_DEq_MS_BD_vs_D"
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","5/101","110/9521",0.0454545454545455,4.28487848784879,3.58799207070978,0.00618295761007363,0.0313136885413406,0.0241439770851772,"7018/230/3939/229/5163",5,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","3/101","40/9521",0.075,7.07004950495049,3.98335364492119,0.0086147313993936,0.0422660259282748,0.0325886220700745,"2821/2645/57733",3,"Up_res_DEq_MS_BD_vs_D"
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","3/101","41/9521",0.0731707317073171,6.89760927312243,3.9184784780598,0.00922427310456503,0.0438851781035367,0.0338370464760759,"27232/26227/1491",3,"Up_res_DEq_MS_BD_vs_D"
