"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","24/186","183/9521",0.131147540983607,6.71320289088666,11.0152927183705,9.85044745243351e-14,2.10799575482077e-11,1.59680937649975e-11,"4938/6772/23586/4939/4940/5610/64135/6773/6891/684/3106/5371/3665/10379/6890/3105/6672/3107/6892/972/3134/7098/567/55080",24,"Up_res_DEq_MS_BDM_vs_D"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","20/186","205/9521",0.0975609756097561,4.99396800419617,8.15989475174697,2.77256302345343e-09,2.91802513574147e-07,2.21040762864823e-07,"4938/6772/23586/4939/9636/4940/5610/6773/6891/3106/3665/10379/6890/3105/3107/6892/3134/7128/567/55080",20,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","12/186","67/9521",0.17910447761194,9.16803081367357,9.47032220257629,5.09007569096006e-09,2.91802513574147e-07,2.21040762864823e-07,"3939/5105/230/126/2821/124/125/7167/5211/229/2027/2645",12,"Up_res_DEq_MS_BDM_vs_D"
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","13/186","82/9521",0.158536585365854,8.11519800681878,9.13374134351062,5.45425259017097e-09,2.91802513574147e-07,2.21040762864823e-07,"6891/3106/5721/5720/6890/3105/3107/6892/972/1520/3134/567/55080",13,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","12/186","75/9521",0.16,8.19010752688172,8.82388483900536,1.93503161410118e-08,8.28193530835304e-07,6.27357618045435e-07,"48/230/875/26227/1491/84706/7167/383/5211/229/162417/2027",12,"Up_res_DEq_MS_BDM_vs_D"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","17/186","173/9521",0.0982658959537572,5.03005158804152,7.5507847560676,4.11804162626768e-08,1.46876818003547e-06,1.11259370253548e-06,"4938/4599/6772/23586/4939/4940/5610/64135/103/6773/5371/3665/10379/834/7098/8743/29107",17,"Up_res_DEq_MS_BDM_vs_D"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","17/186","189/9521",0.0899470899470899,4.6042271149798,7.0643705564618,1.51402609743046e-07,4.62859406928741e-06,3.50616569931264e-06,"4938/6772/4939/2633/4940/6773/10616/3665/10379/2634/115361/834/2635/7128/388646/114769/22900",17,"Up_res_DEq_MS_BDM_vs_D"
"Human Diseases","Infectious disease: viral","hsa05162","Measles","14/186","139/9521",0.100719424460432,5.1556432273536,6.96651739999977,5.0168912536324e-07,1.34201841034667e-05,1.01658059613078e-05,"4938/4599/6772/23586/4939/4940/5610/64135/103/6773/3665/10379/7128/25898",14,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","12/186","117/9521",0.102564102564103,5.25006892748828,6.52905578507949,2.77851817828311e-06,6.60669877947318e-05,5.00458244977309e-05,"48/26007/230/26227/2821/84706/9104/7167/5211/229/2027/2645",12,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","8/186","52/9521",0.153846153846154,7.87510339123242,7.01692173249907,6.58502133410173e-06,0.000140919456549777,0.000106746661626491,"6898/3939/875/635/26227/27232/1491/1036",8,"Up_res_DEq_MS_BDM_vs_D"
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","9/186","72/9521",0.125,6.39852150537634,6.49031753064685,1.00673133716491e-05,0.000195855005593901,0.000148360407582197,"23586/9636/64135/103/26007/3665/57169/79132/64343",9,"Up_res_DEq_MS_BDM_vs_D"
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","8/186","61/9521",0.131147540983607,6.71320289088666,6.31854061934078,2.21797012986997e-05,0.000395538006493479,0.000299620526315768,"4496/4495/4502/4494/4501/30061/475/4493",8,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","9/186","85/9521",0.105882352941176,5.41992409867173,5.77760827871545,3.91572032622091e-05,0.000644587807547135,0.000488276056872891,"122622/51251/129607/1890/7498/3251/271/2766/954",9,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","6/186","35/9521",0.171428571428571,8.77511520737327,6.50454735847402,5.19425082469694e-05,0.000773225927076045,0.000585719590603595,"26007/230/3795/7167/5211/229",6,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","5/186","22/9521",0.227272727272727,11.6336754643206,7.04812476687678,5.41980790006573e-05,0.000773225927076045,0.000585719590603595,"10841/55748/131669/3034/443",5,"Up_res_DEq_MS_BDM_vs_D"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","12/186","159/9521",0.0754716981132075,3.86325826739704,5.13916489074946,6.32661521321625e-05,0.000796447860994388,0.00060331023410298,"4938/4599/3434/6772/23586/4939/4940/5610/6773/3665/10379/7098",12,"Up_res_DEq_MS_BDM_vs_D"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","15/186","238/9521",0.0630252100840336,3.22614529682841,4.90925504465707,6.32692226023579e-05,0.000796447860994388,0.00060331023410298,"4938/4599/6772/23586/4939/9636/4940/5610/64135/103/6773/10379/834/7098/2197",15,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","6/186","39/9521",0.153846153846154,7.87510339123242,6.07266532220846,9.7850934404514e-05,0.00116333888680922,0.000881230637327202,"875/10841/635/10840/27232/1491",6,"Up_res_DEq_MS_BDM_vs_D"
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","9/186","107/9521",0.0841121495327103,4.30554718118782,4.85362185384862,0.000235934202627419,0.00265736417696146,0.00201295663183505,"3939/5105/5256/5261/2998/5211/5257/51422/2645",9,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","4/186","17/9521",0.235294117647059,12.0442757748261,6.43318846310568,0.000274998778892171,0.00288318576835574,0.00218401676501124,"6718/1582/80270/570",4,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","6/186","47/9521",0.127659574468085,6.53466026080988,5.36897017287227,0.000282929444558274,0.00288318576835574,0.00218401676501124,"3939/5105/126/124/125/134526",6,"Up_res_DEq_MS_BDM_vs_D"
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","5/186","31/9521",0.161290322580645,8.25615678113077,5.71178936729157,0.000303215121587029,0.00294945618271019,0.00223421668537811,"230/2821/9104/5211/229",5,"Up_res_DEq_MS_BDM_vs_D"
