Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	RNA Binding (GO:0003723)	101/1411	5.099093e-28	2.167114e-25	0	0	4.319213e+00	2.714337e+02	EIF4A1;RPL30;PEBP1;C4BPA;ENO1;RPL10A;RPS14;RPS16;SNRPD1;RPS18;SNRPD3;RPS10;RPS13;PDIA3;RPS9;ACTN1;RPL22;RPSA;HLA-A;EEF1A1;DDX39B;NCL;SUB1;SRSF3;PPIE;PFN1;EZR;PPIB;PPIA;KPNB1;ANKRD17;AARS1;VCP;DHX9;RTN4;HSP90B1;PRDX1;SPTBN1;HSPA9;HSPA8;XRCC6;XRCC5;HMGA1;PA2G4;EEF2;H1-0;H1-2;H1-5;CS;RPS25;HNRNPK;EIF5;EIF6;FASN;ACO1;UBA1;HNRNPC;YWHAE;ARF1;HSP90AB1;CLTC;RPLP0;GDI2;ADK;C1QBP;RACK1;METTL16;CCT3;HSP90AA1;YWHAZ;PSMA6;PKM;TCP1;MYH9;ANG;ALDOA;LRP1;RPL12;USO1;SRSF1;RRBP1;HSPD1;GANAB;RPS3;FLNA;FLNB;RPS2;RPS27A;HNRNPA1;CCT4;DYNC1H1;NPM1;MDH2;HSPE1;TUBB4B;ASS1;KRT18;PSMC1;P4HB;RAN;HSPA1A
GO_Molecular_Function_2023	Cadherin Binding (GO:0045296)	42/319	2.703789e-21	5.745551e-19	0	0	7.599344e+00	3.599021e+02	YWHAE;NOTCH3;HSP90AB1;USO1;OLA1;ENO1;RTN4;LDHA;ATIC;PRDX1;RACK1;FLNA;FLNB;CCT8;RPS2;CLIC1;SPTAN1;SPTBN1;HSPA8;RARS1;HSPA5;IDH1;SEPTIN9;EEF2;PAICS;PRDX6;YWHAZ;RAB11B;EEF1G;EIF5;HNRNPK;KRT18;PKM;FASN;MYH9;TAGLN2;EZR;PFN1;TLN1;ALDOA;RAN;HSPA1A
GO_Molecular_Function_2023	Endopeptidase Inhibitor Activity (GO:0004866)	25/112	9.377192e-19	1.328435e-16	0	0	1.392892e+01	5.782011e+02	APP;ITIH4;ITIH3;SERPINA1;ITIH2;SERPINC1;PROS1;SERPINE1;PZP;TFPI;SERPINA7;THBS1;SERPINA5;CST3;PCSK1N;SPOCK2;AMBP;SERPIND1;AHSG;APLP2;SERPINF1;SERPINF2;SERPING1;GAPDH;LTF
GO_Molecular_Function_2023	Endopeptidase Regulator Activity (GO:0061135)	14/42	1.014511e-13	1.077918e-11	0	0	2.366223e+01	7.079549e+02	ITIH4;ITIH3;ITIH2;PSMD14;SERPIND1;AHSG;PROS1;PZP;SERPINF2;TFPI;THBS1;CST3;PCSK1N;PSME2
GO_Molecular_Function_2023	Peptidase Inhibitor Activity (GO:0030414)	13/37	3.572965e-13	3.037020e-11	0	0	2.557740e+01	7.330535e+02	ITIH4;ITIH3;ITIH2;SERPIND1;AHSG;PROS1;PZP;SERPINF2;TFPI;THBS1;CST3;PCSK1N;GPC3
GO_Molecular_Function_2023	Serine-Type Endopeptidase Inhibitor Activity (GO:0004867)	13/53	6.189102e-11	4.383947e-09	0	0	1.533388e+01	3.604327e+02	APP;SERPINA1;AMBP;SERPIND1;SERPINC1;APLP2;SERPINF1;SERPINE1;SERPINF2;TFPI;SERPINA7;SERPINA5;SERPING1
GO_Molecular_Function_2023	Lipoprotein Particle Receptor Binding (GO:0070325)	10/27	1.080595e-10	6.560756e-09	0	0	2.758640e+01	6.330621e+02	RELN;LRP1;CLTC;APOA1;APOC3;APOE;APOB;CLU;HSPG2;HSP90B1
GO_Molecular_Function_2023	Protease Binding (GO:0002020)	18/125	1.757781e-10	9.338214e-09	0	0	8.006490e+00	1.798402e+02	VCP;SERPINA1;VWF;SERPINC1;SERPINE1;SERPINF2;CLTC;PZP;FN1;PLG;THBS1;SERPINA5;COMP;COL1A1;CST3;PSAP;CNTN1;RPS27A
GO_Molecular_Function_2023	Nucleosomal DNA Binding (GO:0031492)	9/34	2.768919e-08	1.307545e-06	0	0	1.683560e+01	2.929768e+02	H2AZ1;H1-5;RBBP4;HNRNPC;H1-1;MACROH2A1;H1-0;H3-3A;H1-2
GO_Molecular_Function_2023	Oxidoreductase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0016616)	13/95	1.139138e-07	4.841338e-06	0	0	7.463856e+00	1.193308e+02	G6PD;MDH2;DCXR;AKR1A1;AKR1C3;HSD17B4;PGD;DHRS2;ADH5;UGDH;LDHB;LDHA;PHGDH
