"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-6.70684,9.111655,-63.0553638840926,1.61440817827726e-11,1.30492613050151e-07,12.6847213540923,"Q6VBP1_HBV",1,-63.6610453822225,2.72743851897837e-11,2.20458855489022e-07,-6.70684,"Up in B1",6.65667245155404,"S","Large envelope protein","Q6VBP1_HBV"
-3.358755,11.3308475,-32.4745444305531,2.3298739002095e-09,9.41618536769668e-06,10.8871846199358,"TSP1_HUMAN",50,-33.1840282779338,3.12211441398419e-09,1.26180254041171e-05,-3.358755,"Up in B1",4.89900860255559,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-2.1323575,10.74027125,-27.1467961678453,8.87308982783541e-09,2.39070616927979e-05,10.1095205047622,"K1C19_HUMAN",26,-28.4022470592335,9.64625886414455e-09,2.59902367996268e-05,-2.1323575,"Up in B1",4.58518976358084,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
2.5373525,10.56944875,23.8074393135521,2.3566844206517e-08,3.80981603442554e-05,9.45784902117978,"NUA4L_HUMAN",5,23.1777744379671,4.19235923030042e-08,8.47170991462958e-05,2.5373525,"Up in CM",4.07202892360791,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-1.7244,13.45,-25.0564047637506,1.61133535493399e-08,3.25610591848287e-05,9.7196941021422,"FGL1_HUMAN",17,-21.4352352624261,7.36274157539022e-08,0.000119026080307758,-1.7244,"Up in B1",3.92435786808013,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
0.823849999999997,16.58655,18.670500223038,1.42592341850607e-07,0.000140554353183644,8.08489791116566,"ALDOC_HUMAN",31,20.2971311398383,1.09006774130262e-07,0.000146850292549152,0.823849999999997,"Up in CM",3.8331251839566,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-6.211475,8.1362125,-19.5198783831651,1.02669732057301e-07,0.000138313240703194,8.35092760440453,"GPC3_HUMAN",10,-19.1407983020064,1.66094157861725e-07,0.000188534491037542,-6.211475,"Up in B1",3.72460918711855,"GPC3","Glypican-3","GPC3_HUMAN"
-4.1746225,6.76469125,-19.0066244306666,1.25000106734616e-07,0.000140554353183644,8.19232429942288,"CLC11_HUMAN",7,-18.8325840341658,1.86598531275558e-07,0.000188534491037542,-4.1746225,"Up in B1",3.72460918711855,"CLEC11A","C-type lectin domain family 11 member A","CLC11_HUMAN"
-3.1380225,7.47468375,-18.4363912928404,1.56499960244067e-07,0.000140554353183644,8.00834963334813,"MIME_HUMAN",7,-18.3973285215637,2.20635262682277e-07,0.000198154980917871,-3.1380225,"Up in B1",3.70299500655988,"OGN","Mimecan","MIME_HUMAN"
0.619675000000001,12.7456125,13.1556768998603,1.84667719176347e-06,0.000785615354790742,5.81256822142905,"PURA1_HUMAN",29,17.0363715308643,3.82274711329817e-07,0.000288486802551491,0.619675000000001,"Up in CM",3.53987404978784,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
-5.7835075,8.68822125,-17.3455223337625,2.45241288987299e-07,0.000198228533888434,7.63185912482803,"TSP4_HUMAN",21,-16.972916383209,3.92596168262576e-07,0.000288486802551491,-5.7835075,"Up in B1",3.53987404978784,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-0.957802500000003,10.48374875,-15.2691778820679,6.2465351097631e-07,0.000391168337475665,6.8133483703364,"LAMC1_HUMAN",52,-16.4415664988803,4.92591984193009e-07,0.000331801750686008,-0.957802500000003,"Up in B1",3.47912132683707,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
-7.5034925,8.93487875,-15.7303420486812,5.02470951363462e-07,0.000369224790897351,7.00786701864172,"Q15194_HBV",5,-15.5075253111548,7.4696684718443e-07,0.000464441001983981,-7.5034925,"Up in B1",3.33306944666527,"PreC-C","Capsid protein","Q15194_HBV"
-4.5401475,7.59074375,-15.2542955525308,6.29121413730502e-07,0.000391168337475665,6.80694023724237,"COMP_HUMAN",5,-15.1062720210078,8.99850035884797e-07,0.000469147950453474,-4.5401475,"Up in B1",3.32869017661776,"COMP","Cartilage oligomeric matrix protein","COMP_HUMAN"
1.2160725,8.48015875,14.3449895320666,9.85071982384545e-07,0.000530822455574285,6.39903303168737,"PP13G_HUMAN",8,15.0636926159528,9.18058787023401e-07,0.000469147950453474,1.2160725,"Up in CM",3.32869017661776,"PPP1R3G","Protein phosphatase 1 regulatory subunit 3G","PP13G_HUMAN"
0.519575000000003,11.7247625,12.1108115914215,3.35520157332448e-06,0.00109597843028078,5.24093646917782,"MBL2_HUMAN",8,15.0393387372399,9.28661042590077e-07,0.000469147950453474,0.519575000000003,"Up in CM",3.32869017661776,"MBL2","Mannose-binding protein C","MBL2_HUMAN"
-3.7811675,7.74840875,-14.9874395330041,7.15690451574102e-07,0.000413208994290962,6.69060755758278,"FMOD_HUMAN",7,-14.8446728449512,1.01857614432706e-06,0.000484302998505625,-3.7811675,"Up in B1",3.31488284206142,"FMOD","Fibromodulin","FMOD_HUMAN"
-0.785250000000005,12.571225,-12.4357577583457,2.77291235744694e-06,0.00106730717072589,5.42483268973122,"LG3BP_HUMAN",20,-13.8937248441663,1.62731161943252e-06,0.00073075332332628,-0.785250000000005,"Up in B1",3.13622920087784,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-0.6451475,10.03530125,-12.0935627349258,3.38976379525169e-06,0.00109597843028078,5.23101308431245,"TBB3_HUMAN",8,-13.6647108634372,1.82987457575705e-06,0.000768086877975829,-0.6451475,"Up in B1",3.11458965432842,"TUBB3","Tubulin beta-3 chain","TBB3_HUMAN"
0.371549999999999,13.72815,9.75286616867432,1.56562023171306e-05,0.00269253368785887,3.71293315297419,"BUP1_HUMAN",23,13.5915426071574,1.90049951249741e-06,0.000768086877975829,0.371549999999999,"Non-significant",3.11458965432842,"UPB1","Beta-ureidopropionase","BUP1_HUMAN"
0.815824999999997,11.8032125,12.6134986251601,2.50317134736183e-06,0.00101165670003628,5.52302782729613,"VTDB_HUMAN",21,13.3882274120389,2.11351352647625e-06,0.000813501420690833,0.815824999999997,"Up in CM",3.08964168427887,"GC","Vitamin D-binding protein","VTDB_HUMAN"
1.03968,8.946705,13.3067911153999,1.70008002345224e-06,0.000785615354790742,5.8906841876433,"THRSP_HUMAN",5,12.5314371088709,3.36405552600108e-06,0.00123598458257576,1.03968,"Up in CM",2.90798694651584,"THRSP","Thyroid hormone-inducible hepatic protein","THRSP_HUMAN"
0.386274999999998,14.4518625,9.22094337642324,2.31827444074588e-05,0.00367423770677431,3.31346147689776,"PGDH_HUMAN",12,12.2568898186872,3.92868307010945e-06,0.0013322698861521,0.386274999999998,"Non-significant",2.87540778853373,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN"
-2.9685475,7.11750375,-12.3399562298443,2.93180068726005e-06,0.00107717022523286,5.3712110268777,"TESK1_HUMAN",4,-12.2448611118015,3.95576855964993e-06,0.0013322698861521,-2.9685475,"Up in B1",2.87540778853373,"TESK1","Dual specificity testis-specific protein kinase 1","TESK1_HUMAN"
-0.768124999999998,11.6772125,-11.2622543365957,5.6471455994239e-06,0.00156794479904986,4.73237352082679,"FLNC_HUMAN",102,-12.0582755177397,4.40416215005463e-06,0.00133344062112179,-0.768124999999998,"Up in B1",2.87502631892672,"FLNC","Filamin-C","FLNC_HUMAN"
