"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.472625,10.9497125,-57.4978411774948,6.63867521941436e-11,2.93757369630867e-07,15.1075510198099,"TRFM_HUMAN",39,-74.3479174882351,2.79746693828613e-12,2.29336339600697e-08,-1.472625,"Up in BDM",7.63952712347498,"MELTF","Melanotransferrin","TRFM_HUMAN"
-1.456025,11.3167875,-56.892523189232,7.16656183534685e-11,2.93757369630867e-07,15.058229769866,"ANXA3_HUMAN",21,-61.5433383291018,1.19641707074041e-11,4.90411357296492e-08,-1.456025,"Up in BDM",7.30943948067137,"ANXA3","Annexin A3","ANXA3_HUMAN"
-1.1194,14.730275,-42.9352453313572,5.47567305792952e-10,9.46530461404806e-07,13.5882809045781,"VIME_HUMAN",46,-56.8227654722684,2.2091643033634e-11,6.03690965299105e-08,-1.1194,"Up in BDM",7.21918532364977,"VIM","Vimentin","VIME_HUMAN"
0.864849999999995,15.505625,38.0538261016025,1.30806087997987e-09,1.53192615629642e-06,12.8722481779117,"TKFC_HUMAN",40,53.976278142037,3.27869820084832e-11,6.68571135128504e-08,0.864849999999995,"Up in BT",7.17485237755652,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN"
0.880375000000001,16.7730125,34.7952847586298,2.4939276234892e-09,1.99248066588808e-06,12.312358622008,"AL1L1_HUMAN",79,51.6067975860256,4.62859869180319e-11,6.68571135128504e-08,0.880375000000001,"Up in BT",7.17485237755652,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
-0.898325,12.6923875,-35.687023134864,2.07819717640902e-09,1.89300671691124e-06,12.472950346346,"LIMC1_HUMAN",62,-51.2346144271715,4.89317737347039e-11,6.68571135128504e-08,-0.898325,"Up in BDM",7.17485237755652,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN"
-1.338175,13.3568875,-42.6219460385405,5.7729352366724e-10,9.46530461404806e-07,13.5461895140854,"K2C7_HUMAN",37,-50.1452735381874,5.77119865669333e-11,6.75889808393884e-08,-1.338175,"Up in BDM",7.17012410214604,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
-1.49683,10.749635,-43.9955838563166,4.59145011298417e-10,9.46530461404806e-07,13.7271692183641,"ANGL3_HUMAN",22,-47.0001924902825,9.48935603337611e-11,9.72421759520217e-08,-1.49683,"Up in BDM",7.0121453316738,"ANGPTL3","Angiopoietin-related protein 3","ANGL3_HUMAN"
0.52125,15.033,23.2020381709577,4.5853110331847e-08,7.58060477919285e-06,9.53927345999887,"GDE_HUMAN",104,43.4236468423404,1.74188004190866e-10,1.36570205465904e-07,0.52125,"Up in BT",6.86464403720731,"AGL","Glycogen debranching enzyme","GDE_HUMAN"
-1.0602,13.916025,-35.8328445319552,2.01800706028093e-09,1.89300671691124e-06,12.4986614453894,"PLOD2_HUMAN",38,-43.1593212869539,1.82541367002828e-10,1.36570205465904e-07,-1.0602,"Up in BDM",6.86464403720731,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
0.661575000000001,14.7427625,28.9089183440963,9.46648054385057e-09,3.37418293471682e-06,11.0864004181988,"ACOHC_HUMAN",48,43.1375712062521,1.83248628949128e-10,1.36570205465904e-07,0.661575000000001,"Up in BT",6.86464403720731,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
0.942575000000005,17.6127375,34.4611334123272,2.67349198887154e-09,1.99248066588808e-06,12.2506557771678,"BHMT1_HUMAN",31,41.1232734087588,2.64444340816289e-10,1.80659558834328e-07,0.942575000000005,"Up in BT",6.74313905463748,"BHMT","Betaine--homocysteine S-methyltransferase 1","BHMT1_HUMAN"
0.701324999999997,15.9045625,31.5339290675226,5.06625384863014e-09,2.30739716950388e-06,11.6716496187199,"CP2E1_HUMAN",29,40.2918303097373,3.09282323189911e-10,1.95038191193145e-07,0.701324999999997,"Up in BT",6.70988033940452,"CYP2E1","Cytochrome P450 2E1","CP2E1_HUMAN"
-1.06357,9.86024,-33.1672007108176,3.52208563532478e-09,2.22108138756865e-06,12.0034983920193,"FIL1L_HUMAN",39,-39.0293994755675,3.94769171599886e-10,2.31165547769705e-07,-1.06357,"Up in BDM",6.63607689139523,"FILIP1L","Filamin A-interacting protein 1-like","FIL1L_HUMAN"
0.564950000000001,16.143,23.0095225512332,4.8670714563308e-08,7.58060477919285e-06,9.47910378875595,"FAS_HUMAN",149,38.2684917031202,4.59070457908425e-10,2.47321908246322e-07,0.564950000000001,"Up in BT",6.60673741130121,"FASN","Fatty acid synthase","FAS_HUMAN"
0.7187,14.35235,29.0080918137968,9.23627788617631e-09,3.37418293471682e-06,11.1097768329139,"CP2A6_HUMAN",38,38.0187081257025,4.82697064154813e-10,2.47321908246322e-07,0.7187,"Up in BT",6.60673741130121,"CYP2A6","Cytochrome P450 2A6","CP2A6_HUMAN"
-1.0296,12.1087,-33.6018976648235,3.20680252698322e-09,2.19078059301737e-06,12.0880224201826,"PEG10_HUMAN",23,-36.5828186295553,6.4831213234679e-10,3.12638991822293e-07,-1.0296,"Up in BDM",6.50495685844341,"PEG10","Retrotransposon-derived protein PEG10","PEG10_HUMAN"
