"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BM2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BM2_vs_BD"
6.10685,14.2297,239.606560895809,2.65734376988066e-15,1.39186613842144e-11,23.0395781357095,"MX1_HUMAN",43,-298.040713527484,6.39102217828031e-17,3.21517791827762e-13,-6.10685,"Up in BD",12.4927949895241,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",6.10685
5.2967,13.333625,231.576670182866,3.39562366045729e-15,1.39186613842144e-11,22.9580046270154,"IFIT1_HUMAN",34,-290.216329432111,7.84381048616155e-17,3.21517791827762e-13,-5.2967,"Up in BD",12.4927949895241,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",5.2967
5.3767,13.578375,175.649751599524,2.4790137221279e-14,6.77431816466817e-11,22.1406704634396,"IFIT2_HUMAN",29,-196.493590442128,1.57957682132245e-15,4.31645692706714e-12,-5.3767,"Up in BD",11.3648725884561,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",5.3767
4.9125,13.621925,146.012116497496,9.36337474970704e-14,1.53521892396197e-10,21.4266574230016,"IFIT3_HUMAN",30,-161.612217021985,7.11097406333262e-15,1.45739413428002e-11,-4.9125,"Up in BD",10.8364229827562,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",4.9125
3.16512499999999,14.8981625,124.124342700036,3.01014072095332e-13,4.11285560506256e-10,20.6845025033421,"STAT1_HUMAN",41,-153.34918690086,1.06508446623887e-14,1.74631249084525e-11,-3.16512499999999,"Up in BD",10.7578780396072,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",3.16512499999999
4.48247,11.344065,149.416887161742,7.9331596266961e-14,1.53521892396197e-10,21.523323968395,"ISG20_HUMAN",11,-124.272599089363,5.37259903935849e-14,7.34076115411015e-11,-4.48247,"Up in BD",10.1342589063113,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN",4.48247
2.90005,13.371125,100.005809507789,1.42286990354924e-12,1.29607638547741e-09,19.5384360722229,"RIGI_HUMAN",56,-121.108535149838,6.55223889338232e-14,7.67360777827832e-11,-2.90005,"Up in BD",10.1150004026986,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",2.90005
3.578175,11.9148875,113.607288991733,5.68900643534518e-13,6.66263925099426e-10,20.2359430222259,"OAS1_HUMAN",20,-118.639526476813,7.67778240984354e-14,7.81667830913231e-11,-3.578175,"Up in BD",10.1069777608129,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN",3.578175
5.053015,12.2827425,109.015659429331,7.65329635961314e-13,7.84271544451356e-10,20.0167529832634,"OAS2_HUMAN",31,-116.9366967593,8.58137408906938e-14,7.81667830913231e-11,-5.053015,"Up in BD",10.1069777608129,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",5.053015
2.31005,12.1325,92.1603010331338,2.55978862797086e-12,1.90774065200955e-09,19.0617120757523,"SAMH1_HUMAN",38,-113.372339884542,1.08897901514156e-13,8.92744996613053e-11,-2.31005,"Up in BD",10.0492725751306,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN",2.31005
