"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_BM2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
0.819575000000002,14.8217625,39.5195317259104,1.00208725523519e-09,6.74356776009671e-07,13.2387582553583,"ACOHC_HUMAN",48,74.4212215410246,2.08061165546379e-11,1.19334804908663e-07,0.819575000000002,"Up in BM2",6.92323287254698,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
0.814199999999998,14.011375,39.9187361815558,9.32023866229612e-10,6.74356776009671e-07,13.3033937808644,"PGDH_HUMAN",12,70.7867640997943,2.95273549198721e-11,1.19334804908663e-07,0.814199999999998,"Up in BM2",6.92323287254698,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN"
-1.380425,11.3545875,-49.1644171773017,2.07233092730037e-10,6.74356776009671e-07,14.5762363713531,"ANXA3_HUMAN",21,-62.9585181275576,6.69899541350588e-11,1.8049326642456e-07,-1.380425,"Up in BDM",6.74353899547137,"ANXA3","Annexin A3","ANXA3_HUMAN"
-1.828675,12.7523125,-49.6671714329097,1.92552201257178e-10,6.74356776009671e-07,14.6348624441322,"ANXA1_HUMAN",23,-55.2578363865805,1.6669556682676e-10,2.54971523126787e-07,-1.828675,"Up in BDM",6.59350832168175,"ANXA1","Annexin A1","ANXA1_HUMAN"
-1.129575,13.4611875,-43.0274948545783,5.42592513328527e-10,6.74356776009671e-07,13.7767545069998,"K2C7_HUMAN",37,-54.3211244585245,1.87841878357516e-10,2.54971523126787e-07,-1.129575,"Up in BDM",6.59350832168175,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
0.874499999999998,16.770075,40.7041274621515,8.09837365818418e-10,6.74356776009671e-07,13.4279048012875,"AL1L1_HUMAN",79,54.2624611242421,1.89265017785565e-10,2.54971523126787e-07,0.874499999999998,"Up in BM2",6.59350832168175,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
1.009975,14.0764625,39.0892182903908,1.08440680703199e-09,6.74356776009671e-07,13.1680413088375,"AL8A1_HUMAN",26,50.7935844148816,3.00228654521931e-10,3.46678316357252e-07,1.009975,"Up in BM2",6.46007332125359,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN"
-1.098225,11.1369125,-38.8278692375611,1.13814941849978e-09,6.74356776009671e-07,13.1245531891701,"TRFM_HUMAN",39,-48.9624355826744,3.87966758335478e-10,3.91991913453209e-07,-1.098225,"Up in BDM",6.40672289210932,"MELTF","Melanotransferrin","TRFM_HUMAN"
-1.956725,10.2717375,-43.888990572197,4.70266245976204e-10,6.74356776009671e-07,13.8991496162335,"SYUG_HUMAN",9,-45.7980057839056,6.18510860577891e-10,4.27535497895651e-07,-1.956725,"Up in BDM",6.36902782035061,"SNCG","Gamma-synuclein","SYUG_HUMAN"
1.21905,13.2591,38.6886715273344,1.16800629272985e-09,6.74356776009671e-07,13.1012225121691,"GNMT_HUMAN",15,45.7275125331156,6.25196291021029e-10,4.27535497895651e-07,1.21905,"Up in BM2",6.36902782035061,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN"
0.758025,15.8474375,32.4518219046387,4.14402689868041e-09,1.30277567237137e-06,11.9209421318813,"FTCD_HUMAN",36,44.6186217970647,7.42026676091498e-10,4.27535497895651e-07,0.758025,"Up in BM2",6.36902782035061,"FTCD","Formimidoyltransferase-cyclodeaminase","FTCD_HUMAN"
0.826775,15.0765375,36.4364588882699,1.79969285920208e-09,8.5570102240767e-07,12.706724650414,"PBLD_HUMAN",23,44.2373870225483,7.87815209764431e-10,4.27535497895651e-07,0.826775,"Up in BM2",6.36902782035061,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN"
-0.826924999999999,14.8179125,-33.7481718743286,3.12582724516531e-09,1.14845734648505e-06,12.1900220888598,"VNN1_HUMAN",18,-44.1688829854429,7.9638076537553e-10,4.27535497895651e-07,-0.826924999999999,"Up in BDM",6.36902782035061,"VNN1","Pantetheinase","VNN1_HUMAN"
1.27785,15.99125,41.8025737672609,6.68304255589245e-10,6.74356776009671e-07,13.5963572201549,"ALDOC_HUMAN",31,44.1663768907087,7.96696131900243e-10,4.27535497895651e-07,1.27785,"Up in BM2",6.36902782035061,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
1.0786,12.204425,35.8273347621895,2.03214338365953e-09,9.12545276117779e-07,12.5942374851823,"PURA1_HUMAN",29,44.0863921017001,8.06836743364313e-10,4.27535497895651e-07,1.0786,"Up in BM2",6.36902782035061,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
0.954274999999997,13.2854375,35.4219770631364,2.2057515885217e-09,9.3837316263268e-07,12.5179341256076,"BUP1_HUMAN",23,43.7857735333489,8.4629072947302e-10,4.27535497895651e-07,0.954274999999997,"Up in BM2",6.36902782035061,"UPB1","Beta-ureidopropionase","BUP1_HUMAN"
0.859774999999999,17.5713375,32.9818205033381,3.68793232544903e-09,1.24206487444186e-06,12.0326202929946,"BHMT1_HUMAN",31,43.4068274590287,8.99204048084029e-10,4.27545077686071e-07,0.859774999999999,"Up in BM2",6.36901808922062,"BHMT","Betaine--homocysteine S-methyltransferase 1","BHMT1_HUMAN"
-1.27305,10.861525,-40.5360893339682,8.3436574351764e-10,6.74356776009671e-07,13.4015560240406,"ANGL3_HUMAN",22,-42.6551330308504,1.01575189531625e-09,4.56129031657849e-07,-1.27305,"Up in BDM",6.34091228494488,"ANGPTL3","Angiopoietin-related protein 3","ANGL3_HUMAN"
1.017375,15.5818875,39.8816582591327,9.38291016483207e-10,6.74356776009671e-07,13.2974292503623,"TKFC_HUMAN",40,42.1486171877153,1.10402325005528e-09,4.69674733168252e-07,1.017375,"Up in BM2",6.32820280268828,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN"
