"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
3.466705,11.6836475,126.598245549577,2.31259292057672e-13,4.67317214425541e-10,20.5838132376315,"OAS1_HUMAN",20,148.750383049845,1.63734867163964e-13,8.02856172423611e-10,3.466705,"Up in D",9.09536224938813,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
4.9886,14.0209,207.084356561696,6.60090815057857e-15,2.66775702905633e-11,22.2453274730912,"MX1_HUMAN",43,139.169750180426,2.60899369817428e-13,8.02856172423611e-10,4.9886,"Up in D",9.09536224938813,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
4.726725,12.5484125,212.16116257653,5.54089955141839e-15,2.66775702905633e-11,22.3035198013667,"IFIT1_HUMAN",34,136.551783607986,2.97979527065549e-13,8.02856172423611e-10,4.726725,"Up in D",9.09536224938813,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
4.212675,12.4894625,181.586729830161,1.70615696844595e-14,4.59695559198286e-11,21.8935558599958,"IFIT2_HUMAN",29,119.56390789554,7.54941061368386e-13,1.52554714976017e-09,4.212675,"Up in D",8.81657436516728,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
2.503125,14.6632875,117.532502375417,3.95605627432436e-13,5.3294671442273e-10,20.2482876672069,"STAT1_HUMAN",41,110.59620364598,1.30262868008267e-12,1.88896386315176e-09,2.503125,"Up in D",8.72377635027504,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
2.429975,13.0265375,94.881654347721,1.85760965437525e-12,1.8768823545394e-09,19.1594054164623,"RIGI_HUMAN",56,109.438229560717,1.40217532833237e-12,1.88896386315176e-09,2.429975,"Up in D",8.72377635027504,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-3.173625,12.2534625,-92.7129589518471,2.19527727852482e-12,1.96043860180073e-09,19.0314510044315,"TSP1_HUMAN",50,-103.25108961993,2.10681212182886e-12,2.43276605439181e-09,-3.173625,"Up in BDM",8.61389965275096,"THBS1","Thrombospondin-1","TSP1_HUMAN"
4.141715,12.0642675,96.0983711607848,1.69426492089083e-12,1.8768823545394e-09,19.2290891311043,"OAS2_HUMAN",31,101.269729568498,2.41265780741525e-12,2.43768913216718e-09,4.141715,"Up in D",8.61302167886223,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-1.220425,11.4345875,-55.8828632862443,8.48633097980415e-11,3.1179551504435e-08,15.8143794081701,"ANXA3_HUMAN",21,-91.0388920977187,5.08213003050645e-12,4.5643174485093e-09,-1.220425,"Up in BDM",8.34062415800022,"ANXA3","Annexin A3","ANXA3_HUMAN"
1.608825,11.8522375,63.6992550429914,3.29972966038219e-11,1.56892440263937e-08,16.7123801111178,"SAMH1_HUMAN",38,87.1115332958948,6.91830634953615e-12,5.59206702233007e-09,1.608825,"Up in D",8.25242763210256,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
1.973265,10.8892175,67.6486614113412,2.13754246763117e-11,1.08324182186524e-08,17.1114663484763,"SLFN5_HUMAN",37,78.0139667977183,1.49628919750726e-11,1.09950050758647e-08,1.973265,"Up in D",7.95880456581028,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
4.2335,12.75225,121.741684274007,3.06796100214776e-13,4.95966575607207e-10,20.4099733047674,"IFIT3_HUMAN",30,72.6197038494848,2.46945776917901e-11,1.6633855956895e-08,4.2335,"Up in D",7.77900706366762,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
0.879850000000001,11.10925,42.948777984969,5.66122564438639e-10,1.27110241343264e-07,13.9099668681375,"PAR14_HUMAN",91,70.5553394965399,3.02111582114917e-11,1.83949298576433e-08,0.879850000000001,"Up in D",7.73530186385332,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
3.7307,14.62545,67.6193618376037,2.14423718295729e-11,1.08324182186524e-08,17.1086253873842,"ISG15_HUMAN",15,69.8385128500054,3.24468505860206e-11,1.83949298576433e-08,3.7307,"Up in D",7.73530186385332,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-1.871575,12.7308625,-59.6930247947843,5.27299155266972e-11,2.36786615112385e-08,16.2715752812388,"ANXA1_HUMAN",23,-69.3332814976894,3.41363290689905e-11,1.83949298576433e-08,-1.871575,"Up in BDM",7.73530186385332,"ANXA1","Annexin A1","ANXA1_HUMAN"
1.144825,12.2375375,47.6893015189966,2.66230709732699e-10,7.24178774070912e-08,14.6809044594522,"PURA1_HUMAN",29,68.6364827761961,3.66339602508388e-11,1.85070187942206e-08,1.144825,"Up in D",7.73266353400204,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
-1.07845,14.69215,-48.0986357765902,2.5032386978921e-10,7.24178774070912e-08,14.7431136343862,"VNN1_HUMAN",18,-65.9033128901897,4.86685677529454e-11,2.31404725380622e-08,-1.07845,"Up in BDM",7.63562777681998,"VNN1","Pantetheinase","VNN1_HUMAN"
3.7710275,10.48766125,69.9543150626983,1.67819957319195e-11,9.68920510722181e-09,17.3297434959729,"ISG20_HUMAN",11,64.3104562277361,5.77456304625472e-11,2.46200978448085e-08,3.7710275,"Up in D",7.60871022543492,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
1.321325,14.7584375,52.8824788129547,1.26354076295065e-10,4.44052173344789e-08,15.4250437151314,"GBP1_HUMAN",22,64.2902971681221,5.78723071942794e-11,2.46200978448085e-08,1.321325,"Up in D",7.60871022543492,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN"
3.18225,14.386025,58.7352357563861,5.92575636801984e-11,2.52094151172128e-08,16.1603150239438,"OAS3_HUMAN",45,60.3556652075584,8.99818701449615e-11,3.56103249983131e-08,3.18225,"Up in D",7.44842406271075,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
1.178625,11.8194625,47.3100110285396,2.82003738329375e-10,7.35302005456883e-08,14.6226785885686,"5NT3A_HUMAN",23,60.1161468513247,9.25172367888873e-11,3.56103249983131e-08,1.178625,"Up in D",7.44842406271075,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
2.441975,11.4218875,78.278632650997,7.45240987031336e-12,5.01981908181191e-09,18.0389094130047,"DDX60_HUMAN",75,59.3910713521684,1.0070437192727e-10,3.69997017403691e-08,2.441975,"Up in D",7.43180177682582,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
4.2576325,8.94148375,58.1947193041272,6.33450893273604e-11,2.56009178516527e-08,16.0964665436508,"OASL_HUMAN",28,57.8582473148355,1.20891525788123e-10,4.24854870845826e-08,4.2576325,"Up in D",7.37175939831397,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
1.593325,10.9609125,50.0826736551944,1.87044470082778e-10,6.04752180671637e-08,15.0357166284325,"T23O_HUMAN",17,56.9028454558973,1.3580614242246e-10,4.57383770500311e-08,1.593325,"Up in D",7.3397192496707,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
-1.77385,14.676175,-52.0744474884978,1.4119357365887e-10,4.75528189951937e-08,15.3153795858876,"FIBB_HUMAN",38,-55.7074262398969,1.57521272113993e-10,5.09297776998962e-08,-1.77385,"Up in BDM",7.29302821944367,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
3.192555,10.0466725,91.4422679506314,2.4253848840786e-12,1.96043860180073e-09,18.9541681567069,"CMPK2_HUMAN",26,54.6834117738501,1.79319158999624e-10,5.45096795454571e-08,3.192555,"Up in D",7.26352637111941,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
0.948300000000007,16.042825,40.7737838694666,8.23113772682017e-10,1.7981698985375e-07,13.5217690935161,"AMPL_HUMAN",38,54.5638897641753,1.82081077289044e-10,5.45096795454571e-08,0.948300000000007,"Up in D",7.26352637111941,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN"
1.43695,11.672575,48.8180615012673,2.2491661763661e-10,6.99231161675661e-08,14.8508984658897,"E2AK2_HUMAN",23,53.2302330470036,2.16437596050581e-10,6.24808960313161e-08,1.43695,"Up in D",7.20425275091907,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
-1.80245,13.60575,-78.6730696149045,7.18677753223881e-12,5.01981908181191e-09,18.0697342881445,"FGL1_HUMAN",17,-51.4425606401907,2.74756384152733e-10,7.36194259740835e-08,-1.80245,"Up in BDM",7.1330075731602,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
2.2471275,10.12301125,77.025546138696,8.37343759882823e-12,5.20634585471758e-09,17.9394158485134,"HELZ2_HUMAN",117,51.3261752305841,2.79136956268369e-10,7.36194259740835e-08,2.2471275,"Up in D",7.1330075731602,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
2.7981225,10.13166375,56.3721005778566,7.96914117936802e-11,3.06736038823008e-08,15.8753239335954,"IFIH1_HUMAN",45,51.2422337306187,2.82345936557787e-10,7.36194259740835e-08,2.7981225,"Up in D",7.1330075731602,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-1.165325,14.7073125,-47.8848681067468,2.58491749990724e-10,7.24178774070912e-08,14.7107067974637,"VIME_HUMAN",46,-50.2210030457655,3.24962052652767e-10,8.20833834872598e-08,-1.165325,"Up in BDM",7.08574475019082,"VIM","Vimentin","VIME_HUMAN"
0.704799999999997,11.688575,31.873618212656,4.83841774534042e-09,5.43179592160926e-07,11.6433399818105,"DSRAD_HUMAN",59,49.1693213266571,3.76711733414842e-10,9.227154367249e-08,0.704799999999997,"Up in D",7.03493221372459,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
-1.941825,14.9081875,-44.3032273109801,4.52652800529949e-10,1.05592145842714e-07,14.1402252275856,"FIBA_HUMAN",43,-47.6583380497209,4.68430464136025e-10,1.11362454165044e-07,-1.941825,"Up in BDM",6.95326120680506,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
2.001,11.367025,45.085022255228,3.9904949740103e-10,1.00797408984141e-07,14.2693625389198,"STAT2_HUMAN",35,46.7141486350205,5.38652660841376e-10,1.2439798450231e-07,2.001,"Up in D",6.90518665603279,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
0.634075000000001,14.7290125,29.1642917110488,9.15504067901961e-09,9.13582639611303e-07,10.9536985833278,"ACOHC_HUMAN",48,46.4915711401947,5.56912349785653e-10,1.25042292314373e-07,0.634075000000001,"Up in D",6.90294307329375,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
2.260875,12.8562625,44.2415119932388,4.57221960224545e-10,1.05592145842714e-07,14.1299157304161,"UB2L6_HUMAN",12,45.810759322284,6.17310086183266e-10,1.34857227746469e-07,2.260875,"Up in D",6.87012577233835,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
1.091425,12.0409125,37.6410113399073,1.46347138925394e-09,2.75098586961386e-07,12.9183972455787,"ATTY_HUMAN",28,45.5450701931977,6.4288547559297e-10,1.36748507874157e-07,1.091425,"Up in D",6.86407740375545,"TAT","Tyrosine aminotransferase","ATTY_HUMAN"
-3.707695,10.9335275,-47.6263305254899,2.68778463715543e-10,7.24178774070912e-08,14.6712766588083,"TSP4_HUMAN",21,-44.4933962753219,7.56723093534587e-10,1.56835711924104e-07,-3.707695,"Up in BDM",6.80455504033994,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-0.756650000000002,12.92875,-33.4875630089303,3.39285275678e-09,4.28506700516449e-07,12.0244565726865,"MFGM_HUMAN",22,-43.3314926599917,9.10168110824866e-10,1.83922220994935e-07,-0.756650000000002,"Up in BDM",6.73536579728455,"MFGE8","Lactadherin","MFGM_HUMAN"
-1.0697,13.491125,-36.2086259869384,1.93467171742532e-09,3.00729836383632e-07,12.6231613177668,"K2C7_HUMAN",37,-42.2789763842069,1.08049544725952e-09,2.06075448687267e-07,-1.0697,"Up in BDM",6.68597374589556,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
-0.420150000000003,13.343725,-20.7717767716388,1.03652857862711e-07,4.60343983573786e-06,8.28671492902035,"ITAV_HUMAN",58,-42.2496906392609,1.08573077216568e-09,2.06075448687267e-07,-0.420150000000003,"Non-significant",6.68597374589556,"ITGAV","Integrin alpha-V","ITAV_HUMAN"
0.977725000000001,11.9565375,36.0567030950525,1.99407778462395e-09,3.04115674209725e-07,12.5910776999599,"TAP2_HUMAN",22,42.1911576674663,1.09628161493907e-09,2.06075448687267e-07,0.977725000000001,"Up in D",6.68597374589556,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
0.940475000000003,17.8911375,33.9106503738947,3.10008015215897e-09,4.04160449514531e-07,12.1210244768397,"LDHA_HUMAN",24,41.9322696725308,1.14437425432004e-09,2.06757558375197e-07,0.940475000000003,"Up in D",6.68453860510968,"LDHA","L-lactate dehydrogenase A chain","LDHA_HUMAN"
0.852149999999998,11.527125,32.2312401055964,4.46575015045771e-09,5.15666549516424e-07,11.7295863486108,"PARP9_HUMAN",37,41.8413690543607,1.16182885887258e-09,2.06757558375197e-07,0.852149999999998,"Up in D",6.68453860510968,"PARP9","Protein mono-ADP-ribosyltransferase PARP9","PARP9_HUMAN"
-1.344165,10.6929175,-37.0977894586313,1.62483976318066e-09,2.8551260447368e-07,12.8079491631938,"TRFL_HUMAN",33,-41.7654083493142,1.17664823521701e-09,2.06757558375197e-07,-1.344165,"Up in BDM",6.68453860510968,"LTF","Lactotransferrin","TRFL_HUMAN"
