"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
5.753575,13.6384125,214.312121678415,3.81670983770668e-15,3.12893872495193e-11,20.4780879682135,"MX1_HUMAN",43,285.675882739842,5.82398389757168e-17,4.77450199922927e-13,5.753575,"Up in D",12.321071920471,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
3.964825,12.9293625,155.568106600253,3.96059981603764e-14,1.62344986459383e-10,19.9346320796791,"IFIT1_HUMAN",34,201.058798314368,9.01500455758615e-16,3.69525036815456e-12,3.964825,"Up in D",11.432356131065,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
2.4032,13.039925,95.7104974937443,1.37424751545658e-12,2.14395827185231e-09,18.4625074434285,"RIGI_HUMAN",56,143.691588341414,1.23777150265539e-14,3.3824169262563e-11,2.4032,"Up in D",10.4707728610752,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
3.5419,12.82485,110.420544062685,4.83943753451836e-13,1.06811362287618e-09,18.9905230040963,"IFIT2_HUMAN",29,126.155824139724,3.41473681394141e-14,5.98946939941053e-11,3.5419,"Up in D",10.2226116495831,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
3.58365,13.077175,109.305710015786,5.211581472926e-13,1.06811362287618e-09,18.9557867482084,"IFIT3_HUMAN",30,125.069121408146,3.65300646463194e-14,5.98946939941053e-11,3.58365,"Up in D",10.2226116495831,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
2.63195,14.598875,93.9873148536492,1.56913267029933e-12,2.14395827185231e-09,18.3893941745916,"STAT1_HUMAN",41,120.887044793921,4.76217908463216e-14,6.50672402263574e-11,2.63195,"Up in D",10.1866376131199,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
2.49983,10.28081,76.1210749110076,7.30963274031862e-12,8.56062417216172e-09,17.4415403194945,"IFIH1_HUMAN",45,92.3619517594885,3.88099625574311e-13,4.54520104351172e-10,2.49983,"Up in D",9.34244690228652,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
1.803625,10.9740375,59.8625726914595,4.2173294261553e-11,3.14306060323829e-08,16.1478821672284,"SLFN5_HUMAN",37,72.9653413798735,2.43580849776847e-12,2.49609475808824e-09,1.803625,"Up in D",8.60273893175656,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
4.0396,14.471,62.2513290097436,3.17047156055238e-11,2.81948797621406e-08,16.3730232417532,"ISG15_HUMAN",15,62.9553917182252,7.68656444593426e-12,7.0016061475299e-09,4.0396,"Up in D",8.15480232270055,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
1.8957975,9.37312625,65.5397424582489,2.17811102704821e-11,2.23201927496765e-08,16.6609277131783,"HLAF_HUMAN",14,59.2968210724716,1.22507916739838e-11,1.00431990143319e-08,1.8957975,"Up in D",7.99812793131626,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN"
2.256725,11.5145125,49.5996618650347,1.66090916110715e-10,1.0473948694428e-07,14.995618458545,"DDX60_HUMAN",75,56.5020564829867,1.78388449289417e-11,1.32948046115877e-08,2.256725,"Up in D",7.87631804093737,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
