"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-2.093225,13.4453625,-47.7007283444336,2.12856128554749e-10,1.74499454189183e-06,12.1832030207301,"FGL1_HUMAN",17,-48.6008163970519,5.75897691866100e-11,4.66790820121191e-07,-2.093225,"Up in B2",6.33087769335056,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-3.2787775,11.23208625,-42.0253675906733,5.36353049164929e-10,2.19851114852704e-06,11.8070641595661,"TSP1_HUMAN",50,-44.5204090875242,1.13879194955158e-10,4.66790820121191e-07,-3.2787775,"Up in B2",6.33087769335056,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-0.863274999999998,10.5976875,-29.8962474746194,6.40139651744861e-09,1.74928828833479e-05,10.4818295666168,"LAMC1_HUMAN",52,-39.0418847021962,3.15846481129939e-10,8.63103150767747e-07,-0.863274999999998,"Up in B2",6.06393729799023,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
-0.944700000000005,12.5394,-26.4911139279067,1.54000810803058e-08,3.15624661740867e-05,9.89979209986919,"LG3BP_HUMAN",20,-27.8654018555737,4.30989623233391e-09,7.65757196090772e-06,-0.944700000000005,"Up in B2",5.11590891328361,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-0.851930000000003,10.06586,-22.8196146254206,4.53616458595102e-08,7.43749545512529e-05,9.10652380896276,"AGRIN_HUMAN",63,-27.0521709648886,5.41847017197873e-09,7.65757196090772e-06,-0.851930000000003,"Up in B2",5.11590891328361,"AGRN","Agrin","AGRIN_HUMAN"
-0.704474999999999,11.1580875,-22.1466962765705,5.63151874002106e-08,7.69453177178211e-05,8.93803790324207,"MX1_HUMAN",43,-26.9342494917433,5.60446837831743e-09,7.65757196090772e-06,-0.704474999999999,"Up in B2",5.11590891328361,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-2.1344275,8.71448625,-19.7589454855204,1.28214466725632e-07,0.000147387564647942,8.26978118250425,"PGBM_HUMAN",106,-20.7373180226807,4.19919253489357e-08,4.11808610318584e-05,-2.1344275,"Up in B2",4.38530457715763,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
-0.427325,13.3105125,-14.5482798789355,1.1460292790517e-06,0.000408484696941991,6.30753018265919,"FAT1_HUMAN",153,-20.4123545837191,4.74023824425557e-08,4.11808610318584e-05,-0.427325,"Non-significant",4.38530457715763,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
-0.588475000000003,13.4453125,-16.2832585168645,5.13638404273123e-07,0.000263175477389441,7.05401690922446,"APOB_HUMAN",239,-20.2198339237188,5.09760749899193e-08,4.11808610318584e-05,-0.588475000000003,"Up in B2",4.38530457715763,"APOB","Apolipoprotein B-100","APOB_HUMAN"
-0.573149999999996,13.437925,-16.8399683085359,4.03900031175598e-07,0.000236512318255539,7.27178875749248,"ITIH2_HUMAN",47,-20.1673756643251,5.20017503403666e-08,4.11808610318584e-05,-0.573149999999996,"Up in B2",4.38530457715763,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","ITIH2_HUMAN"
-4.8924225,7.41190375,-19.4459817597927,1.43827825955542e-07,0.000147387564647942,8.17315145027719,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-20.0083393672451,5.52560955538476e-08,4.11808610318584e-05,-4.8924225,"Up in B2",4.38530457715763,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN"
-0.6889,11.292125,-18.0681828557053,2.43887373611004e-07,0.000181762608078456,7.7193618100355,"K1C19_HUMAN",26,-19.7566960535268,6.08848751141834e-08,4.1594517182173e-05,-0.6889,"Up in B2",4.38096391250926,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
-5.8524175,8.77556625,-18.4102392008838,2.13166057449959e-07,0.000174753533897477,7.83653388312522,"TSP4_HUMAN",21,-19.0114408782667,8.17302695871571e-08,5.15403653904242e-05,-5.8524175,"Up in B2",4.28785250688557,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-0.587874999999997,14.0935625,-16.069777227651,5.64403580374672e-07,0.000272175326583033,6.96786139973936,"VIME_HUMAN",46,-18.78149580406,8.97042825828102e-08,5.25282649009913e-05,-0.587874999999997,"Up in B2",4.27960694445428,"VIM","Vimentin","VIME_HUMAN"
0.523425,17.6008375,15.7016968412006,6.6587672649906e-07,0.00030326985576885,6.81572170724604,"SCP2_HUMAN",39,18.5699043994233,9.78225441635156e-08,5.34632811368334e-05,0.523425,"Up in C",4.27194439133531,"SCP2","Sterol carrier protein 2","SCP2_HUMAN"
-4.0986375,7.60449375,-17.072185299445,3.66187509399224e-07,0.000233939459232786,7.35978245640701,"FMOD_HUMAN",7,-17.3489331237017,1.64410993254733e-07,8.0338838503257e-05,-4.0986375,"Up in B2",4.09507445136054,"FMOD","Fibromodulin","FMOD_HUMAN"
-0.5767475,10.09827625,-18.5753163150177,1.99927545948286e-07,0.000174753533897477,7.89198387039875,"SIL1_HUMAN",14,-17.3189007069287,1.66596761960889e-07,8.0338838503257e-05,-0.5767475,"Up in B2",4.09507445136054,"SIL1","Nucleotide exchange factor SIL1","SIL1_HUMAN"
