"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","CM_vs_B1"
6.70684,9.111655,62.935983920383,1.78610902845282e-11,1.46425218152562e-07,12.6113560370335,"Q6VBP1_HBV",1,-42.1910539394117,1.37713269528012e-10,1.12897338359064e-06,-6.70684,"Up in B1",5.94731629677828,"S","Large envelope protein","Q6VBP1_HBV",6.70684
3.358755,11.3308475,32.4135278519844,2.52316344304332e-09,1.03424469530346e-05,10.8209886657824,"TSP1_HUMAN",50,-34.2279351119624,7.12973838564405e-10,2.9224797642755e-06,-3.358755,"Up in B1",5.53424848728123,"THBS1","Thrombospondin-1","TSP1_HUMAN",3.358755
2.1323575,10.74027125,27.101040438366,9.54073819692801e-09,2.60716572461386e-05,10.0472803543151,"K1C19_HUMAN",26,-28.582570917513,2.93091649374773e-09,8.00921780524795e-06,-2.1323575,"Up in B1",5.09640989583237,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",2.1323575
1.7244,13.45,25.0176402831548,1.72639968918549e-08,3.53825616298566e-05,9.6597283333655,"FGL1_HUMAN",17,-25.7204460164918,6.69170405474062e-09,1.37146474601909e-05,-1.7244,"Up in B1",4.86281535160751,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",1.7244
-0.823849999999997,16.58655,-18.6575697399407,1.50414966055124e-07,0.000151817844043758,8.03674793529583,"ALDOC_HUMAN",31,21.5387687677287,2.67028052550706e-08,4.37819194962137e-05,0.823849999999997,"Up in CM",4.35870520191977,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN",-0.823849999999997
-2.5373525,10.56944875,-23.7623419516584,2.52738054266198e-08,4.14389313774858e-05,9.39715862651942,"NUA4L_HUMAN",5,20.5619076551719,3.83080807349941e-08,5.23416076442469e-05,2.5373525,"Up in CM",4.28115294237052,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",-2.5373525
6.211475,8.1362125,19.478603623678,1.09594675844515e-07,0.000149742858762222,8.29320917835037,"GPC3_HUMAN",10,-19.9104947825531,4.91883611200514e-08,5.76065977803116e-05,-6.211475,"Up in B1",4.23952777325235,"GPC3","Glypican-3","GPC3_HUMAN",6.211475
4.1746225,6.76469125,18.9670160497757,1.3328905610672e-07,0.000151817844043758,8.13538022686268,"CLC11_HUMAN",7,-18.9948948655078,7.08607962887486e-08,7.26146009968951e-05,-4.1746225,"Up in B1",4.13897604466056,"CLEC11A","C-type lectin domain family 11 member A","CLC11_HUMAN",4.1746225
3.1380225,7.47468375,18.3986874324664,1.66669992241257e-07,0.000151817844043758,7.95233069353391,"MIME_HUMAN",7,-18.1298515422338,1.01647475439571e-07,9.17471139889974e-05,-3.1380225,"Up in B1",4.03740758809349,"OGN","Mimecan","MIME_HUMAN",3.1380225
5.7835075,8.68822125,17.3088022107659,2.60815497681651e-07,0.000213816544999417,7.57680855006914,"TSP4_HUMAN",21,-17.7942574970925,1.17441626954409e-07,9.17471139889974e-05,-5.7835075,"Up in B1",4.03740758809349,"THBS4","Thrombospondin-4","TSP4_HUMAN",5.7835075
0.572099999999999,11.047675,14.1416500850206,1.1373632756337e-06,0.00054847671374383,6.26732193866389,"MX1_HUMAN",43,-17.6861093444099,1.2310542252732e-07,9.17471139889974e-05,-0.572099999999999,"Up in B1",4.03740758809349,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",0.572099999999999
4.39696,7.6613125,16.9346277733085,3.06064691086443e-07,0.000228101667047878,7.43991601235366,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-17.3270663753962,1.44229466598934e-07,9.85327639315051e-05,-4.39696,"Up in B1",4.00641933469362,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",4.39696
0.957802500000003,10.48374875,15.2474084497876,6.58349977214356e-07,0.000390199894937711,6.7658896267813,"LAMC1_HUMAN",52,-16.9775306226922,1.68782865174556e-07,0.00010643707143854,-0.957802500000003,"Up in B1",3.97290708334631,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN",0.957802500000003
7.5034925,8.93487875,15.696837410778,5.32797232480913e-07,0.000363989309323211,6.95506412289985,"Q15194_HBV",5,-15.9615904047739,2.7141784639829e-07,0.000158934536055227,-7.5034925,"Up in B1",3.79878172149311,"PreC-C","Capsid protein","Q15194_HBV",7.5034925
4.5401475,7.59074375,15.2221010828653,6.66357468788479e-07,0.000390199894937711,6.75501541286482,"COMP_HUMAN",5,-15.2415172971362,3.86843462081426e-07,0.000201491999037581,-4.5401475,"Up in B1",3.69574219440037,"COMP","Cartilage oligomeric matrix protein","COMP_HUMAN",4.5401475
0.453675,13.2573125,11.0657535293898,6.61520313674935e-06,0.0016186773256164,4.57954538562338,"FAT1_HUMAN",153,-15.2088892354879,3.93251034959905e-07,0.000201491999037581,-0.453675,"Non-significant",3.69574219440037,"FAT1","Protocadherin Fat 1","FAT1_HUMAN",0.453675
3.7811675,7.74840875,14.9559949721844,7.57564670924058e-07,0.000414034344815695,6.63920045911757,"FMOD_HUMAN",7,-15.0684634546595,4.22222420048979e-07,0.000203610552915384,-3.7811675,"Up in B1",3.6911997167373,"FMOD","Fibromodulin","FMOD_HUMAN",3.7811675
-0.619675000000001,12.7456125,-13.1442263039978,1.92966166699944e-06,0.000791443774994201,5.7728413529379,"PURA1_HUMAN",29,14.8092343793625,4.82222362436206e-07,0.000219625495958445,0.619675000000001,"Up in CM",3.65831724477144,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN",-0.619675000000001
0.464775000000001,11.5436625,11.366055608208,5.46835884921551e-06,0.00160105735163817,4.7672951843887,"MDR1_HUMAN",52,-14.4984168522842,5.67151366545472e-07,0.00024471088962841,-0.464775000000001,"Non-significant",3.61134670412471,"ABCB1","ATP-dependent translocase ABCB1","MDR1_HUMAN",0.464775000000001
1.2454725,8.64223875,13.1431306416569,1.93082160281581e-06,0.000791443774994201,5.77227275297501,"LAMA5_HUMAN",58,-13.9876611434042,7.45751700895992e-07,0.000305683622197267,-1.2454725,"Up in B1",3.51472782911785,"LAMA5","Laminin subunit alpha-5","LAMA5_HUMAN",1.2454725
-0.49145,16.02115,-11.1472106604827,6.27938210924079e-06,0.0016186773256164,4.63103236978927,"TKFC_HUMAN",40,13.3240170307141,1.07959192389914e-06,0.00042145212343453,0.49145,"Non-significant",3.37525175368255,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN",-0.49145
-0.815824999999997,11.8032125,-12.5949778268676,2.62360514640231e-06,0.0010242054757241,5.48034245773063,"VTDB_HUMAN",21,13.2326811357253,1.13749370183137e-06,0.000423871516709708,0.815824999999997,"Up in CM",3.3727657661433,"GC","Vitamin D-binding protein","VTDB_HUMAN",-0.815824999999997
-1.2160725,8.48015875,-14.3198836538983,1.03865898931487e-06,0.000532182899650205,6.35104511301102,"PP13G_HUMAN",8,13.1157385001379,1.21677805295209e-06,0.00043370202078701,1.2160725,"Up in CM",3.36280855429901,"PPP1R3G","Protein phosphatase 1 regulatory subunit 3G","PP13G_HUMAN",-1.2160725
0.785250000000005,12.571225,12.4179106139831,2.904379803034e-06,0.00108227752842149,5.38275714425867,"LG3BP_HUMAN",20,-13.005032183468,1.29758426833975e-06,0.000443233159660385,-0.785250000000005,"Up in B1",3.35336775613428,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN",0.785250000000005
0.768124999999998,11.6772125,11.2449526255939,5.90150173492933e-06,0.0016186773256164,4.69225953230008,"FLNC_HUMAN",102,-12.5421515114335,1.70729174866969e-06,0.000559855110223765,-0.768124999999998,"Up in B1",3.251924353301,"FLNC","Filamin-C","FLNC_HUMAN",0.768124999999998
-0.557199999999996,11.839875,-10.4657631451809,9.81628802387504e-06,0.0020639760060233,4.1869119565326,"DPYD_HUMAN",55,12.1132886101407,2.22007067387122e-06,0.000700005360938319,0.557199999999996,"Up in CM",3.15489863396144,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN",-0.557199999999996
2.9685475,7.11750375,12.3141207868578,3.08464115200065e-06,0.00109947339843919,5.3247836976557,"TESK1_HUMAN",4,-12.0009543661862,2.38149615627472e-06,0.000723092795894081,-2.9685475,"Up in B1",3.14080596527989,"TESK1","Dual specificity testis-specific protein kinase 1","TESK1_HUMAN",2.9685475
2.954485,5.879885,11.3753871250141,5.43649881551711e-06,0.00160105735163817,4.77303951082958,"CO6A3_HUMAN",12,-11.6390263898143,2.99813782706132e-06,0.000877811925223168,-2.954485,"Up in B1",3.05659852348713,"COL6A3","Collagen alpha-3(VI) chain","CO6A3_HUMAN",2.954485
2.7884825,6.57560625,11.1837992855892,6.13482298396716e-06,0.0016186773256164,4.65402234396058,"LAMB1_HUMAN",30,-11.5242476011883,3.22962317423377e-06,0.00091298106146098,-2.7884825,"Up in B1",3.03953823121521,"LAMB1","Laminin subunit beta-1","LAMB1_HUMAN",2.7884825
3.0058875,6.70041375,11.0428525772571,6.71322628335661e-06,0.0016186773256164,4.56499409834115,"CEMIP_HUMAN",47,-11.3862565727676,3.53483832699078e-06,0.000965953486822346,-3.0058875,"Up in B1",3.0150437854921,"CEMIP","Cell migration-inducing and hyaluronan-binding protein","CEMIP_HUMAN",3.0058875
2.8147,6.719555,10.9895624656758,6.9477213977484e-06,0.00162735485767833,4.53100313265923,"ATS13_HUMAN",7,-11.077593642331,4.34168529574773e-06,0.00111441596622084,-2.8147,"Up in B1",2.95295267440899,"ADAMTS13","A disintegrin and metalloproteinase with thrombospondin motifs 13","ATS13_HUMAN",2.8147
-0.329725000000003,16.4576375,-8.04119928989271,6.1034148184748e-05,0.00676159387592654,2.31943780128693,"FAS_HUMAN",149,11.0417653049305,4.44801400523721e-06,0.00111441596622084,0.329725000000003,"Non-significant",2.95295267440899,"FASN","Fatty acid synthase","FAS_HUMAN",-0.329725000000003
2.0080975,8.61442625,10.6294766950654,8.79683967089112e-06,0.00195412836206703,4.29644389885774,"PGBM_HUMAN",106,-11.0292175839157,4.48593887354085e-06,0.00111441596622084,-2.0080975,"Up in B1",2.95295267440899,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN",2.0080975
-0.371549999999999,13.72815,-9.75095543215313,1.61394658114327e-05,0.00275654040792926,3.68620678226079,"BUP1_HUMAN",23,10.9760105884681,4.65082605021018e-06,0.00112139623410656,0.371549999999999,"Non-significant",2.95024090669079,"UPB1","Beta-ureidopropionase","BUP1_HUMAN",-0.371549999999999
0.790199999999995,12.71795,10.1670276256328,1.20383802731608e-05,0.00240708881657006,3.98220224843945,"K2C7_HUMAN",37,-10.8845831138299,4.95024375080606e-06,0.00115948852197452,-0.790199999999995,"Up in B1",2.93573354617891,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN",0.790199999999995
-0.626125000000002,11.3753375,-10.4349630088264,1.00225938183348e-05,0.0020639760060233,4.1660979831863,"APOL3_HUMAN",18,10.8180264140152,5.18178673043767e-06,0.00118000798933689,0.626125000000002,"Up in CM",2.92811505225898,"APOL3","Apolipoprotein L3","APOL3_HUMAN",-0.626125000000002
-0.352875000000001,15.2653625,-8.53204316736288,4.07294117768145e-05,0.00529999551978295,2.73870214704342,"ACOHC_HUMAN",48,10.7140436335321,5.56818923237278e-06,0.00123373014397276,0.352875000000001,"Non-significant",2.90877982393321,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN",-0.352875000000001
0.6340325,10.45373375,9.79949012097559,1.55881756863619e-05,0.00275654040792926,3.72140876416359,"ITA7_HUMAN",33,-10.6311719358433,5.89928995255716e-06,0.00127269418502799,-0.6340325,"Up in B1",2.89527594018799,"ITGA7","Integrin alpha-7","ITA7_HUMAN",0.6340325
0.492562500000002,9.00733375,9.58443938126504,1.82043575815344e-05,0.00304570047864121,3.56404046885292,"FLRT3_HUMAN",27,-10.5450564881429,6.26687479725635e-06,0.00130713039608688,-0.492562500000002,"Non-significant",2.88368108611781,"FLRT3","Leucine-rich repeat transmembrane protein FLRT3","FLRT3_HUMAN",0.492562500000002
-0.646975000000003,14.3820125,-10.4278936138169,1.00706318908188e-05,0.0020639760060233,4.1613113086414,"NDRG1_HUMAN",15,10.5201751635189,6.37780139588622e-06,0.00130713039608688,0.646975000000003,"Up in CM",2.88368108611781,"NDRG1","Protein NDRG1","NDRG1_HUMAN",-0.646975000000003
0.537925000000003,13.4172625,9.27639897332302,2.28563079669102e-05,0.00367403946495549,3.33220534574403,"ITIH2_HUMAN",47,-10.4371244935548,6.76426895078267e-06,0.00135252382581747,-0.537925000000003,"Up in B1",2.8688550757002,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","ITIH2_HUMAN",0.537925000000003
-1.03968,8.946705,-13.2844278155902,1.78752135550868e-06,0.000791443774994201,5.84512287518846,"THRSP_HUMAN",5,10.2810310907688,7.56360585579733e-06,0.00147634382871016,1.03968,"Up in CM",2.83081248701018,"THRSP","Thyroid hormone-inducible hepatic protein","THRSP_HUMAN",-1.03968
0.655425000000001,10.5194875,9.75092806195535,1.61397828227134e-05,0.00275654040792926,3.6861868795083,"ANXA3_HUMAN",21,-10.2278023604865,7.85991821550527e-06,0.00149850254722587,-0.655425000000001,"Up in B1",2.8243425144833,"ANXA3","Annexin A3","ANXA3_HUMAN",0.655425000000001
3.52206,6.6798,9.86048764125732,1.49251155568342e-05,0.00275654040792926,3.76539362734382,"RELN_HUMAN",51,-10.1518444791958,8.30549550067683e-06,0.0015474648207852,-3.52206,"Up in B1",2.8103792152077,"RELN","Reelin","RELN_HUMAN",3.52206
