logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,BD_vs_BDM,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
0.0,,,,,,C1QC_HUMAN,0,,,,-0.0,Non-significant,,C1QC,Complement C1q subcomponent subunit C,C1QC_HUMAN,P02747
0.0,,,,,,CP7A1_HUMAN,0,,,,-0.0,Non-significant,,CYP7A1,Cytochrome P450 7A1,CP7A1_HUMAN,P22680
0.0,,,,,,HXK4_HUMAN,0,,,,-0.0,Non-significant,,GCK,Hexokinase-4,HXK4_HUMAN,P35557
0.0,,,,,,GREM2_HUMAN,0,,,,-0.0,Non-significant,,GREM2,Gremlin-2,GREM2_HUMAN,Q9H772
5.7969069480896,13.083516120910641,,1.9263504793584256e-14,1.578451582786294e-10,,IFIT1_HUMAN,8,,1.9263504793584256e-14,1.578451582786294e-10,-5.7969069480896,Up,9.801768735058577,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1,IFIT1_HUMAN,P09914
5.75652694702148,14.404863357543935,,6.377796684091562e-14,2.612983301472313e-10,,MX1_HUMAN,8,,6.377796684091562e-14,2.612983301472313e-10,-5.75652694702148,Up,9.582863365665558,MX1,Interferon-induced GTP-binding protein Mx1,MX1_HUMAN,P20591
5.88359951972961,13.32492673397065,,2.1923955438049907e-13,5.634521970486476e-10,,IFIT2_HUMAN,8,,2.1923955438049907e-13,5.634521970486476e-10,-5.88359951972961,Up,9.24914292334214,IFIT2,Interferon-induced protein with tetratricopeptide repeats 2,IFIT2_HUMAN,P09913
3.06900477409363,14.946238160133365,,2.750559907486686e-13,5.634521970486476e-10,,STAT1_HUMAN,8,,2.750559907486686e-13,5.634521970486476e-10,-3.06900477409363,Up,9.24914292334214,STAT1,Signal transducer and activator of transcription 1-alpha/beta,STAT1_HUMAN,P42224
3.75369739532471,11.82714176177979,,1.719274140658798e-12,2.817546461711638e-09,,OAS1_HUMAN,8,,1.719274140658798e-12,2.817546461711638e-09,-3.75369739532471,Up,8.550128913649695,OAS1,2'-5'-oligoadenylate synthase 1,OAS1_HUMAN,P00973
5.44266176223755,13.356835603714014,,2.0762027728147516e-12,2.8354009200740127e-09,,IFIT3_HUMAN,8,,2.0762027728147516e-12,2.8354009200740127e-09,-5.44266176223755,Up,8.547385524049622,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,IFIT3_HUMAN,O14879
2.8359580039978,11.320567846298207,,1.721021026549399e-11,1.6446127306970227e-08,,SLFN5_HUMAN,8,,1.721021026549399e-11,1.6446127306970227e-08,-2.8359580039978,Up,7.783936352256313,SLFN5,Schlafen family member 5,SLFN5_HUMAN,Q08AF3
2.23971390724182,12.16768062114715,,1.8118851381986782e-11,1.6446127306970227e-08,,SAMH1_HUMAN,8,,1.8118851381986782e-11,1.6446127306970227e-08,-2.23971390724182,Up,7.783936352256313,SAMHD1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,SAMH1_HUMAN,Q9Y3Z3
