"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","D_vs_BDM"
-4.726725,12.5484125,-212.046434621547,6.16289662698982e-15,3.01151517312683e-11,22.1594101762232,"IFIT1_HUMAN",34,267.475687839484,1.47018432209771e-16,6.85227455944142e-13,4.726725,"Up in D",12.1641652438879,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",-4.726725
-4.9886,14.0209,-206.934469670625,7.34695089808937e-15,3.01151517312683e-11,22.1018981238289,"MX1_HUMAN",43,263.050293140737,1.67169420820722e-16,6.85227455944142e-13,4.9886,"Up in D",12.1641652438879,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",-4.9886
-4.212675,12.4894625,-181.47066850812,1.89134707004637e-14,5.16842109341337e-11,21.7567811609465,"IFIT2_HUMAN",29,216.048498130345,7.60904909419759e-16,2.07929948247439e-12,4.212675,"Up in D",11.6820829545266,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",-4.212675
-2.503125,14.6632875,-117.482974571759,4.32926213412421e-13,5.91521516259172e-10,20.1374951820203,"STAT1_HUMAN",41,159.49065218892,7.87240093003708e-15,1.6134485706111e-11,2.503125,"Up in D",10.7922448733687,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",-2.503125
-4.2335,12.75225,-121.585130987479,3.3814621568742e-13,5.54424535241094e-10,20.2931598929925,"IFIT3_HUMAN",30,133.648016371139,3.06947897039754e-14,4.54091208433382e-11,4.2335,"Up in D",10.3428569063039,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",-4.2335
-3.466705,11.6836475,-126.47566178316,2.54566874985757e-13,5.21734810283308e-10,20.4661138539664,"OAS1_HUMAN",20,132.274893143186,3.3234291907786e-14,4.54091208433382e-11,3.466705,"Up in D",10.3428569063039,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN",-3.466705
-2.429975,13.0265375,-94.8011532338119,2.02778443816155e-12,2.07797210300605e-09,19.0593012536287,"RIGI_HUMAN",56,120.798598968637,6.68274139275065e-14,7.82644484825284e-11,2.429975,"Up in D",10.1064354708168,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",-2.429975
3.173625,12.2534625,92.5952738177356,2.40221802345088e-12,2.1753064681441e-09,18.930358444561,"TSP1_HUMAN",50,-105.844690727863,1.84773679684786e-13,1.89346828256985e-10,-3.173625,"Up in BDM",9.72274196533601,"THBS1","Thrombospondin-1","TSP1_HUMAN",3.173625
-4.141715,12.0642675,-95.9574183527641,1.85835064830011e-12,2.07797210300605e-09,19.1249090079555,"OAS2_HUMAN",31,103.356851730159,2.2188576039268e-13,2.02113273744355e-10,4.141715,"Up in D",9.69440516335444,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",-4.141715
-3.192555,10.0466725,-91.3243017982879,2.65345995138338e-12,2.1753064681441e-09,18.8537329998465,"CMPK2_HUMAN",26,98.8052560937057,3.13786061376941e-13,2.57241813116816e-10,3.192555,"Up in D",9.58965843804179,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN",-3.192555
