"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-4.188805,11.7458725,-116.851042668087,2.51346784920099e-13,2.03163606250916e-09,19.0951648259872,"TSP1_HUMAN",50,-139.00181277288,1.30128378971676e-13,1.05182768722805e-09,-4.188805,"Up in BDM",8.97805540145173,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.853025,11.1182875,-54.1708764790531,7.2528728152872e-11,1.95416569886555e-07,15.6369992966314,"ANXA3_HUMAN",21,-70.5197107681536,1.71706473675929e-11,5.54971465155892e-08,-1.853025,"Up in BDM",7.25572934632584,"ANXA3","Annexin A3","ANXA3_HUMAN"
1.040725,14.1246375,40.4629054320748,6.20078017462632e-10,3.58006472510747e-07,13.7610203362078,"PGDH_HUMAN",12,66.4931687433435,2.6204534435526e-11,5.54971465155892e-08,1.040725,"Up in CM",7.25572934632584,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN"
-6.58094,9.048705,-65.9813749189317,1.69733830322639e-11,6.85979275248947e-08,16.7485380299548,"Q6VBP1_HBV",1,-66.0605392424046,2.74636380134055e-11,5.54971465155892e-08,-6.58094,"Up in BDM",7.25572934632584,"S","Large envelope protein","Q6VBP1_HBV"
1.390325,12.3602875,42.9693315430022,3.98669574748019e-10,3.406969470095e-07,14.166914744406,"PURA1_HUMAN",29,59.0325934036022,6.16454343286341e-11,9.965600913567e-08,1.390325,"Up in CM",7.00149650874695,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
1.64615,16.1754,50.004745601482,1.30702818110107e-10,2.29791608088749e-07,15.1475277435904,"ALDOC_HUMAN",31,52.9935333921193,1.33864552470668e-10,1.37800943143477e-07,1.64615,"Up in CM",6.86074781000019,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-2.2560975,10.12205125,-49.4376390705407,1.42145000673481e-10,2.29791608088749e-07,15.0761066037803,"SYUG_HUMAN",9,-52.9259385152375,1.35097561531326e-10,1.37800943143477e-07,-2.2560975,"Up in BDM",6.86074781000019,"SNCG","Gamma-synuclein","SYUG_HUMAN"
1.029825,14.9268875,35.4681371131377,1.63168093949404e-09,4.80880866978664e-07,12.8418472555823,"ACOHC_HUMAN",48,52.8560546298557,1.36385939026081e-10,1.37800943143477e-07,1.029825,"Up in CM",6.86074781000019,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
-1.703125,13.1744125,-44.699108956898,2.98260290044105e-10,3.13288539663181e-07,14.4283851892646,"K2C7_HUMAN",37,-51.6633407729002,1.60683226273418e-10,1.44311390885337e-07,-1.703125,"Up in BDM",6.84069938752466,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
-1.730805,10.8206225,-42.0535603279628,4.67071865923791e-10,3.43212899296546e-07,14.0224697067595,"TRFM_HUMAN",39,-48.9615733207105,2.36320118827372e-10,1.83223259616395e-07,-1.730805,"Up in BDM",6.73701939485023,"MELTF","Melanotransferrin","TRFM_HUMAN"
-1.393775,13.9476125,-40.4772723409934,6.18462665522011e-10,3.58006472510747e-07,13.7634440457804,"IL18_HUMAN",14,-48.597119259571,2.49345027314158e-10,1.83223259616395e-07,-1.393775,"Up in BDM",6.73701939485023,"IL18","Interleukin-18","IL18_HUMAN"
-1.436725,12.0115125,-39.7630690164473,7.04884410404467e-10,3.79838712619954e-07,13.6415329693882,"FLNC_HUMAN",102,-46.50684292188,3.41889574084479e-10,2.30291118943737e-07,-1.436725,"Up in BDM",6.63772281005183,"FLNC","Filamin-C","FLNC_HUMAN"
-1.77467500000001,12.7793125,-40.7217956884018,5.91688958965772e-10,3.58006472510747e-07,13.8045176363468,"ANXA1_HUMAN",23,-45.8844471152075,3.76607822063969e-10,2.34163155826389e-07,-1.77467500000001,"Up in BDM",6.6304814375304,"ANXA1","Annexin A1","ANXA1_HUMAN"
1.1573,14.150125,35.3682604220058,1.66580035573458e-09,4.80880866978664e-07,12.8217726334031,"AL8A1_HUMAN",26,44.7289318969434,4.52267113756764e-10,2.61119648606852e-07,1.1573,"Up in CM",6.5831604473633,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN"
3.8276525,9.92429875,45.3966219428872,2.66161745101984e-10,3.13288539663181e-07,14.5298157567213,"NUA4L_HUMAN",5,44.0387522375594,5.05664555022858e-10,2.72485773216651e-07,3.8276525,"Up in CM",6.56465616779026,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
1.105625,13.3611125,34.4831101757908,2.00627903154998e-09,5.15722246351055e-07,12.6406502443021,"BUP1_HUMAN",23,43.0029834564531,5.99837272776655e-10,3.03030292240856e-07,1.105625,"Up in CM",6.51851395534102,"UPB1","Beta-ureidopropionase","BUP1_HUMAN"
1.6617675,10.22846625,42.64507388392,4.21498140553631e-10,3.406969470095e-07,14.1162605424592,"TTC36_HUMAN",9,42.0734709299443,7.01652019825872e-10,3.3361489860309e-07,1.6617675,"Up in CM",6.47675456284056,"TTC36","Tetratricopeptide repeat protein 36","TTC36_HUMAN"
