"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-6.477275,14.0444875,-222.298344700819,3.94588331001415e-15,3.0762827575917e-11,22.8852102770035,"MX1_HUMAN",43,-271.952319936164,1.29381431933846e-16,7.8907389535097e-13,-6.477275,"Up in BD",12.102882323989,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.013425,13.4752625,-203.380167219146,7.50495915489559e-15,3.0762827575917e-11,22.6454245840511,"IFIT1_HUMAN",34,-258.273091048262,1.92503999841661e-16,7.8907389535097e-13,-5.013425,"Up in BD",12.102882323989,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-4.80445,13.67595,-162.056083423057,3.87536094796326e-14,1.05900696838009e-10,21.8961729069488,"IFIT3_HUMAN",30,-187.568679853528,2.25922628654848e-15,6.17371236570813e-12,-4.80445,"Up in BD",11.2094536082351,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-5.249225,13.6421125,-141.730283424513,1.02081778373887e-13,2.09216604777282e-10,21.35652919008,"IFIT2_HUMAN",29,-156.408505466258,9.14841008040512e-15,1.83522390279741e-11,-5.249225,"Up in BD",10.7363109429556,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-3.24019999999999,14.860625,-120.796327706074,3.2398460199357e-13,4.95776334612308e-10,20.6171461233963,"STAT1_HUMAN",41,-152.363074655737,1.1193119680394e-14,1.83522390279741e-11,-3.24019999999999,"Up in BD",10.7363109429556,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-3.521075,11.9434375,-118.917074400168,3.62851672075365e-13,4.95776334612308e-10,20.5391035669155,"OAS1_HUMAN",20,-125.982747997691,4.83614958164114e-14,6.60779237838235e-11,-3.521075,"Up in BD",10.1799436113202,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-3.8789725,10.52066375,-108.500349798079,7.03718444822908e-13,8.24154830094029e-10,20.0638067808367,"CMPK2_HUMAN",26,-118.790158340995,7.60317072404928e-14,8.904399085108e-11,-3.8789725,"Up in BD",10.0503953836491,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-3.02095,13.310675,-94.9119539591635,1.85021183796735e-12,1.68533740529515e-09,19.3144549687707,"RIGI_HUMAN",56,-114.945115766252,9.79426030375854e-14,1.00366682462766e-10,-3.02095,"Up in BD",9.99841043085594,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-4.3091025,11.74724875,-90.2339811451194,2.66555171280061e-12,2.18521929415394e-09,19.0153077312677,"TSP1_HUMAN",50,-99.0485587558484,3.07903752552205e-13,2.32697762201734e-10,-4.3091025,"Up in BD",9.63320779319849,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-4.916675,14.9897625,-98.5725369049382,1.40764279205819e-12,1.44248195116163e-09,19.5328064615245,"ISG15_HUMAN",15,-98.9939000406555,3.09214302819333e-13,2.32697762201734e-10,-4.916675,"Up in BD",9.63320779319849,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
