"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BD_vs_B1"
-4.967325,14.9644375,-116.749450010767,1.5173990899903e-13,2.45302736887832e-10,19.9919535755052,"ISG15_HUMAN",15,149.716776648353,5.32898394338047e-14,4.30741772143443e-10,4.967325,"Up in BD",9.3657830095197,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",-4.967325
-5.9494,14.308425,-154.618165965788,1.83053616809983e-14,1.47962238467509e-10,20.8072729589847,"MX1_HUMAN",43,108.336175561916,5.64746153473305e-13,2.28242157926236e-09,5.9494,"Up in BD",8.64160413527393,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",-5.9494
-2.9655,13.3384,-77.5658690646153,3.29251741665544e-12,4.43556971313766e-09,18.2291381981985,"RIGI_HUMAN",56,93.3303411426752,1.67582059173554e-12,3.40514603482027e-09,2.9655,"Up in BD",8.46786425797833,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",-2.9655
-5.490725,13.5213625,-125.397147177539,8.86110929781544e-14,2.45302736887832e-10,20.2282585232495,"IFIT2_HUMAN",29,93.2597912229266,1.68509020651752e-12,3.40514603482027e-09,5.490725,"Up in BD",8.46786425797833,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",-5.490725
-5.430925,13.2665125,-117.160506963123,1.47777943132149e-13,2.45302736887832e-10,20.0040615009915,"IFIT1_HUMAN",34,89.2218608030492,2.32724669704536e-12,3.76222701044352e-09,5.430925,"Up in BD",8.42455500293543,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",-5.430925
-2.80741,10.69177,-64.8309022605926,1.26866209505627e-11,1.4649422449057e-08,17.2394549423303,"GBP4_HUMAN",27,79.8942551273682,5.20713605900055e-12,7.01488012748358e-09,2.80741,"Up in BD",8.1539797459353,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN",-2.80741
-2.9618,13.250625,-60.1853098941663,2.21883854398962e-11,1.79348719510681e-08,16.7940747997139,"UB2L6_HUMAN",12,69.6292999288592,1.41928333284098e-11,1.63886673990766e-08,2.9618,"Up in BD",7.78545635849517,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN",-2.9618
-5.105475,13.5254375,-121.31236678172,1.1370002029079e-13,2.45302736887832e-10,20.121305098213,"IFIT3_HUMAN",30,62.905060602268,2.97554951680395e-11,3.00642084304079e-08,5.105475,"Up in BD",7.52195022633807,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",-5.105475
-3.087625,14.9369125,-60.4216192799978,2.15442854991587e-11,1.79348719510681e-08,16.8180290335833,"STAT1_HUMAN",41,58.8475235318739,4.83709441272358e-11,4.34424823756052e-08,3.087625,"Up in BD",7.36208536640206,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",-3.087625
-2.7200875,11.37853125,-51.6019390367467,7.0519791852106e-11,3.80007651693715e-08,15.8140483068438,"SLFN5_HUMAN",37,57.6103046281217,5.64702765589137e-11,4.564492454257e-08,2.7200875,"Up in BD",7.34060750653494,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",-2.7200875
