"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","D_vs_CM"
-5.753575,13.6384125,-214.404420479463,3.40342549662566e-15,2.75098882892252e-11,20.5792967269593,"MX1_HUMAN",43,141.086719611535,1.66415747216431e-13,1.34513848475041e-09,5.753575,"Up in D",8.87123300185719,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",-5.753575
-2.4032,13.039925,-95.7311357767653,1.25568978495064e-12,1.92775029045793e-09,18.5493776360059,"RIGI_HUMAN",56,126.437882079448,3.62324606797332e-13,1.46433489837142e-09,2.4032,"Up in D",8.83435958729292,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",-2.4032
-3.964825,12.9293625,-155.609494072734,3.56820619112675e-14,1.44209053214388e-10,20.0315223081062,"IFIT1_HUMAN",34,99.4385529522906,1.99255950836825e-12,5.36861950204685e-09,3.964825,"Up in D",8.27013737532848,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",-3.964825
-2.63195,14.598875,-94.0392162112124,1.43096644101789e-12,1.92775029045793e-09,18.4771894582327,"STAT1_HUMAN",41,90.5916222171743,3.85943374550304e-12,7.79895074122527e-09,2.63195,"Up in D",8.10796382268751,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",-2.63195
-3.5419,12.82485,-110.517811771843,4.38268279506597e-13,9.53692903230906e-10,19.083027454258,"IFIT2_HUMAN",29,79.596679901344,9.66371639779487e-12,1.56223639286752e-08,3.5419,"Up in D",7.80625324936389,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",-3.5419
-1.803625,10.9740375,-59.9068905491176,3.88995880032886e-11,2.85841245300529e-08,16.2250326639347,"SLFN5_HUMAN",37,75.816999351555,1.36457861831865e-11,1.83831482864494e-08,1.803625,"Up in D",7.73558010957963,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",-1.803625
-2.259275,12.8570625,-61.6301167436335,3.16074886930601e-11,2.55483331106005e-08,16.3895119184843,"UB2L6_HUMAN",12,72.0444445243659,1.95972846362068e-11,2.26292645306371e-08,2.259275,"Up in D",7.64532956073712,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN",-2.259275
-4.0396,14.471,-62.3557920922405,2.90117395122159e-11,2.55483331106005e-08,16.4565828682628,"ISG15_HUMAN",15,64.845266607557,4.13413202616288e-11,4.17702364593432e-08,4.0396,"Up in D",7.37913306620729,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",-4.0396
-2.49983,10.28081,-76.1918163341349,6.68736369687978e-12,7.72199439455418e-09,17.5259598083801,"IFIH1_HUMAN",45,60.7169244416258,6.59015397336785e-11,5.9186905074147e-08,2.49983,"Up in D",7.22777436900536,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN",-2.49983
-3.58365,13.077175,-109.406924409858,4.71949970669755e-13,9.53692903230906e-10,19.048247284764,"IFIT3_HUMAN",30,56.5743273350382,1.08741855821402e-10,8.78960420604393e-08,3.58365,"Up in D",7.05603068067152,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",-3.58365
