"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","DM_vs_C"
-0.660166666666671,12.1315285714286,-20.4701414727025,6.29151314749815e-07,0.00251748958858673,6.31506358687403,"PAI1_HUMAN",22,30.0637183765215,8.98470907902495e-08,0.000726234034857587,0.660166666666671,"Up in DM",3.13892340179537,"SERPINE1","Plasminogen activator inhibitor 1","PAI1_HUMAN",-0.660166666666671
-1.19886916666666,10.1064985714286,-21.6776568730829,4.42902570850501e-07,0.00251748958858673,6.53501525526796,"TSP1_HUMAN",50,23.4790491321846,3.91631894272208e-07,0.00158278030070113,1.19886916666666,"Up in DM",2.80057936360568,"THBS1","Thrombospondin-1","TSP1_HUMAN",-1.19886916666666
0.363991666666665,11.4559285714286,11.5510629678981,2.00900107423909e-05,0.00865894648536691,3.58610433273197,"CGNL1_HUMAN",84,-17.959502835081,1.91655392568385e-06,0.00434592536717779,-0.363991666666665,"Non-significant",2.36191773611516,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN",0.363991666666665
-0.404924999999999,16.8089142857143,-12.7698576507316,1.10278754003898e-05,0.00851675932293753,4.12302659537034,"FRIL_HUMAN",12,16.6627078215234,2.98160423647691e-06,0.00434592536717779,0.404924999999999,"Non-significant",2.36191773611516,"FTL","Ferritin light chain","FRIL_HUMAN",-0.404924999999999
0.494516666666662,12.2574142857143,12.7586608205737,1.10860685865084e-05,0.00851675932293753,4.11841597152026,"HRG_HUMAN",21,-16.5014873810072,3.157266567097e-06,0.00434592536717779,-0.494516666666662,"Non-significant",2.36191773611516,"HRG","Histidine-rich glycoprotein","HRG_HUMAN",0.494516666666662
-0.490296666666669,9.82059714285714,-12.5476186721139,1.22522008629592e-05,0.00851675932293753,4.0304484062122,"PRIO_HUMAN",8,15.97398642008,3.82225904030866e-06,0.00434592536717779,0.490296666666669,"Non-significant",2.36191773611516,"PRNP","Major prion protein","PRIO_HUMAN",-0.490296666666669
-0.440625000000002,12.6240142857143,-11.9874340181972,1.61028477735739e-05,0.00865894648536691,3.78677265054321,"LIMC1_HUMAN",62,15.7418680098359,4.16566286347557e-06,0.00434592536717779,0.440625000000002,"Non-significant",2.36191773611516,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN",-0.440625000000002
-0.831600833333335,9.03422285714286,-14.7154783423185,4.69268752771669e-06,0.00632183221442233,4.84576281216794,"LBP_HUMAN",10,15.4993346235101,4.56344854244498e-06,0.00434592536717779,0.831600833333335,"Up in DM",2.36191773611516,"LBP","Lipopolysaccharide-binding protein","LBP_HUMAN",-0.831600833333335
0.492708333333329,17.2561142857143,15.409636319139,3.54994950483923e-06,0.0057388483695231,5.07004366049187,"SBP1_HUMAN",39,-15.3114479868867,4.90216284461946e-06,0.00434592536717779,-0.492708333333329,"Non-significant",2.36191773611516,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN",0.492708333333329
0.373558333333333,11.9612285714286,11.7305600457357,1.83256706440522e-05,0.00865894648536691,3.6698434113795,"VTDB_HUMAN",21,-14.9212951529314,5.70346857601148e-06,0.00434592536717779,-0.373558333333333,"Non-significant",2.36191773611516,"GC","Vitamin D-binding protein","VTDB_HUMAN",0.373558333333333
