"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM1_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","D_vs_BM1"
-4.2358125,12.01721875,-177.291266751464,1.99346436004208e-14,8.05658621111006e-11,21.1615437283634,"OAS2_HUMAN",31,239.777655589589,5.79361642164124e-15,4.68298015361261e-11,4.2358125,"Up in D",10.3294776827464,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",-4.2358125
-5.144675,13.9428625,-197.337610026591,9.18677480372922e-15,7.42567007385433e-11,21.4061266906213,"MX1_HUMAN",43,136.0375397701,3.05951679843292e-13,1.23650371408666e-09,5.144675,"Up in D",8.90780457481023,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",-5.144675
-2.524075,14.6528125,-104.897338904887,8.86392834649013e-13,1.43294265649359e-09,19.3440018016266,"STAT1_HUMAN",41,100.298218038091,2.58096919326382e-12,4.75239932195873e-09,2.524075,"Up in D",8.32308707475308,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",-2.524075
-3.64265,12.774475,-149.16788733583,6.9511029758403e-14,1.8728588451239e-10,20.682533552932,"IFIT2_HUMAN",29,99.358163483513,2.75671957308977e-12,4.75239932195873e-09,3.64265,"Up in D",8.32308707475308,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",-3.64265
2.2886,11.81095,79.9001190001009,6.33943151585321e-12,5.69351388251572e-09,17.967609572424,"TSP1_HUMAN",50,-97.552820411107,3.13402823499744e-12,4.75239932195873e-09,-2.2886,"Up in BM1",8.32308707475308,"THBS1","Thrombospondin-1","TSP1_HUMAN",2.2886
-4.1501,12.836725,-124.716133942995,2.5366468674853e-13,5.12592915747091e-10,20.0648835933762,"IFIT1_HUMAN",34,95.9165847406653,3.52769960803567e-12,4.75239932195873e-09,4.1501,"Up in D",8.32308707475308,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",-4.1501
-2.29725,13.0929,-78.3362325126757,7.31276691800498e-12,5.91090949982343e-09,17.8567935748419,"RIGI_HUMAN",56,88.4351127971538,6.22577258461224e-12,7.18898854306011e-09,2.29725,"Up in D",8.1433322085139,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",-2.29725
-4.020225,14.4806875,-80.1833316594444,6.17940148945492e-12,5.69351388251572e-09,17.9872987350959,"ISG15_HUMAN",15,84.2678794362727,8.72588491848147e-12,8.81641597451071e-09,4.020225,"Up in D",8.05470792720682,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN",-4.020225
-2.1213,12.92605,-63.992602785799,3.15191497539938e-11,1.95976374970409e-08,16.6477654019636,"UB2L6_HUMAN",12,73.0960733064646,2.35910817472388e-11,2.11874126403257e-08,2.1213,"Up in D",7.67392207512672,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN",-2.1213
-1.2022,11.807675,-48.9429367256428,2.18301853176731e-10,8.17494751368828e-08,14.865492252954,"5NT3A_HUMAN",23,65.7038898249981,4.97105425700862e-11,3.52775298139433e-08,1.2022,"Up in D",7.45250183243285,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN",-1.2022
-2.49968,10.280885,-80.18462759851,6.17867986010431e-12,5.69351388251572e-09,17.9873885669101,"IFIH1_HUMAN",45,65.4073301213907,5.13075457024697e-11,3.52775298139433e-08,2.49968,"Up in D",7.45250183243285,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN",-2.49968
-3.188125,11.8229375,-62.915211222141,3.56309809982642e-11,2.0571801386355e-08,16.5404673950296,"OAS1_HUMAN",20,65.2152971306174,5.2372925617632e-11,3.52775298139433e-08,3.188125,"Up in D",7.45250183243285,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN",-3.188125
-0.764249999999997,11.571075,-35.2774582572569,2.31033132561734e-09,4.9143179223592e-07,12.492163563023,"PARP9_HUMAN",37,63.2041386224681,6.51915070858279e-11,4.05340732134421e-08,0.764249999999997,"Up in D",7.39217975240838,"PARP9","Protein mono-ADP-ribosyltransferase PARP9","PARP9_HUMAN",-0.764249999999997
