"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-3.23515,12.284225,-120.403239218081,3.64639171479656e-13,2.98931192779022e-09,18.5555526680282,"TSP1_HUMAN",50,-148.172427721221,1.38735490788951e-14,1.13735355348782e-10,-3.23515,"Up in BD",9.94410451116018,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.845125,12.7176375,-66.4147764109921,2.63532197849001e-11,7.20145652655369e-08,16.2810096000575,"ANXA1_HUMAN",23,-72.1687342521606,3.51656720602259e-12,1.133660488543e-08,-1.845125,"Up in BD",7.94551698956053,"ANXA1","Annexin A1","ANXA1_HUMAN"
-1.670925,15.4312625,-60.0570868276622,5.43269180019492e-11,1.11343018444995e-07,15.7573586581093,"IFIT2_HUMAN",29,-68.3347734408897,5.35069244872569e-12,1.133660488543e-08,-1.670925,"Up in BD",7.94551698956053,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-2.022375,13.7157125,-66.8545769628855,2.51317228290298e-11,7.20145652655369e-08,16.3140115882726,"FGL1_HUMAN",17,-66.9222475705645,6.28279985962065e-12,1.133660488543e-08,-2.022375,"Up in BD",7.94551698956053,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-1.0702,15.446875,-50.7535047304579,1.82089801604454e-10,2.13253170507617e-07,14.8002371088295,"IFIT1_HUMAN",34,-66.0937727944817,6.91425035705659e-12,1.133660488543e-08,-1.0702,"Up in BD",7.94551698956053,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-1.2038,14.72655,-49.0428574901475,2.32935112928975e-10,2.38700256973967e-07,14.5937583269398,"VIME_HUMAN",46,-62.3414578044368,1.08360638277399e-11,1.48056752099686e-08,-1.2038,"Up in BD",7.82957178190678,"VIM","Vimentin","VIME_HUMAN"
0.855894999999999,10.3023275,37.6856965745958,1.54220852958438e-09,6.02048834549177e-07,12.8964535248781,"SYNE2_HUMAN",160,56.5882295317687,2.28049739980686e-11,2.38216065276848e-08,0.855894999999999,"Up in D",7.62302895307233,"SYNE2","Nesprin-2","SYNE2_HUMAN"
-1.9875,15.2939,-52.008380220559,1.52787418253944e-10,2.13253170507617e-07,14.9450502141682,"FIBG_HUMAN",29,-56.4472502518382,2.32462615542179e-11,2.38216065276848e-08,-1.9875,"Up in BD",7.62302895307233,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-3.77537,10.967365,-50.9075625048192,1.78168388409244e-10,2.13253170507617e-07,14.8183111679217,"TSP4_HUMAN",21,-52.8348011678233,3.86373022464561e-11,3.34281469371741e-08,-3.77537,"Up in BD",7.4758876975105,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-1.940625,14.7595625,-47.8670199594384,2.7728238965884e-10,2.52573447824796e-07,14.4454187953694,"FIBB_HUMAN",38,-52.4655053242836,4.07759782107516e-11,3.34281469371741e-08,-1.940625,"Up in BD",7.4758876975105,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
0.651425000000001,15.1751625,32.9397969894172,4.04494414344456e-09,9.7530741435172e-07,11.965890370649,"TRFE_HUMAN",51,50.6304924138898,5.35982775497185e-11,3.92747467039842e-08,0.651425000000001,"Up in D",7.40588660718975,"TF","Serotransferrin","TRFE_HUMAN"
0.948200000000002,11.339875,38.4315841837504,1.34004765045245e-09,5.87853258114554e-07,13.0287802361016,"DPYD_HUMAN",55,49.7825153610843,6.10208780885272e-11,3.92747467039842e-08,0.948200000000002,"Up in D",7.40588660718975,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN"
-2.15845,15.0165,-45.8399179948952,3.78314625284621e-10,3.10142329808332e-07,14.1765637644495,"FIBA_HUMAN",43,-49.6502707737205,6.22800325874353e-11,3.92747467039842e-08,-2.15845,"Up in BD",7.40588660718975,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-0.874249999999996,15.904375,-39.6080114402736,1.07949473495968e-09,5.87853258114554e-07,13.2306342783479,"APOE_HUMAN",29,-48.1542110820046,7.87710744938465e-11,4.61260906214681e-08,-0.874249999999996,"Up in BD",7.3360533521004,"APOE","Apolipoprotein E","APOE_HUMAN"
-0.767925000000002,16.8991625,-34.8199424829138,2.71820772881565e-09,8.57071806185796e-07,12.3540369737105,"MX1_HUMAN",43,-46.6225405082616,1.00955621753944e-10,5.5175612475922e-08,-0.767925000000002,"Up in BD",7.25825283726124,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
1.00225,14.6655,37.6934457982627,1.53993711226192e-09,6.02048834549177e-07,12.8978461906182,"CP2C8_HUMAN",33,44.2867541808239,1.49774368319513e-10,7.22774765655848e-08,1.00225,"Up in D",7.14099701843502,"CYP2C8","Cytochrome P450 2C8","CP2C8_HUMAN"
-0.966574999999999,12.3153875,-39.4748470511411,1.10588399240904e-09,5.87853258114554e-07,13.2081945391773,"TAP1_HUMAN",24,-44.1204311256564,1.54161453511703e-10,7.22774765655848e-08,-0.966574999999999,"Up in BD",7.14099701843502,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
0.8217,14.6352,34.0632358026452,3.18145770730164e-09,9.02859380690569e-07,12.2010967363672,"ACOHC_HUMAN",48,43.954022909492,1.58696581871252e-10,7.22774765655848e-08,0.8217,"Up in D",7.14099701843502,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
-1.20917499999999,15.4735875,-38.7451656464955,1.26419825896265e-09,5.87853258114554e-07,13.083391107934,"IFIT3_HUMAN",30,-43.3435216998974,1.76673670355729e-10,7.56851590173384e-08,-1.20917499999999,"Up in BD",7.12098927226696,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
0.388724999999997,13.9082375,21.1606221714622,9.5033072045581e-08,7.1812522537502e-06,8.71228040787413,"LPPRC_HUMAN",87,43.0949676629289,1.84642983696849e-10,7.56851590173384e-08,0.388724999999997,"Non-significant",7.12098927226696,"LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","LPPRC_HUMAN"
-0.779374999999996,12.8469125,-33.4294930764383,3.63939688878685e-09,9.7530741435172e-07,12.0696420933832,"AMPE_HUMAN",38,-42.3089853585897,2.12644433260081e-10,7.60958254282394e-08,-0.779374999999996,"Up in BD",7.11863916771312,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN"
-0.630875000000001,12.9720875,-30.769484271804,6.58758419029222e-09,1.38474397928245e-06,11.4817500196203,"SAMH1_HUMAN",38,-42.1373450393042,2.19379217430868e-10,7.60958254282394e-08,-0.630875000000001,"Up in BD",7.11863916771312,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-1.434765,10.7382175,-38.3428914023326,1.3624313130247e-09,5.87853258114554e-07,13.0132257298246,"TRFL_HUMAN",33,-42.118147999343,2.20147330851447e-10,7.60958254282394e-08,-1.434765,"Up in BD",7.11863916771312,"LTF","Lactotransferrin","TRFL_HUMAN"
0.411549999999998,15.9062,21.843360483902,7.58444623252189e-08,6.15616734794203e-06,8.95253904175257,"AOXA_HUMAN",91,42.0530725402011,2.22773824137319e-10,7.60958254282394e-08,0.411549999999998,"Non-significant",7.11863916771312,"AOX1","Aldehyde oxidase","AOXA_HUMAN"
-0.794425000000002,13.6755375,-30.050834113225,7.80056332446489e-09,1.55973214960886e-06,11.3120962711356,"APOB_HUMAN",239,-40.0544818752055,3.23614674176319e-10,1.06119723955898e-07,-0.794425000000002,"Up in BD",6.97420388839745,"APOB","Apolipoprotein B-100","APOB_HUMAN"
-0.745649999999999,12.7816,-35.0058002758507,2.61650357143448e-09,8.57071806185796e-07,12.3909508046533,"5NT3A_HUMAN",23,-39.5100528135913,3.59413550168698e-10,1.10687723595463e-07,-0.745649999999999,"Up in BD",6.95590054416554,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-3.569315,9.3762675,-38.8026493454868,1.25083050060976e-09,5.87853258114554e-07,13.093337653053,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-39.2930315691159,3.74914181745693e-10,1.10687723595463e-07,-3.569315,"Up in BD",6.95590054416554,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN"
3.7952875,9.82930625,44.6822249266852,4.54568866683492e-10,3.38777779006479e-07,14.0150970546732,"NUA4L_HUMAN",5,39.1581143619631,3.84930654645332e-10,1.10687723595463e-07,3.7952875,"Up in D",6.95590054416554,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-1.82725,14.9906,-35.8058753533745,2.22540159706453e-09,7.98764640460966e-07,12.5470173976058,"FINC_HUMAN",120,-39.0523748828442,3.92992382803267e-10,1.10687723595463e-07,-1.82725,"Up in BD",6.95590054416554,"FN1","Fibronectin","FINC_HUMAN"
