"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-4.25033,11.776635,-147.12082864283,4.86951779525766e-14,7.97824295784280e-11,21.6618636104164,"TSP1_HUMAN",50,-204.716274149653,1.18473466192139e-14,9.57621027231056e-11,-4.25033,"Up in BD",10.0188063263546,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-6.5215,14.022375,-236.607437330308,1.47492290502489e-15,1.19218018413162e-11,23.0607934404318,"MX1_HUMAN",43,-159.119058219496,7.08635640031924e-14,2.86395093918902e-10,-6.5215,"Up in BD",9.54303442596683,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-3.0041,13.229475,-103.099169803928,6.66333841129008e-13,7.43620715671151e-10,20.0223081315413,"UB2L6_HUMAN",12,-141.224921158788,1.65263299931513e-13,4.45274417782141e-10,-3.0041,"Up in BD",9.35137225554293,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-5.035025,13.4644625,-192.052999073383,6.84936668793506e-15,2.76817154692896e-11,22.5508564558486,"IFIT1_HUMAN",34,-125.689554129929,3.77915360693879e-13,5.77829457926896e-10,-5.035025,"Up in BD",9.23820032145861,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-2.982825,13.3297375,-101.715234146799,7.35984872617742e-13,7.43620715671151e-10,19.9499505834563,"RIGI_HUMAN",56,-124.130120134203,4.12928851252362e-13,5.77829457926896e-10,-2.982825,"Up in BD",9.23820032145861,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-2.66635,11.4054,-92.5088265360508,1.47896880222045e-12,1.13153876571034e-09,19.4226682381191,"SLFN5_HUMAN",37,-123.467266689159,4.28922027410785e-13,5.77829457926896e-10,-2.66635,"Up in BD",9.23820032145861,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-5.212825,13.6603125,-146.853216337411,4.93519915739379e-14,7.97824295784280e-11,21.6548000678683,"IFIT2_HUMAN",29,-111.175408441589,9.02786984891986e-13,9.93028630081017e-10,-5.212825,"Up in BD",9.00303823014816,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-3.19782499999999,14.8818125,-112.710199364668,3.45872133998566e-13,4.65947409851735e-10,20.4816710572525,"STAT1_HUMAN",41,-109.852443721667,9.82831750667838e-13,9.93028630081017e-10,-3.19782499999999,"Up in BD",9.00303823014816,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-4.9969,14.94965,-92.0025478617774,1.53988944980994e-12,1.13153876571034e-09,19.391159666635,"ISG15_HUMAN",15,-98.296637075571,2.16273273282661e-12,1.94237429771528e-09,-4.9969,"Up in BD",8.71166707732759,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-3.280605,10.6711975,-99.0945903886321,8.91787634916068e-13,8.0092438366962e-10,19.80822416856,"IFIH1_HUMAN",45,-79.7748169762282,9.51169462429601e-12,7.68830276481847e-09,-3.280605,"Up in BD",8.11416952251681,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-2.6946975,10.34135125,-68.5336351327851,1.3426512211888e-11,7.75189272919219e-09,17.5552408911812,"SYUG_HUMAN",9,-76.2937229700819,1.30524464621884e-11,9.31457543788808e-09,-2.6946975,"Up in BD",8.03083693563457,"SNCG","Gamma-synuclein","SYUG_HUMAN"
-4.792825,13.6817625,-152.675543547895,3.70714735123343e-14,7.97824295784280e-11,21.802660925263,"IFIT3_HUMAN",30,-75.6750251742758,1.3828393573507e-11,9.31457543788808e-09,-4.792825,"Up in BD",8.03083693563457,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
