"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-4.07730833333333,13.1643571428571,-142.102963765529,4.93139852277421e-12,3.37912276048842e-08,16.2774276873277,"IFIT1_HUMAN",34,-179.916279575694,1.97947759141494e-13,1.62277572944197e-09,-4.07730833333333,"Up in D",8.78974149631418,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-5.2803,14.2522142857143,-130.691254099739,8.24377350692466e-12,3.37912276048842e-08,16.0948783859414,"MX1_HUMAN",43,-151.415815268376,6.17702162795472e-13,2.53196116529864e-09,-5.2803,"Up in D",8.59654295972334,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-4.26462166666666,12.30743,-120.4713390571,1.35884724455779e-11,3.71327657029491e-08,15.896362284848,"OAS2_HUMAN",31,-139.238089091352,1.07408734174232e-12,2.64506191961022e-09,-4.26462166666666,"Up in D",8.57756415688767,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-2.58994999999999,14.8048714285714,-97.2923068120828,5.04322712367237e-11,8.26887519197322e-08,15.2697582472436,"STAT1_HUMAN",41,-135.416391629443,1.29058888490374e-12,2.64506191961022e-09,-2.58994999999999,"Up in D",8.57756415688767,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-2.26349166666666,13.2714571428571,-81.8538956171335,1.45585373514195e-10,1.70501270295625e-07,14.6458292555054,"RIGI_HUMAN",56,-118.084585485288,3.18565932230415e-12,5.22320702484988e-09,-2.26349166666666,"Up in D",8.28206276030735,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-3.71606666666666,13.2764,-100.532192449901,4.12485240927329e-11,8.26887519197322e-08,15.3760976491954,"IFIT3_HUMAN",30,-114.512578487785,3.90126515592644e-12,5.33042862471416e-09,-3.71606666666666,"Up in D",8.27323786754683,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-2.08488833333333,10.3530514285714,-71.9709929838048,3.20556475210616e-10,2.91991331530737e-07,14.1129500067787,"HELZ2_HUMAN",117,-108.260728014132,5.65005418103903e-12,6.61702059659399e-09,-2.08488833333333,"Up in D",8.17933751353939,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-2.60144166666667,10.4158214285714,-82.605943889187,1.37641811096019e-10,1.70501270295625e-07,14.6815092662637,"IFIH1_HUMAN",45,-105.154384329421,6.84632263522521e-12,7.01576912044703e-09,-2.60144166666667,"Up in D",8.15392471145583,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-3.6425,13.0347285714286,-78.354002146172,1.90344924231335e-10,1.95055961106061e-07,14.4712926887319,"IFIT2_HUMAN",29,-85.7826321959449,2.6224219278153e-11,2.38873499602553e-08,-3.6425,"Up in D",7.62183202779199,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-1.80829166666666,11.5925428571429,-57.7970482193159,1.23017109188171e-09,9.1681296465875e-07,13.0783300725071,"STAT2_HUMAN",35,-70.8566550755327,9.24906259706732e-11,7.01127667024342e-08,-1.80829166666666,"Up in D",7.15420289496353,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
