"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM2_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.70806666666667,15.0527714285714,-56.3186153971415,1.34135383056699e-09,3.75860164492799e-06,9.92315334670375,"FIBA_HUMAN",43,-84.8510986134714,1.80471772006849e-10,1.27503209249338e-06,-1.70806666666667,"Up in BM2",5.89447888392228,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-2.00258333333333,11.9359,-61.0822734073424,8.13641122403013e-10,3.75860164492799e-06,10.0445921806568,"TSP1_HUMAN",50,-77.3030908669897,3.15484867621768e-10,1.27503209249338e-06,-2.00258333333333,"Up in BM2",5.89447888392228,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.40705833333333,14.7543,-43.7739970860296,6.32252858168319e-09,1.0220999705149e-05,9.43656108832323,"FIBB_HUMAN",38,-50.3749131981844,4.10511690336157e-09,1.10605533099572e-05,-1.40705833333333,"Up in BM2",4.95622314667955,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-1.51320833333333,15.0872571428571,-51.1952744096421,2.41265647107247e-09,4.87537556391969e-06,9.7596427908821,"FINC_HUMAN",120,-42.428360434438,1.14702453860709e-08,2.13556327520621e-05,-1.51320833333333,"Up in BM2",4.67048755621291,"FN1","Fibronectin","FINC_HUMAN"
-1.57240833333332,15.3907857142857,-55.960977148042,1.39500246626054e-09,3.75860164492799e-06,9.91295671863399,"FIBG_HUMAN",29,-41.4383897564869,1.32102144946567e-08,2.13556327520621e-05,-1.57240833333332,"Up in BM2",4.67048755621291,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-2.74372666666666,10.5378171428571,-39.4936945633657,1.19015369072515e-08,1.60333538035523e-05,9.18359569295627,"TSP4_HUMAN",21,-34.3027955416467,4.08816120015218e-08,5.50743449680502e-05,-2.74372666666666,"Up in BM2",4.25905065946912,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-1.91705833333333,13.7467285714286,-36.4512620228487,1.94754745212041e-08,2.2488608650699e-05,8.96253231046513,"FGL1_HUMAN",17,-29.3030438841887,1.04685947356866e-07,0.000120882358926507,-1.91705833333333,"Up in BM2",3.91763707366267,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-0.685749999999995,12.6515571428571,-16.9073881087109,2.12434894585129e-06,0.00159275816429242,5.75461122347329,"LG3BP_HUMAN",20,-19.915244115769,1.04008705820474e-06,0.00101145909617741,-0.685749999999995,"Up in BM2",2.99505167558584,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-0.485183333333332,15.8063142857143,-15.4907218325183,3.60450367621523e-06,0.00242793360123731,5.28137140731542,"APOE_HUMAN",29,-19.6494503116166,1.12620708469587e-06,0.00101145909617741,-0.485183333333332,"Non-significant",2.99505167558584,"APOE","Apolipoprotein E","APOE_HUMAN"
-0.34245833333333,14.8247571428571,-12.6075272798954,1.24013942828783e-05,0.00475491646679967,4.11113974460117,"APOA1_HUMAN",25,-18.5572325673718,1.57953260441553e-06,0.00127673620414907,-0.34245833333333,"Non-significant",2.89389882624258,"APOA1","Apolipoprotein A-I","APOA1_HUMAN"
-0.570301666666664,10.24536,-14.8386533029304,4.67063627868087e-06,0.00290405792619827,5.04302888769084,"AGRIN_HUMAN",63,-17.5029010519368,2.23113716566612e-06,0.00155024877303959,-0.570301666666664,"Up in BM2",2.80959860370773,"AGRN","Agrin","AGRIN_HUMAN"
-3.11662666666667,7.33341285714286,-17.5739202738919,1.68083584977266e-06,0.00159275816429242,5.95822785781261,"Q6VBP1_HBV",1,-17.4110153694435,2.30149514740506e-06,0.00155024877303959,-3.11662666666667,"Up in BM2",2.80959860370773,"S","Large envelope protein","Q6VBP1_HBV"
-1.61776166666667,8.54720857142857,-16.8512320114543,2.16755410209286e-06,0.00159275816429242,5.73692777595709,"DMBT1_HUMAN",1,-16.9927144082161,2.65628911883999e-06,0.00165159884212182,-1.61776166666667,"Up in BM2",2.7820954302659,"DMBT1","Scavenger receptor cysteine-rich domain-containing protein DMBT1","DMBT1_HUMAN"
-3.51066833333333,6.89337285714286,-17.0875352256663,1.99233642002862e-06,0.00159275816429242,5.81077495424271,"COL10_HUMAN",4,-16.734431345567,2.90712774465836e-06,0.00167845096857668,-3.51066833333333,"Up in BM2",2.77509134097397,"COLEC10","Collectin-10","COL10_HUMAN"
-0.544875000000001,10.7209571428571,-14.5100701730116,5.34415665494563e-06,0.0030854870172804,4.91754848590092,"LAMC1_HUMAN",52,-16.4885365010963,3.1718927545016e-06,0.00170922727564243,-0.544875000000001,"Up in BM2",2.76720018538065,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
-0.378683333333329,12.8968571428571,-13.6463521715804,7.72456354496072e-06,0.00367280277258338,4.56918674101354,"CO4B_HUMAN",83,-16.1982977395021,3.52131357746262e-06,0.0017789236029144,-0.378683333333329,"Non-significant",2.74984270258788,"C4B_2","Complement C4-B","CO4B_HUMAN"
0.503131666666667,9.85996285714286,12.8887134209791,1.08716221865491e-05,0.00475491646679967,4.23963236931664,"FMO1_HUMAN",22,14.3516038771298,7.1639781395762e-06,0.00340626090012908,0.503131666666667,"Up in DM",2.46772209062271,"FMO1","Flavin-containing monooxygenase 1","FMO1_HUMAN"
0.330591666666669,10.5272571428571,10.6960871058228,3.28708218448895e-05,0.00916189148180143,3.1361413594274,"T23O_HUMAN",17,14.0235543035809,8.20126358627823e-06,0.00368282297599372,0.330591666666669,"Non-significant",2.43381915608312,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
