logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,C_vs_D,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
,,,1.0,1.0,,CXL10_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CXCL10,C-X-C motif chemokine 10,CXL10_HUMAN,P02778
,,,1.0,1.0,,IFI6_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,IFI6,Interferon alpha-inducible protein 6,IFI6_HUMAN,P09912
,,,1.0,1.0,,SHDAG_HDVD3;LHDAG_HDVD3,4,,1.0,1.0,,Non-significant,-0.0,nan,Small delta antigen;Large delta antigen,SHDAG_HDVD3;LHDAG_HDVD3,P0C6L3;P29996
,,,1.0,1.0,,IF44L_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,IFI44L,Interferon-induced protein 44-like,IF44L_HUMAN,Q53G44
,,,1.0,1.0,,PLA1A_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,PLA1A,Phospholipase A1 member A,PLA1A_HUMAN,Q53H76
,,,1.0,1.0,,HERC6_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,HERC6,Probable E3 ubiquitin-protein ligase HERC6,HERC6_HUMAN,Q8IVU3
,,,1.0,1.0,,RSAD2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,RSAD2,S-adenosylmethionine-dependent nucleotide dehydratase RSAD2,RSAD2_HUMAN,Q8WXG1
,,,1.0,1.0,,LAMP3_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,LAMP3,Lysosome-associated membrane glycoprotein 3,LAMP3_HUMAN,Q9UQV4
,,,1.0,1.0,,TX261_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,TEX261,Protein TEX261,TX261_HUMAN,Q6UWH6
-1.3975358804067,5.466513673464455,,0.085743372415814,0.18850133693139592,,HMSD_HUMAN,5,,0.085743372415814,0.18850133693139592,1.3975358804067,Non-significant,0.7246855652466822,HMSD,Serpin-like protein HMSD,HMSD_HUMAN,A8MTL9
-1.51895451545715,6.914347648620606,,1.4720185400856244e-06,8.393593829271456e-05,,B3KNS4_HUMAN,8,,1.4720185400856244e-06,8.393593829271456e-05,1.51895451545715,Down,4.076052050370423,ERVK3-1,Endogenous retrovirus group K3 member 1,B3KNS4_HUMAN,B3KNS4
-3.59526300430298,13.071362733840935,,8.905597475782305e-12,1.815406045438223e-08,,IFIT3_HUMAN,8,,8.905597475782305e-12,1.815406045438223e-08,3.59526300430298,Down,7.741026222655025,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,IFIT3_HUMAN,O14879
-2.21896696090698,12.877207994461067,,7.240602456058737e-09,2.307119302909782e-06,,UB2L6_HUMAN,8,,7.240602456058737e-09,2.307119302909782e-06,2.21896696090698,Down,5.63692994719727,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,UB2L6_HUMAN,O14933
-1.59340453147888,8.432522416114807,,0.012858337831450824,0.047853439834618906,,TRNK1_HUMAN,8,,0.012858337831450824,0.047853439834618906,1.59340453147888,Down,1.3200868385036573,TRANK1,TPR and ankyrin repeat-containing protein 1,TRNK1_HUMAN,O15050
-2.25623321533203,11.068415880203233,,1.0350661548282917e-07,1.4066549044116483e-05,,PLS1_HUMAN,8,,1.0350661548282917e-07,1.4066549044116483e-05,2.25623321533203,Down,4.851812435253586,PLSCR1,Phospholipid scramblase 1,PLS1_HUMAN,O15162
1.00383460521698,6.655369460582732,,0.0018031130731921787,0.011924236819796452,,CCL16_HUMAN,8,,0.0018031130731921787,0.011924236819796452,-1.00383460521698,Up,1.9235694073031537,CCL16,C-C motif chemokine 16,CCL16_HUMAN,O15467
1.73613655567169,8.221872508525848,,0.0001884083438229333,0.002569032835338124,,PAGE4_HUMAN,8,,0.0001884083438229333,0.002569032835338124,-1.73613655567169,Up,2.590230344890903,PAGE4,P antigen family member 4,PAGE4_HUMAN,O60829
-2.44132399559021,13.020856022834785,,2.589264688999751e-11,3.0161234677291386e-08,,RIGI_HUMAN,8,,2.589264688999751e-11,3.0161234677291386e-08,2.44132399559021,Down,7.5205508842028195,RIGI,Antiviral innate immune response receptor RIG-I,RIGI_HUMAN,O95786
-3.23408198356628,11.79995357990266,,1.3843585280789996e-11,2.2576118875912325e-08,,OAS1_HUMAN,8,,1.3843585280789996e-11,2.2576118875912325e-08,3.23408198356628,Down,7.646350716779981,OAS1,2'-5'-oligoadenylate synthase 1,OAS1_HUMAN,P00973
-2.10068511962891,12.529973030090325,,5.429006017038621e-09,2.0121870483151323e-06,,HLAB_HUMAN,8,,5.429006017038621e-09,2.0121870483151323e-06,2.10068511962891,Down,5.696331650715848,HLA-B,"HLA class I histocompatibility antigen, B alpha chain",HLAB_HUMAN,P01889
-1.39180326461792,13.44738364219665,,7.397720933156004e-08,1.1381323865840387e-05,,HLAH_HUMAN,8,,7.397720933156004e-08,1.1381323865840387e-05,1.39180326461792,Down,4.943807218240662,HLA-H,"Putative HLA class I histocompatibility antigen, alpha chain H",HLAH_HUMAN,P01893
1.53759980201721,16.445731997489926,,0.14296217458316302,0.273449113664347,,K1C14_HUMAN,8,,0.14296217458316302,0.273449113664347,-1.53759980201721,Non-significant,0.5631234799737713,KRT14,"Keratin, type I cytoskeletal 14",K1C14_HUMAN,P02533
1.7042940457662,9.56888349850972,,0.12926085248475389,0.2546269922847076,,K2C6A_HUMAN,7,,0.12926085248475389,0.2546269922847076,-1.7042940457662,Non-significant,0.5940955599166889,KRT6A,"Keratin, type II cytoskeletal 6A",K2C6A_HUMAN,P02538
1.0039074420929,11.967398762702956,,1.8301152057154096e-08,4.522048299213166e-06,,HRG_HUMAN,8,,1.8301152057154096e-08,4.522048299213166e-06,-1.0039074420929,Up,5.34466480334189,HRG,Histidine-rich glycoprotein,HRG_HUMAN,P04196
-1.30972361564636,16.283825516700738,,2.7536111515961975e-09,1.3219010309985378e-06,,HLAA_HUMAN,8,,2.7536111515961975e-09,1.3219010309985378e-06,1.30972361564636,Down,5.878801058693167,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",HLAA_HUMAN,P04439
-1.03921675682068,11.111290574073784,,0.014658279858102887,0.052653574433026845,,MT1E_HUMAN,8,,0.014658279858102887,0.052653574433026845,1.03921675682068,Non-significant,1.278572141024615,MT1E,Metallothionein-1E,MT1E_HUMAN,P04732
1.05531048774719,6.780632853507996,,2.6704405856722294e-05,0.0006956420837904664,,CY24B_HUMAN,8,,2.6704405856722294e-05,0.0006956420837904664,-1.05531048774719,Up,3.157614152653903,CYBB,Cytochrome b-245 heavy chain,CY24B_HUMAN,P04839
2.11512994766235,10.599433660507204,,0.08237565250051723,0.1830220900515579,,S10A8_HUMAN,8,,0.08237565250051723,0.1830220900515579,-2.11512994766235,Non-significant,0.7374964894579914,S100A8,Protein S100-A8,S10A8_HUMAN,P05109
-3.95936155319214,14.51110005378724,,1.1201855629672498e-09,6.08932872028997e-07,,ISG15_HUMAN,8,,1.1201855629672498e-09,6.08932872028997e-07,3.95936155319214,Down,6.215430580789523,ISG15,Ubiquitin-like protein ISG15,ISG15_HUMAN,P05161
2.08037185668945,10.797185182571406,,0.07504311843428499,0.17073146978603787,,S10A9_HUMAN,8,,0.07504311843428499,0.17073146978603787,-2.08037185668945,Non-significant,0.7676864209194896,S100A9,Protein S100-A9,S10A9_HUMAN,P06702
-1.07395958900452,10.129678606986996,,5.790173966197993e-07,4.817661073508003e-05,,TSP1_HUMAN,8,,5.790173966197993e-07,4.817661073508003e-05,1.07395958900452,Down,4.317163756243597,THBS1,Thrombospondin-1,TSP1_HUMAN,P07996
-1.28349792957306,7.9331862330436715,,0.00038837468024620624,0.004273806178896278,,ASNS_HUMAN,8,,0.00038837468024620624,0.004273806178896278,1.28349792957306,Down,2.36918517738592,ASNS,Asparagine synthetase [glutamine-hydrolyzing],ASNS_HUMAN,P08243
2.10548543930054,10.036180973052986,,0.05145969053087348,0.12926750357016092,,K1C16_HUMAN,8,,0.05145969053087348,0.12926750357016092,-2.10548543930054,Non-significant,0.8885106382591351,KRT16,"Keratin, type I cytoskeletal 16",K1C16_HUMAN,P08779
-3.57833242416382,12.806654453277606,,2.0389045503179613e-11,2.7708712838821093e-08,,IFIT2_HUMAN,8,,2.0389045503179613e-11,2.7708712838821093e-08,3.57833242416382,Down,7.557383648161506,IFIT2,Interferon-induced protein with tetratricopeptide repeats 2,IFIT2_HUMAN,P09913
-3.94321656227112,12.940154671669015,,1.0492294519631896e-13,8.126451657455056e-10,,IFIT1_HUMAN,8,,1.0492294519631896e-13,8.126451657455056e-10,3.94321656227112,Down,9.090099043824843,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1,IFIT1_HUMAN,P09914
-1.26379680633545,15.174415349960316,,5.035110231901682e-07,4.2766967532214906e-05,,HLAC_HUMAN,8,,5.035110231901682e-07,4.2766967532214906e-05,1.26379680633545,Down,4.368891543073001,HLA-C,"HLA class I histocompatibility antigen, C alpha chain",HLAC_HUMAN,P10321
1.00722980499268,11.2746820449829,,0.01579856539718161,0.05571880696861234,,COX7C_HUMAN,8,,0.01579856539718161,0.05571880696861234,-1.00722980499268,Non-significant,1.2539981911083637,COX7C,"Cytochrome c oxidase subunit 7C, mitochondrial",COX7C_HUMAN,P15954
-1.0105242729187,11.98663139343261,,3.8742266744843355e-08,7.346614954359365e-06,,RO52_HUMAN,8,,3.8742266744843355e-08,7.346614954359365e-06,1.0105242729187,Down,5.133912721497548,TRIM21,E3 ubiquitin-protein ligase TRIM21,RO52_HUMAN,P19474
-1.43017292022705,11.67597556114196,,6.064222936078688e-09,2.149898861773288e-06,,E2AK2_HUMAN,8,,6.064222936078688e-09,2.149898861773288e-06,1.43017292022705,Down,5.667581970227145,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase",E2AK2_HUMAN,P19525
-5.7093493938446,13.660523533821115,,1.9932429868665823e-13,8.126451657455056e-10,,MX1_HUMAN,8,,1.9932429868665823e-13,8.126451657455056e-10,5.7093493938446,Down,9.090099043824843,MX1,Interferon-induced GTP-binding protein Mx1,MX1_HUMAN,P20591
-1.18849802017212,9.135175943374634,,0.00019650989761556482,0.002652883617810125,,ACES_HUMAN,8,,0.00019650989761556482,0.002652883617810125,1.18849802017212,Down,2.576281802129064,ACHE,Acetylcholinesterase,ACES_HUMAN,P22303
-1.04431867599487,10.558247566223141,,7.24096333176055e-06,0.0002683764318507978,,TENA_HUMAN,8,,7.24096333176055e-06,0.0002683764318507978,1.04431867599487,Down,3.5712556254872587,TNC,Tenascin,TENA_HUMAN,P24821
-1.13735795021057,11.924850106239335,,3.2170650388734066e-09,1.4573304626096532e-06,,PML_HUMAN,8,,3.2170650388734066e-09,1.4573304626096532e-06,1.13735795021057,Down,5.836441956936518,PML,Protein PML,PML_HUMAN,P29590
-4.42366051673889,11.923300147056592,,4.1297435901412676e-10,2.806160769500991e-07,,OAS2_HUMAN,8,,4.1297435901412676e-10,2.806160769500991e-07,4.42366051673889,Down,6.551887451159757,OAS2,2'-5'-oligoadenylate synthase 2,OAS2_HUMAN,P29728
-2.0523202419281,9.294855952262889,,4.955267332855572e-07,4.253184192853088e-05,,HLAF_HUMAN,8,,4.955267332855572e-07,4.253184192853088e-05,2.0523202419281,Down,4.371285808866619,HLA-F,"HLA class I histocompatibility antigen, alpha chain F",HLAF_HUMAN,P30511
-1.03082048892975,8.28524845838547,,0.0023232248985861764,0.014158128417841318,,CD68_HUMAN,8,,0.0023232248985861764,0.014158128417841318,1.03082048892975,Down,1.8489941528274165,CD68,Macrosialin,CD68_HUMAN,P34810
1.45058155059814,7.893882989883424,,0.0001252637815173687,0.0019522391545540594,,HXK4_HUMAN,8,,0.0001252637815173687,0.0019522391545540594,-1.45058155059814,Up,2.7094669811667087,GCK,Hexokinase-4,HXK4_HUMAN,P35557
