"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","C_vs_BDM"
4.2475775,11.71648625,81.3139410594441,5.55219063333122e-12,3.38726300342265e-08,17.4598978035868,"TSP1_HUMAN",50,-88.3165560741773,7.44077680674274e-13,6.0999488261677e-09,-4.2475775,"Up in BDM",8.2146738083673,"THBS1","Thrombospondin-1","TSP1_HUMAN",4.2475775
2.108225,13.4528625,76.9608773785379,8.26363260166541e-12,3.38726300342265e-08,17.2092288826749,"FGL1_HUMAN",17,-77.1245919173637,2.11007132431132e-12,8.6491823583521e-09,-2.108225,"Up in BDM",8.06302494618139,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN",2.108225
1.49035,14.5448,55.8608552297366,8.36570634381632e-11,1.64705896010937e-07,15.5166035597204,"VIME_HUMAN",46,-71.9947118657013,3.58246192034798e-12,9.78967427433758e-09,-1.49035,"Up in BDM",8.00923175796307,"VIM","Vimentin","VIME_HUMAN",1.49035
2.04465,14.540775,57.9123955476882,6.44757813638272e-11,1.64705896010937e-07,15.7257713349569,"FIBB_HUMAN",38,-66.0246497248997,6.97009568164497e-12,1.42852110995314e-08,-2.04465,"Up in BDM",7.84511333745245,"FGB","Fibrinogen beta chain","FIBB_HUMAN",2.04465
-0.918899999999999,14.871425,-41.4517654216567,7.1991917375184e-10,4.22603293153657e-07,13.6341832331344,"ACOHC_HUMAN",48,62.5308396504027,1.05863495150079e-11,1.73573786648069e-08,0.918899999999999,"Up in C",7.76051586195728,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN",-0.918899999999999
-1.48605,16.09535,-50.7943307755841,1.66181124228891e-10,2.16952382575081e-07,14.9448439651451,"ALDOC_HUMAN",31,59.2214665955169,1.60784406062232e-11,2.10004368007403e-08,1.48605,"Up in C",7.67777167201949,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN",-1.48605
1.5974,11.2461,54.4628868065687,1.00454925598278e-10,1.64705896010937e-07,15.3670267097186,"ANXA3_HUMAN",21,-58.3867545627801,1.79315757020227e-11,2.10004368007403e-08,-1.5974,"Up in BDM",7.67777167201949,"ANXA3","Annexin A3","ANXA3_HUMAN",1.5974
1.7109,11.803125,50.0355607671248,1.85248435963109e-10,2.16952382575081e-07,14.8517527562214,"K1C19_HUMAN",26,-55.0114134381155,2.83351055871995e-11,2.90363994504827e-08,-1.7109,"Up in BDM",7.53705723768728,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",1.7109
1.302525,12.4998625,46.4323234468625,3.17647902242016e-10,3.25509687822506e-07,14.3796867830277,"PAI1_HUMAN",22,-50.6090755542925,5.37727047170162e-11,4.528443780945e-08,-1.302525,"Up in BDM",7.34405101950274,"SERPINE1","Plasminogen activator inhibitor 1","PAI1_HUMAN",1.302525
-1.109775,14.1263625,-43.3209698172755,5.23828223798993e-10,3.99428853399728e-07,13.9278645460372,"AL8A1_HUMAN",26,50.3780543563695,5.56955588350015e-11,4.528443780945e-08,1.109775,"Up in C",7.34405101950274,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN",-1.109775
1.47825,10.9469,43.18373903688,5.35949913075995e-10,3.99428853399728e-07,13.9068984791312,"TRFM_HUMAN",39,-49.7006454902967,6.17969658311027e-11,4.528443780945e-08,-1.47825,"Up in BDM",7.34405101950274,"MELTF","Melanotransferrin","TRFM_HUMAN",1.47825
-1.19555,11.52355,-45.1865812538596,3.86490078958024e-10,3.52049518588654e-07,14.2040389611448,"VTDB_HUMAN",21,48.8912739324889,7.00999617327539e-11,4.528443780945e-08,1.19555,"Up in C",7.34405101950274,"GC","Vitamin D-binding protein","VTDB_HUMAN",-1.19555
