"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-0.298403087089429,20.5000420054237,-9.47899061792756,1.79965683032079e-05,0.0113049295147743,3.4925925427569,"O95954",35,-11.6221788807991,8.33894647798882e-07,0.00165282939132017,0.298403087089429,"Non-significant",2.7817719729453,"FTCD","Formimidoyltransferase-cyclodeaminase","O95954"
-0.685212615322889,20.1341845936362,-15.8240178724352,4.38533620773245e-07,0.00313156858594174,6.39630658538358,"P02652;V9GYC1;V9GYM3;V9GYE3;V9GYS1;V9GYG9",5,-12.1800928614094,5.54874665477152e-07,0.00165282939132017,0.685212615322889,"Up in CM",2.7817719729453,"APOA2","Apolipoprotein A-II","P02652;V9GYC1;V9GYM3;V9GYE3;V9GYS1;V9GYG9"
0.434999685263502,20.1369383096893,9.50170772332644,1.76950070545999e-05,0.0113049295147743,3.50755927150425,"P10586;H0Y6Z7;H0Y4H1",50,11.0924297468422,1.24792850216834e-06,0.00165282939132017,-0.434999685263495,"Non-significant",2.7817719729453,"PTPRF","Receptor-type tyrosine-protein phosphatase F","P10586;H0Y6Z7;H0Y4H1"
0.688799039884454,20.9126066643911,10.2872261903506,1.0069335772286e-05,0.0110943512426811,3.9990044376942,"P40261",14,11.1750548533674,1.17059288985087e-06,0.00165282939132017,-0.688799039884454,"Up in BM",2.7817719729453,"NNMT","Nicotinamide N-methyltransferase","P40261"
-0.24737755900788,23.3527986735331,-8.67294543713412,3.3561885226e-05,0.0149792261328122,2.93168113157715,"P50226;P50225;H3BQX5;E9PM76;H3BRY5;E9PKR8;E9PKW4",28,-10.5944622593385,1.85165034736891e-06,0.00165282939132017,0.247377559007887,"Non-significant",2.7817719729453,"SULT1A1","Sulfotransferase 1A1","P50226;P50225;H3BQX5;E9PM76;H3BRY5;E9PKR8;E9PKW4"
-0.599853066043558,20.3549542310571,-10.1767074269184,1.08752917936938e-05,0.0110943512426811,3.93281524559951,"Q06520",13,-10.9304041354452,1.41645188446168e-06,0.00165282939132017,0.599853066043551,"Up in CM",2.7817719729453,"SULT2A1","Sulfotransferase 2A1","Q06520"
-0.312349741779592,21.6654196550816,-10.8193902187527,7.01932511823898e-06,0.0110943512426811,4.30506124343464,"Q15738;C9JDR0",24,-12.8431662196661,3.49239711257042e-07,0.00165282939132017,0.312349741779592,"Non-significant",2.7817719729453,"NSDHL","Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating","Q15738;C9JDR0"
-0.96844699763507,16.2621679978331,-10.8604092511501,6.83128961689558e-06,0.0110943512426811,4.32781208689549,"Q9BY64;P36537",5,-10.7096865308257,1.68769598729558e-06,0.00165282939132017,0.968446997635073,"Up in CM",2.7817719729453,"UGT2B10","UDP-glucuronosyltransferase 2B10","Q9BY64;P36537"
0.364486581172837,21.9124681332654,8.90908191182972,2.78240238564305e-05,0.0149792261328122,3.10221052956059,"P05362;E7ESS4",24,10.1693811161574,2.62685862530922e-06,0.00208426638259257,-0.364486581172837,"Non-significant",2.68104677620896,"ICAM1","Intercellular adhesion molecule 1","P05362;E7ESS4"
-0.765500512676823,27.6213226354225,-8.59315110695264,3.57916824527433e-05,0.0149792261328122,2.87283847249648,"ALBU_BOVIN;ALBU_HUMAN;P02768;H0YA55;H7C013;A0A0C4DGB6",61,-9.6106644324182,4.24126675164236e-06,0.00252390715612317,0.765500512676827,"Up in CM",2.59792662499249,"ALB","Albumin","ALBU_BOVIN;ALBU_HUMAN;P02768;H0YA55;H7C013;A0A0C4DGB6"
