"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B_vs_BM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-2.3995442390442,15.8934967517853,-12.6686894595521,2.85957212367709e-06,0.0102958894312993,4.45757677482096,"D6RF46",1,-11.589947172158,1.38547889460113e-06,0.00466645156984992,2.3995442390442,"Up in BM",2.33101323708003,"ERAP2","Endoplasmic reticulum aminopeptidase 2 (Fragment)","D6RF46"
-0.398185729980479,22.2686972618103,-10.0713756056506,1.4288657621258e-05,0.0257231558826698,3.36274888129264,"P19224;C9JMY5",19,-11.1209555368597,1.94408480899177e-06,0.00466645156984992,0.398185729980476,"Non-significant",2.33101323708003,"UGT1A6","UDP-glucuronosyltransferase 1-6","P19224;C9JMY5"
-0.381518840789823,18.1759650707245,-11.2649439347495,6.5446465629768e-06,0.0157093332999986,3.91721856948336,"Q8IY18",16,-12.1987473591954,9.08539471656056e-07,0.00466645156984992,0.381518840789823,"Non-significant",2.33101323708003,"SMC5","Structural maintenance of chromosomes protein 5","Q8IY18"
2.83099293708798,17.8407009840012,8.94013034432207,3.24126387440162e-05,0.0466806823191322,2.73730915766667,"P03138",3,9.51946779610575,6.84857337635813e-06,0.0123291442207887,-2.83099293708798,"Up in B",1.90906706720699,"S","Large envelope protein","P03138"
3.53710532188415,18.6298743486404,8.41585394331381,4.88433618413678e-05,0.0531236404471977,2.40855100266469,"P03146;P0C573",5,9.10354363068345,9.78171507252325e-06,0.014087626047448,-3.53710532188415,"Up in B",1.85116218512747,"C","Capsid protein","P03146;P0C573"
-0.221693992614778,25.606547832489,-7.74456635236585,8.52716237094654e-05,0.061404096233186,1.94641809589366,"Q13268;H0YJG9;C9JZP6",21,-8.84130553070666,1.23330718242968e-05,0.0148017417011269,0.221693992614775,"Non-significant",1.82968717874803,"DHRS2","Dehydrogenase/reductase SDR family member 2, mitochondrial","Q13268;H0YJG9;C9JZP6"
-0.234460830688477,18.188645362854,-7.37299805635583,0.000118072704567078,0.0772946859625024,1.66884016156216,"Q8IVT2",24,-8.47079581633823,1.72795965729014e-05,0.0155537968651829,0.234460830688473,"Non-significant",1.80816357729206,"MISP","Mitotic interactor and substrate of PLK1","Q8IVT2"
0.177657604217501,23.6137607097626,6.92707965620677,0.000177572662214946,0.0913357671864163,1.31341380968603,"Q9H3G5;C9JLV0",30,8.52145650133807,1.64893883494754e-05,0.0155537968651829,-0.177657604217497,"Non-significant",1.80816357729206,"CPVL","Probable serine carboxypeptidase CPVL","Q9H3G5;C9JLV0"
0.149723529815674,20.5117037296295,6.44988887688244,0.000281158643190601,0.0951456308316879,0.904094994204057,"P06865;H3BP20;H3BU85;H3BS10;H3BTD4",24,7.82962354013588,3.1884851924728e-05,0.0229602818709966,-0.149723529815674,"Non-significant",1.63902278464223,"HEXA","Beta-hexosaminidase subunit alpha","P06865;H3BP20;H3BU85;H3BS10;H3BTD4"
0.156280517578132,21.6007952690124,6.23077519884797,0.000350159486930804,0.0969962168080341,0.705483949395604,"P80404;H3BRN4;H3BNQ7",37,7.92995719396254,2.88964625398619e-05,0.0229602818709966,-0.156280517578125,"Non-significant",1.63902278464223,"ABAT","4-aminobutyrate aminotransferase, mitochondrial","P80404;H3BRN4;H3BNQ7"
-0.393133640289328,18.5710198879242,-7.00312425668423,0.000165401768460185,0.0913357671864163,1.37582017902077,"Q96SB8;A0A0A0MRY1;C9JMN1",21,-7.70181704874056,3.61948604648477e-05,0.0236944718370335,0.393133640289328,"Non-significant",1.62535296752243,"SMC6","Structural maintenance of chromosomes protein 6","Q96SB8;A0A0A0MRY1;C9JMN1"
-0.598799705505382,19.4493775367737,-6.80801837768276,0.00019869113579206,0.0916835965047089,1.21417735045663,"P16444",10,-7.26491361334717,5.65349203675998e-05,0.0339256634639238,0.598799705505375,"Up in BM",1.46947165034756,"DPEP1","Dipeptidase 1","P16444"
0.129546165466323,21.3548765182495,5.4947517198216,0.000763515125206369,0.130113130755023,-0.0144060313872565,"Q12931;I3L239;I3L0K7;I3L2D5",34,7.08462134433777,6.83582187683155e-05,0.0378651948731261,-0.129546165466323,"Non-significant",1.4217598037382,"TRAP1","Heat shock protein 75 kDa, mitochondrial","Q12931;I3L239;I3L0K7;I3L2D5"
-0.537616729736349,16.6510596275329,-7.7730872930488,8.32110923182313e-05,0.061404096233186,1.96705923852129,"Q8WV22",4,-6.9258403695963,8.10424294490898e-05,0.0416847524616354,0.537616729736349,"Up in BM",1.38002277314895,"NSMCE1","Non-structural maintenance of chromosomes element 1 homolog","Q8WV22"
-0.179498195648154,18.7778627872467,-8.34667876247566,5.16408114331876e-05,0.0531236404471977,2.36314068924265,"Q96MG7",9,-6.74560319852562,9.8656495149727e-05,0.0427136969925831,0.179498195648151,"Non-significant",1.36943283751739,"NSMCE3","Non-structural maintenance of chromosomes element 3 homolog","Q96MG7"
0.216330051422098,18.4402830600738,6.56098151746409,0.000252074294080716,0.0951456308316879,1.00218014635941,"Q9NP92",13,6.81199813350868,9.17218999634132e-05,0.0427136969925831,-0.216330051422098,"Non-significant",1.36943283751739,"MRPS30","39S ribosomal protein S30, mitochondrial","Q9NP92"
0.209820747375474,21.1697807312012,6.15140555921564,0.000379654393152692,0.0969962168080341,0.631818680563608,"Q9UK22;A0A286YF37",17,6.72577133752018,0.000100837779318694,0.0427136969925831,-0.209820747375478,"Non-significant",1.36943283751739,"FBXO2","F-box only protein 2","Q9UK22;A0A286YF37"
0.321468353271499,18.1022968292236,6.71352298473654,0.000217457269764791,0.0916835965047089,1.13406763755085,"P11168",8,6.60409725050132,0.000115433595846997,0.043749332826012,-0.321468353271499,"Non-significant",1.35902856554889,"SLC2A2","Solute carrier family 2, facilitated glucose transporter member 2","P11168"
-0.627224922180229,17.2837247848511,-6.17107411056894,0.000372095724862532,0.0969962168080341,0.650160181531898,"Q15063;B1ALD9",10,-6.61410549678414,0.000114149625003204,0.043749332826012,0.627224922180226,"Up in BM",1.35902856554889,"POSTN","Periostin","Q15063;B1ALD9"
0.180821418762228,20.4282426834106,5.73122426634538,0.000589974781540599,0.111487749777323,0.226039078599258,"Q15293",21,6.48306502174094,0.000132278652948965,0.0476269289942747,-0.180821418762225,"Non-significant",1.32214742108843,"RCN1","Reticulocalbin-1","Q15293"
-0.308481216430671,18.0618643760681,-6.34097006342118,0.000313351724266335,0.0969962168080341,0.806232144321184,"P30039;V9GY00;A0A0C4DFS0",8,-6.2551831186574,0.000171780650994543,0.0570289764031229,0.308481216430675,"Non-significant",1.24390442337307,"PBLD","Phenazine biosynthesis-like domain-containing protein","P30039;V9GY00;A0A0C4DFS0"
-0.728776454925526,15.5553760528564,-19.5798686283412,1.25569635728247e-07,0.000904226946879106,6.03567121467922,"P78559;E9PGC8",1,-6.2429893715436,0.000174231006925247,0.0570289764031229,0.728776454925525,"Non-significant",1.24390442337307,"MAP1A","Microtubule-associated protein 1A","P78559;E9PGC8"
-0.174570560455305,18.1008913516999,-5.68624164139991,0.000619290375099698,0.111487749777323,0.180984024677972,"O43301;A0A6I8PLB1;A0A6I8PIT5;A0A6I8PL32;A0A1B0GTF3;A0A6I8PIW1",16,-6.15364118178555,0.000193395155887711,0.0605495007629307,0.174570560455301,"Non-significant",1.21788943331033,"HSPA12A","Heat shock 70 kDa protein 12A","O43301;A0A6I8PLB1;A0A6I8PIT5;A0A6I8PL32;A0A1B0GTF3;A0A6I8PIW1"
-0.163118839263952,20.672129869461,-5.08540634551109,0.00121421241518295,0.141680380937232,-0.452069830677719,"GELS_HUMAN;P06396;A0A0A0MS51;A0A0A0MT01",38,-6.05844280088887,0.000216380323479644,0.0623261883750767,0.163118839263952,"Non-significant",1.20532943204091,"GSN","Gelsolin","GELS_HUMAN;P06396;A0A0A0MS51;A0A0A0MT01"
0.310996055603024,19.7124190330505,5.46920672295814,0.000785424124762723,0.130113130755023,-0.0409156185162587,"P07355;A6NMY6;H0YNP5;H0YKX9;H0YMD0;H0YLV6;H0YM50;H0YN42;H0YKS4;H0YKZ7;H0YMM1;H0YMU9;H0YMW4;H0YMT9",29,6.07321520328177,0.000212626070840591,0.0623261883750767,-0.310996055603027,"Non-significant",1.20532943204091,"ANXA2","Annexin A2","P07355;A6NMY6;H0YNP5;H0YKX9;H0YMD0;H0YLV6;H0YM50;H0YN42;H0YKS4;H0YKZ7;H0YMM1;H0YMU9;H0YMW4;H0YMT9"
-1.50457930564883,15.5868092775345,-6.05892154569555,0.000417564605061666,0.0969962168080341,0.544803762979576,"P20929;A0A087X1N7",1,-5.91390658061384,0.000257180007968318,0.071228970668456,1.50457930564883,"Non-significant",1.14734333160994,"NEB","Nebulin","P20929;A0A087X1N7"
-0.489782810211146,20.9911773204804,-5.34349071685074,0.000903898726132102,0.13266962257937,-0.172922106658134,"P02774;D6RF35",11,-5.73388005997104,0.000320143412594067,0.0724899376671474,0.48978281021115,"Non-significant",1.13972227368997,"GC","Vitamin D-binding protein","P02774;D6RF35"
-0.390408515930197,18.0701971054077,-5.45825968169904,0.000795025378866964,0.130113130755023,-0.0523083151190527,"P05154;G3V2M1;G3V264",12,-5.84399419795935,0.000279865887168801,0.0724899376671474,0.390408515930201,"Non-significant",1.13972227368997,"SERPINA5","Plasma serine protease inhibitor","P05154;G3V2M1;G3V264"
0.145654678344751,20.8336610794067,4.89667475179877,0.00151555593282093,0.148532547048027,-0.663257176566567,"P30837",29,5.79696118722361,0.000296350842568318,0.0724899376671474,-0.145654678344751,"Non-significant",1.13972227368997,"ALDH1B1","Aldehyde dehydrogenase X, mitochondrial","P30837"
-0.118011474609396,21.1033034324646,-4.58418303417657,0.00221234475709873,0.165948902040292,-1.02623218442687,"P42167;P42166;H0YJH7;G5E972",36,-5.76258899681572,0.000309066693796629,0.0724899376671474,0.118011474609403,"Non-significant",1.13972227368997,"TMPO","Lamina-associated polypeptide 2, isoform alpha","P42167;P42166;H0YJH7;G5E972"
0.139273166656498,19.7828996181488,5.00306871594972,0.00133668532824236,0.141680380937232,-0.543465404388882,"P82650;H7C5H3;G5E9V5;H7C5F2;G5E9W7;H7C5L9",21,5.72883871466658,0.000322132760081755,0.0724899376671474,-0.139273166656501,"Non-significant",1.13972227368997,"MRPS22","28S ribosomal protein S22, mitochondrial","P82650;H7C5H3;G5E9V5;H7C5F2;G5E9W7;H7C5L9"
0.143651962280277,18.0487060546875,5.92707064906872,0.000479102821850023,0.104546043034606,0.418526116761363,"Q9UJU6;H0Y5J4",12,5.75055156511439,0.000313659420330163,0.0724899376671474,-0.143651962280277,"Non-significant",1.13972227368997,"DBNL","Drebrin-like protein","Q9UJU6;H0Y5J4"
