S:\LUMOS\2024_05\240510_Zabransky\240510_I_2.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_I_1.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_I_3.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_I_4.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_DM_3.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_DM_4.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_DM_2.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_DM_1.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_D_2.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_D_4.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_D_1.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_D_3.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_C_3.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_C_4.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_C_2.mzML	S:\LUMOS\2024_05\240510_Zabransky\240510_C_1.mzML	C: ANOVA Significant	C: GOBP name	C: GOMF name	C: GOCC name	C: KEGG name	C: Cluster	N: -Log ANOVA p value	N: ANOVA q-value	T: Protein.Group	T: Protein.Ids	T: Protein.Names	T: Genes	T: First.Protein.Description
1.46554	1.51243	0.722908	1.0321	-1.35572	-1.12049	-0.201728	-0.397003	-1.21391	-0.180141	-1.4835	-0.697585	0.832363	0.00641389	0.209425	0.868892	+	"biological regulation;carbohydrate metabolic process;catabolic process;cellular carbohydrate metabolic process;cellular catabolic process;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;cellular response to chemical stimulus;cellular response to organic substance;cellular response to stimulus;cellular response to stress;cellular response to topologically incorrect protein;cellular response to unfolded protein;developmental process;embryo development;embryo development ending in birth or egg hatching;endoplasmic reticulum unfolded protein response;ER-associated protein catabolic process;ER-nucleus signaling pathway;glycosylation;chordate embryonic development;in utero embryonic development;macromolecule catabolic process;macromolecule glycosylation;macromolecule metabolic process;macromolecule modification;metabolic process;modification-dependent macromolecule catabolic process;modification-dependent protein catabolic process;peptidyl-amino acid modification;peptidyl-asparagine modification;primary metabolic process;proteasomal protein catabolic process;proteasomal ubiquitin-dependent protein catabolic process;protein glycosylation;protein metabolic process;protein modification by small protein conjugation;protein modification by small protein conjugation or removal;protein modification process;protein N-linked glycosylation;protein N-linked glycosylation via asparagine;protein ubiquitination;protein ubiquitination involved in ubiquitin-dependent protein catabolic process;proteolysis;proteolysis involved in cellular protein catabolic process;regulation of biological process;regulation of cellular process;response to endoplasmic reticulum stress;response to chemical stimulus;response to organic substance;response to stimulus;response to stress;response to topologically incorrect protein;response to unfolded protein;signal transduction;ubiquitin-dependent protein catabolic process"	"acid-amino acid ligase activity;binding;catalytic activity;cation binding;ion binding;ligase activity;ligase activity, forming carbon-nitrogen bonds;metal ion binding;transition metal ion binding;zinc ion binding"	"cell part;cytoplasmic part;cytoplasmic ubiquitin ligase complex;endoplasmic reticulum;endoplasmic reticulum membrane;endoplasmic reticulum part;ER ubiquitin ligase complex;Hrd1p ubiquitin ligase complex;integral to membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;intrinsic to membrane;macromolecular complex;membrane;membrane part;membrane-bounded organelle;nuclear part;nucleoplasm;organelle;organelle membrane;organelle part;protein complex;ubiquitin ligase complex"	"Protein processing in endoplasmic reticulum;Ubiquitin mediated proteolysis"	Cluster -162	3.8352	0.0222069	Q86TM6	"Q86TM6;E9PK19;E9PMA1"	SYVN1_HUMAN	SYVN1	E3 ubiquitin-protein ligase synoviolin
0.858315	1.40931	1.8107	0.00972928	-0.691421	-1.75265	-1.22659	-0.119625	-0.490598	-0.75277	-0.643152	-0.52896	0.372528	1.20385	-0.31858	0.859911	+	"amine metabolic process;aminoglycan catabolic process;aminoglycan metabolic process;carbohydrate catabolic process;carbohydrate metabolic process;catabolic process;chitin catabolic process;chitin metabolic process;macromolecule catabolic process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;oligosaccharide catabolic process;oligosaccharide metabolic process;polysaccharide catabolic process;polysaccharide metabolic process;primary metabolic process"	"binding;carbohydrate binding;catalytic activity;hydrolase activity;hydrolase activity, acting on glycosyl bonds;hydrolase activity, hydrolyzing O-glycosyl compounds;chitin binding;chitinase activity;pattern binding;polysaccharide binding"	"cell part;cytoplasmic part;extracellular membrane-bounded organelle;extracellular organelle;extracellular region part;extracellular space;extracellular vesicular exosome;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;lysosome;lytic vacuole;membrane-bounded organelle;membrane-bounded vesicle;organelle;vacuole;vesicle"		Cluster -162	2.65146	0.0482209	Q01459	Q01459	DIAC_HUMAN	CTBS	Di-N-acetylchitobiase
1.23068	0.0248438	0.817594	0.145488	-0.983918	-1.91263	-0.839439	-0.562712	0.409013	-0.735846	-0.83475	-0.726862	0.857197	1.05322	0.237948	1.82017	+			"cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane-bounded organelle;non-membrane-bounded organelle;nuclear part;nucleolus;nucleus;organelle;organelle part"		Cluster -162	2.83757	0.0389924	Q9BQ67	"Q9BQ67;M0QX71"	GRWD1_HUMAN	GRWD1	Glutamate-rich WD repeat-containing protein 1
-0.0804838	0.422846	1.16765	0.555884	-1.33191	-0.315476	-0.628005	-0.583329	-0.506338	-1.14176	-1.5479	-0.508842	0.290596	1.17706	1.15523	1.87477	+	"activation of immune response;activation of innate immune response;activation of MAPK activity;biological regulation;cardiac muscle contraction;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;cellular response to stimulus;cellular response to stress;defense response;immune response;immune response-activating signal transduction;immune response-regulating signaling pathway;immune system process;inflammatory response;innate immune response;innate immune response-activating signal transduction;intracellular protein kinase cascade;intracellular signal transduction;macromolecule metabolic process;macromolecule modification;MAPKKK cascade;metabolic process;multicellular organismal process;muscle contraction;muscle system process;MyD88-dependent toll-like receptor signaling pathway;MyD88-independent toll-like receptor signaling pathway;pattern recognition receptor signaling pathway;phosphate-containing compound metabolic process;phosphorus metabolic process;phosphorylation;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of catalytic activity;positive regulation of cellular biosynthetic process;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of defense response;positive regulation of gene expression;positive regulation of immune response;positive regulation of immune system process;positive regulation of innate immune response;positive regulation of kinase activity;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of MAP kinase activity;positive regulation of metabolic process;positive regulation of molecular function;positive regulation of nitrogen compound metabolic process;positive regulation of nucleobase-containing compound metabolic process;positive regulation of protein kinase activity;positive regulation of protein serine/threonine kinase activity;positive regulation of response to stimulus;positive regulation of RNA metabolic process;positive regulation of transcription, DNA-dependent;positive regulation of transferase activity;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;regulation of apoptosis;regulation of biological process;regulation of biosynthetic process;regulation of catalytic activity;regulation of cell cycle;regulation of cell death;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of cytokine biosynthetic process;regulation of cytokine production;regulation of defense response;regulation of gene expression;regulation of immune response;regulation of immune system process;regulation of innate immune response;regulation of kinase activity;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of MAP kinase activity;regulation of metabolic process;regulation of mitotic cell cycle;regulation of molecular function;regulation of multicellular organismal process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of phosphate metabolic process;regulation of phosphorus metabolic process;regulation of phosphorylation;regulation of primary metabolic process;regulation of programmed cell death;regulation of protein kinase activity;regulation of protein metabolic process;regulation of protein modification process;regulation of protein phosphorylation;regulation of protein serine/threonine kinase activity;regulation of response to stimulus;regulation of response to stress;regulation of RNA metabolic process;regulation of signal transduction;regulation of signaling;regulation of transcription, DNA-dependent;regulation of transferase activity;response to stimulus;response to stress;response to wounding;signal transduction;stress-activated MAPK cascade;stress-activated protein kinase signaling cascade;striated muscle contraction;system process;toll-like receptor 10 signaling pathway;toll-like receptor 2 signaling pathway;toll-like receptor 3 signaling pathway;toll-like receptor 4 signaling pathway;toll-like receptor 5 signaling pathway;toll-like receptor 9 signaling pathway;toll-like receptor signaling pathway;TRIF-dependent toll-like receptor signaling pathway"	"adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;enzyme binding;kinase activity;kinase binding;MAP kinase kinase activity;nucleotide binding;phosphotransferase activity, alcohol group as acceptor;protein binding;protein kinase activity;protein kinase binding;protein serine/threonine kinase activity;protein serine/threonine/tyrosine kinase activity;protein tyrosine kinase activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;transferase activity;transferase activity, transferring phosphorus-containing groups"	"cell part;cytoplasm;cytoplasmic part;cytosol;intracellular organelle part;intracellular part;membrane;nuclear part;nucleoplasm;organelle part"	"Amyotrophic lateral sclerosis (ALS);Fc epsilon RI signaling pathway;GnRH signaling pathway;MAPK signaling pathway;Toll-like receptor signaling pathway;Toxoplasmosis"	Cluster -162	3.44644	0.0266415	P46734	"P46734;E9PRZ0;J3QR49"	MP2K3_HUMAN	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3
-0.588719	0.0474009	0.153719	0.955671	-1.40851	-0.575891	-0.165702	0.653316	-0.891385	-1.10184	-0.708565	-1.21971	0.389212	1.2866	1.81166	1.36275	+	"biological regulation;biosynthetic process;catabolic process;cell surface receptor linked signaling pathway;cellular biosynthetic process;cellular catabolic process;cellular macromolecule biosynthetic process;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular protein metabolic process;cellular response to endogenous stimulus;cellular response to hormone stimulus;cellular response to chemical stimulus;cellular response to insulin stimulus;cellular response to organic substance;cellular response to peptide hormone stimulus;cellular response to stimulus;enzyme linked receptor protein signaling pathway;gene expression;insulin receptor signaling pathway;macromolecule biosynthetic process;macromolecule catabolic process;macromolecule metabolic process;metabolic process;mRNA 3'-end processing;mRNA catabolic process;mRNA metabolic process;mRNA processing;nitrogen compound metabolic process;nuclear-transcribed mRNA catabolic process;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;nuclear-transcribed mRNA poly(A) tail shortening;nucleic acid metabolic process;nucleobase-containing compound metabolic process;posttranscriptional regulation of gene expression;primary metabolic process;protein metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of primary metabolic process;regulation of protein metabolic process;regulation of translation;regulation of translational initiation;response to endogenous stimulus;response to hormone stimulus;response to chemical stimulus;response to insulin stimulus;response to organic substance;response to peptide hormone stimulus;response to stimulus;RNA 3'-end processing;RNA catabolic process;RNA metabolic process;RNA processing;signal transduction;translation;translational initiation;transmembrane receptor protein tyrosine kinase signaling pathway"	"binding;nucleic acid binding;nucleotide binding;RNA binding;translation factor activity, nucleic acid binding;translation initiation factor activity"	"cell part;cytoplasmic part;cytosol;eukaryotic translation initiation factor 4F complex;intracellular part;macromolecular complex;protein complex"	"mTOR signaling pathway;RNA transport"	Cluster -162	2.66075	0.0479	P23588	"P23588;E7EX17"	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B
-0.0244169	-0.0216354	0.494292	-0.22944	-0.691261	-0.734633	-0.423182	-0.0851891	-0.166833	-1.47223	-1.08605	-1.12867	0.874497	0.947029	2.16114	1.58659	+	"biological regulation;cation homeostasis;cation transport;cell differentiation;cellular cation homeostasis;cellular developmental process;cellular homeostasis;cellular chemical homeostasis;cellular ion homeostasis;cellular iron ion homeostasis;cellular metal ion homeostasis;cellular process;cellular response to drug;cellular response to chemical stimulus;cellular response to stimulus;developmental process;establishment of localization;establishment of protein localization;ferric iron transport;homeostatic process;chemical homeostasis;ion homeostasis;ion transport;iron ion homeostasis;iron ion transport;leukocyte differentiation;metal ion homeostasis;metal ion transport;myeloid cell differentiation;myeloid leukocyte differentiation;osteoclast differentiation;positive regulation of biological process;positive regulation of bone remodeling;positive regulation of bone resorption;positive regulation of homeostatic process;positive regulation of multicellular organismal process;positive regulation of tissue remodeling;protein transport;regulation of biological process;regulation of biological quality;regulation of bone remodeling;regulation of bone resorption;regulation of homeostatic process;regulation of multicellular organismal process;regulation of tissue remodeling;response to drug;response to chemical stimulus;response to stimulus;transferrin transport;transition metal ion transport;transmembrane transport;transport;viral reproduction"	"binding;cargo receptor activity;double-stranded RNA binding;identical protein binding;nucleic acid binding;protein binding;receptor activity;RNA binding;transferrin receptor activity"	"blood microparticle;cell part;cell surface;coated pit;cytoplasmic membrane-bounded vesicle;cytoplasmic part;cytoplasmic vesicle;endosome;external side of plasma membrane;extracellular membrane-bounded organelle;extracellular organelle;extracellular region;extracellular region part;extracellular space;extracellular vesicular exosome;integral to membrane;integral to plasma membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;intrinsic to membrane;intrinsic to plasma membrane;melanosome;membrane;membrane part;membrane-bounded organelle;membrane-bounded vesicle;organelle;perinuclear region of cytoplasm;pigment granule;plasma membrane;plasma membrane part;recycling endosome;vesicle"	"Endocytosis;Hematopoietic cell lineage;Phagosome"	Cluster -162	4.14866	0.02025	P02786	"P02786;G3V0E5;H7C3V5"	TFR1_HUMAN	TFRC	Transferrin receptor protein 1
-0.741234	1.1253	0.707651	-0.0819855	-0.627179	-1.5435	-0.996749	-0.205002	-0.613844	-0.173774	-0.247792	-1.45141	0.951696	1.21663	1.73442	0.946771	+	"anatomical structure formation involved in morphogenesis;angiogenesis;biological adhesion;biological regulation;cell adhesion;cell differentiation;cell proliferation;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular developmental process;cellular process;developmental process;extracellular matrix organization;extracellular structure organization;chondrocyte differentiation;multicellular organismal process;negative regulation of biological process;negative regulation of cell adhesion;negative regulation of cellular process;neurological system process;regulation of biological process;regulation of cell adhesion;regulation of cellular process;response to stimulus;sensory perception;sensory perception of light stimulus;system process;visual perception"	"binding;collagen binding;extracellular matrix binding;integrin binding;protein binding;protein complex binding;receptor binding"	"basement membrane;cell part;cytoplasmic part;extracellular matrix;extracellular matrix part;extracellular membrane-bounded organelle;extracellular organelle;extracellular region;extracellular region part;extracellular space;extracellular vesicular exosome;Golgi apparatus part;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;membrane-bounded vesicle;organelle;organelle part;plasma membrane;proteinaceous extracellular matrix;trans-Golgi network;vesicle"		Cluster -162	2.74808	0.0448286	Q15582	"Q15582;S4R3C6;H0Y8L3"	BGH3_HUMAN	TGFBI	Transforming growth factor-beta-induced protein ig-h3
0.512822	0.433544	1.0478	0.65063	-0.576883	-0.783002	-0.42492	0.0186481	-0.411176	-1.04801	-1.13712	-1.90041	0.0605821	1.41641	1.91524	0.225854	+	"biological regulation;cellular process;cellular response to abiotic stimulus;cellular response to gamma radiation;cellular response to ionizing radiation;cellular response to radiation;cellular response to stimulus;cellular response to stress;DNA damage response, signal transduction by p53 class mediator;DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis;DNA damage response, signal transduction resulting in induction of apoptosis;induction of apoptosis;induction of apoptosis by intracellular signals;induction of programmed cell death;intracellular signal transduction;negative regulation of biological process;negative regulation of cell death;negative regulation of cellular process;positive regulation of apoptosis;positive regulation of biological process;positive regulation of cell death;positive regulation of cellular process;positive regulation of programmed cell death;regulation of apoptosis;regulation of biological process;regulation of cell death;regulation of cellular process;regulation of programmed cell death;response to abiotic stimulus;response to DNA damage stimulus;response to gamma radiation;response to ionizing radiation;response to radiation;response to stimulus;response to stress;signal transduction;signal transduction by p53 class mediator;signal transduction by p53 class mediator resulting in induction of apoptosis;signal transduction in response to DNA damage"		"cell part;cytoplasmic part;endoplasmic reticulum membrane;endoplasmic reticulum part;extracellular membrane-bounded organelle;extracellular organelle;extracellular region part;extracellular vesicular exosome;integral to membrane;intracellular organelle part;intracellular part;intrinsic to membrane;membrane;membrane part;membrane-bounded organelle;membrane-bounded vesicle;nuclear membrane;nuclear outer membrane;nuclear part;organelle;organelle membrane;organelle outer membrane;organelle part;outer membrane;sarcoplasmic reticulum membrane;vesicle"		Cluster -162	2.94376	0.0367339	Q9BVC6	Q9BVC6	TM109_HUMAN	TMEM109	Transmembrane protein 109
0.553248	-0.13008	1.36002	-0.227606	-1.01086	-0.347488	-0.794875	-0.0979388	-0.761826	-0.51312	-0.647258	-1.865	1.38471	1.43305	1.5009	0.164117	+	"behavior;biological regulation;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular process;cognition;cytoplasmic microtubule organization;cytoskeleton organization;learning;learning or memory;memory;metabolic process;microtubule cytoskeleton organization;microtubule-based process;multicellular organismal process;negative regulation of biological process;negative regulation of cell communication;negative regulation of cellular process;negative regulation of multicellular organismal process;negative regulation of neurological system process;negative regulation of signaling;negative regulation of synaptic transmission;negative regulation of synaptic transmission, glutamatergic;negative regulation of transmission of nerve impulse;neurological system process;organelle organization;positive regulation of biological process;positive regulation of cellular component organization;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of endocytosis;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;positive regulation of receptor internalization;positive regulation of receptor-mediated endocytosis;positive regulation of transport;regulation of biological process;regulation of cell communication;regulation of cellular component organization;regulation of cellular metabolic process;regulation of cellular process;regulation of endocytosis;regulation of localization;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of multicellular organismal process;regulation of neurological system process;regulation of receptor internalization;regulation of receptor-mediated endocytosis;regulation of signaling;regulation of synaptic transmission;regulation of synaptic transmission, glutamatergic;regulation of system process;regulation of transmission of nerve impulse;regulation of transport;regulation of vesicle-mediated transport;response to stimulus;system process"	"adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;ATPase activity;ATPase activity, coupled;binding;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;microtubule-severing ATPase activity;nucleoside-triphosphatase activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding"	"cell junction;cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;microbody;microbody membrane;microbody part;mitochondrion;nucleus;organelle;organelle membrane;organelle part;peroxisomal membrane;peroxisomal part;postsynaptic membrane;synapse part;synaptic membrane"		Cluster -162	2.72428	0.0458741	Q8NBU5	Q8NBU5	ATAD1_HUMAN	ATAD1	ATPase family AAA domain-containing protein 1
0.723253	0.659244	1.29653	-0.0753596	-0.202763	-1.00351	-0.607055	0.330898	-0.434728	-1.99088	-1.23602	-1.11141	0.389454	1.1877	0.721509	1.35315	+	"adaptive immune response;anatomical structure development;anatomical structure morphogenesis;biological regulation;blood vessel morphogenesis;catabolic process;cell activation;cell projection organization;cell surface receptor linked signaling pathway;cellular catabolic process;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular homeostasis;cellular chemical homeostasis;cellular ion homeostasis;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular membrane organization;cellular metabolic process;cellular process;cellular protein metabolic process;cellular response to abiotic stimulus;cellular response to cytokine stimulus;cellular response to chemical stimulus;cellular response to light stimulus;cellular response to organic substance;cellular response to radiation;cellular response to stimulus;cellular response to stress;cellular response to UV;corticosteroid receptor signaling pathway;cytokine-mediated signaling pathway;development involved in symbiotic interaction;developmental process;dissemination or transmission of organism from other organism involved in symbiotic interaction;dissemination or transmission of symbiont from host;endocardial cushion development;endocytosis;establishment of localization;establishment of localization in cell;establishment of protein localization;establishment of protein localization to organelle;establishment of protein localization to vacuole;glucocorticoid receptor signaling pathway;homeostatic process;chemical homeostasis;immune response;immune system process;interaction with host;interspecies interaction between organisms;intracellular protein transport;intracellular receptor mediated signaling pathway;intracellular transport;ion homeostasis;leukocyte activation;locomotion;lymphocyte activation;lysosomal transport;macromolecule catabolic process;macromolecule metabolic process;macromolecule modification;membrane invagination;membrane organization;mesenchyme development;metabolic process;modification-dependent macromolecule catabolic process;modification-dependent protein catabolic process;multi-organism process;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cell communication;negative regulation of cellular biosynthetic process;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of cellular response to growth factor stimulus;negative regulation of gene expression;negative regulation of ion transmembrane transporter activity;negative regulation of ion transport;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of molecular function;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of response to stimulus;negative regulation of RNA metabolic process;negative regulation of signal transduction;negative regulation of signaling;negative regulation of sodium ion transmembrane transporter activity;negative regulation of sodium ion transport;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage;negative regulation of transcription, DNA-dependent;negative regulation of transport;negative regulation of transporter activity;negative regulation of vascular endothelial growth factor receptor signaling pathway;neuromuscular junction development;neuron projection development;outflow tract morphogenesis;positive regulation of biological process;positive regulation of catabolic process;positive regulation of cell communication;positive regulation of cellular process;positive regulation of intracellular transport;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;positive regulation of nucleocytoplasmic transport;positive regulation of phosphatidylinositol 3-kinase cascade;positive regulation of protein catabolic process;positive regulation of protein metabolic process;positive regulation of response to stimulus;positive regulation of signal transduction;positive regulation of signaling;positive regulation of transport;primary metabolic process;progesterone receptor signaling pathway;protein K63-linked ubiquitination;protein metabolic process;protein modification by small protein conjugation;protein modification by small protein conjugation or removal;protein modification process;protein monoubiquitination;protein polyubiquitination;protein targeting;protein targeting to lysosome;protein targeting to vacuole;protein transport;protein ubiquitination;protein ubiquitination involved in ubiquitin-dependent protein catabolic process;proteolysis;proteolysis involved in cellular protein catabolic process;receptor catabolic process;receptor internalization;receptor metabolic process;receptor-mediated endocytosis;regulation of anatomical structure morphogenesis;regulation of biological process;regulation of biological quality;regulation of biosynthetic process;regulation of catabolic process;regulation of cell communication;regulation of cell development;regulation of cell differentiation;regulation of cell morphogenesis;regulation of cell morphogenesis involved in differentiation;regulation of cell projection organization;regulation of cellular biosynthetic process;regulation of cellular component organization;regulation of cellular localization;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular response to growth factor stimulus;regulation of dendrite development;regulation of dendrite morphogenesis;regulation of developmental process;regulation of DNA-dependent transcription in response to stress;regulation of gene expression;regulation of intracellular transport;regulation of ion transmembrane transport;regulation of ion transmembrane transporter activity;regulation of ion transport;regulation of localization;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of membrane potential;regulation of metabolic process;regulation of metal ion transport;regulation of molecular function;regulation of multicellular organismal development;regulation of multicellular organismal process;regulation of nervous system development;regulation of neurogenesis;regulation of neuron differentiation;regulation of neuron projection development;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of nucleocytoplasmic transport;regulation of phosphatidylinositol 3-kinase cascade;regulation of primary metabolic process;regulation of protein catabolic process;regulation of protein metabolic process;regulation of response to stimulus;regulation of RNA metabolic process;regulation of signal transduction;regulation of signaling;regulation of sodium ion transmembrane transporter activity;regulation of sodium ion transport;regulation of synapse organization;regulation of transcription from RNA polymerase II promoter;regulation of transcription from RNA polymerase II promoter in response to stress;regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage;regulation of transcription, DNA-dependent;regulation of transmembrane transport;regulation of transmembrane transporter activity;regulation of transport;regulation of transporter activity;regulation of vascular endothelial growth factor receptor signaling pathway;reproductive process;response to abiotic stimulus;response to calcium ion;response to cytokine stimulus;response to chemical stimulus;response to inorganic substance;response to light stimulus;response to metal ion;response to organic substance;response to radiation;response to stimulus;response to stress;response to UV;signal transduction;steroid hormone receptor signaling pathway;synapse organization;T cell activation;tissue development;transmission of virus;transport;ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway;vacuolar transport;vesicle-mediated transport;viral reproductive process"	"adrenergic receptor binding;amine binding;amino acid binding;beta-2 adrenergic receptor binding;binding;carboxylic acid binding;catalytic activity;enzyme binding;G-protein-coupled receptor binding;channel inhibitor activity;channel regulator activity;ion channel inhibitor activity;ligase activity;phosphoprotein binding;phosphoserine binding;phosphothreonine binding;proline-rich region binding;protein binding;protein domain specific binding;protein phosphorylated amino acid binding;receptor binding;RNA polymerase binding;small conjugating protein binding;sodium channel inhibitor activity;sodium channel regulator activity;ubiquitin binding"	"apicolateral plasma membrane;cell cortex;cell part;cytoplasm;cytoplasmic part;cytosol;extracellular membrane-bounded organelle;extracellular organelle;extracellular region part;extracellular vesicular exosome;Golgi apparatus;chromatin;chromosomal part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;membrane-bounded organelle;membrane-bounded vesicle;nucleus;organelle;organelle part;perinuclear region of cytoplasm;plasma membrane;plasma membrane part;protein complex;ubiquitin ligase complex;vesicle"	"Endocytosis;Ubiquitin mediated proteolysis"	Cluster -162	3.21362	0.0314857	P46934	"P46934;H0Y8X6"	NEDD4_HUMAN	NEDD4	E3 ubiquitin-protein ligase NEDD4
