Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Platelet Degranulation R-HSA-114608	43/125	2.349571e-40	2.478798e-37	0	0	2.661690e+01	2.428770e+03	LGALS3BP;APP;ITIH4;ITIH3;SERPINA1;WDR1;PROS1;SERPINE1;OLA1;F13A1;PLG;A1BG;CLU;THBS1;CLEC3B;APOH;FLNA;QSOX1;CAP1;FGB;FGA;TGFB1;HSPA5;VWF;AHSG;ACTN1;APLP2;RARRES2;SERPINF2;FGG;FN1;IGF2;APOA1;TUBA4A;F5;TF;ALB;SERPING1;TAGLN2;PFN1;TLN1;PPIA;FERMT3
Reactome_2022	Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005	43/130	1.655114e-39	8.730725e-37	0	0	2.508076e+01	2.239635e+03	LGALS3BP;APP;ITIH4;ITIH3;SERPINA1;WDR1;PROS1;SERPINE1;OLA1;F13A1;PLG;A1BG;CLU;THBS1;CLEC3B;APOH;FLNA;QSOX1;CAP1;FGB;FGA;TGFB1;HSPA5;VWF;AHSG;ACTN1;APLP2;RARRES2;SERPINF2;FGG;FN1;IGF2;APOA1;TUBA4A;F5;TF;ALB;SERPING1;TAGLN2;PFN1;TLN1;PPIA;FERMT3
Reactome_2022	Innate Immune System R-HSA-168249	95/1035	9.753548e-35	3.429998e-32	0	0	5.672055e+00	4.441948e+02	PYGB;PIGR;APP;SERPINA1;HSP90AB1;B4GALT1;HEXB;PROS1;GDI2;C4BPA;PYGL;C8B;CLU;C4B;C4A;FTH1;QSOX1;LBP;CTSD;SPTAN1;CTSB;ACTR3;CAP1;FGB;CCT2;FGA;HSP90AA1;AHSG;TUBB;KRT1;FGG;HLA-A;APRT;EEF1A1;PSMA6;ACLY;PKM;PSME2;SERPING1;PPIE;MYH9;ALDOC;MASP1;PPIA;KPNB1;LTF;CPB2;VCP;COLEC10;CFH;C1S;PSMD14;C1R;DHX9;PSMD13;COPB1;CFI;A1BG;HSP90B1;C3;RAP1B;PPP2CA;CST3;VTN;C5;CAND1;PSMB2;CCT8;RPS27A;APOB;DYNC1H1;HSPA8;XRCC6;GSN;XRCC5;IDH1;PLA2G2A;PA2G4;LYZ;TUBB4B;EEF2;IGF2R;IGLL5;PSMC5;BPIFB2;PSMC6;POLR3B;PSMC3;PSMC4;PSMC1;PSMC2;CFHR5;MAN2B1;HNRNPC;HSPA1A
Reactome_2022	Metabolism Of Proteins R-HSA-392499	125/1890	6.942583e-32	1.831106e-29	0	0	4.176125e+00	2.996163e+02	EIF4A1;APP;RPL30;PROS1;RPL10A;CCT6B;H2AC11;C4A;RPS14;RPS16;DMBT1;TUBB3;RPS10;RPS13;PDIA3;RPS9;RARS1;APLP2;RPL22;RPSA;ALG1;HLA-A;HSPG2;PDIA6;TUBA4A;EEF1A1;PSME2;KCTD11;IGFALS;CPB2;AARS1;VCP;COPA;PSMD14;PSMD13;COPB1;HSP90B1;C3;ADAMTS13;MAN2A1;APOE;APOB;SPTBN1;VARS1;HSPA8;TGFB1;FN1;IGF2;LYZ;EEF2;RPS25;BPIFB2;TF;HNRNPK;EIF5;B4GAT1;H2AC21;ALB;UBA1;HNRNPC;TGFBI;SERPINA1;B4GALT1;RPLP1;RPLP0;ETFB;LAMC1;TUBA1C;QSOX1;MAN1A1;NANS;CTSD;SPTAN1;CCT3;CCT2;FGA;AHSG;TUBB;FGG;APOA1;F5;H2BC12;EEF1G;PSMA6;F9;TCP1;H2BC11;MATN3;LTF;SEC23A;ITIH2;PCNA;SERPINC1;RPL12;USO1;PLG;THBS1;CST3;GANAB;CAND1;PSMB2;LMAN2;RPS3;GPC3;RPS2;CCT8;RPS27A;CCT7;CCT5;CCT4;H2AZ1;DYNC1H1;NPM1;GSN;SERPIND1;LAMB1;TUBB4B;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;NOTUM;P4HB
Reactome_2022	Disease R-HSA-1643685	115/1736	3.732647e-29	7.875886e-27	0	0	4.082001e+00	2.671990e+02	APP;RPL30;CLSTN1;PEBP1;ENO1;RPL10A;H2AC11;RPS14;RPS16;SNRPD3;RPS10;RPS13;RPS9;RPL22;AP1B1;RPSA;ALG1;HLA-A;HSPG2;EML4;RBP4;PSME2;SERPING1;MASP1;TLN1;PPIA;KPNB1;NOTCH3;VCP;SDC4;PSMD14;PSMD13;C3;RAP1B;PRDX2;ADAMTS13;MAN2A1;PRDX1;PGK1;SPTBN1;XRCC6;TGFB1;XRCC5;IDH1;FN1;HMGA1;EEF2;EXT1;RPS25;HNRNPK;B4GAT1;H2AC21;OGN;SDC1;GALK1;YWHAE;FEN1;HSP90AB1;B4GALT1;RPLP1;HEXB;CLTC;RPLP0;SLC2A1;ATIC;YWHAQ;C1QBP;ACTR3;FGB;FGA;HSP90AA1;VWF;TUBB;DCXR;FGG;APOA1;YWHAZ;APRT;H2BC12;EEF1G;PSMA6;F9;H2BC11;MYH9;LTF;SEC23A;AHCY;RPL12;HSD17B4;RRBP1;THBS1;PPP2CA;GANAB;PSMB2;RBBP4;LMNA;RPS3;GPC3;RPS2;RPS27A;H2AZ1;DYNC1H1;NPM1;LUM;IGLL5;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;FMOD;AGRN;RAN;HSPA1A
Reactome_2022	Platelet Activation, Signaling And Aggregation R-HSA-76002	45/254	2.600907e-28	4.573261e-26	0	0	1.091435e+01	6.932417e+02	LGALS3BP;APP;ITIH4;ITIH3;SERPINA1;WDR1;PROS1;SERPINE1;OLA1;F13A1;PLG;A1BG;CLU;THBS1;RAP1B;CLEC3B;APOH;FLNA;QSOX1;CAP1;FGB;FGA;TGFB1;HSPA5;VWF;AHSG;ACTN1;APLP2;RARRES2;SERPINF2;FGG;FN1;IGF2;APOA1;YWHAZ;TUBA4A;F5;TF;ALB;SERPING1;TAGLN2;PFN1;TLN1;PPIA;FERMT3
Reactome_2022	Immune System R-HSA-168256	118/1943	1.407056e-26	2.120635e-24	0	0	3.713728e+00	2.210623e+02	EIF4A1;APP;PROS1;CLSTN1;F13A1;C4BPA;CLU;C4B;C4A;FTH1;PDIA3;KRT1;AP1B1;HLA-A;EEF1A1;ACLY;PSME2;SERPING1;PPIE;MASP1;PPIA;KPNB1;CPB2;VCP;CFH;PSMD14;DHX9;PSMD13;COPB1;CFI;A1BG;HSP90B1;C3;RAP1B;VTN;C5;APOB;HSPA9;HSPA8;XRCC6;TGFB1;HSPA5;XRCC5;IDH1;FN1;PA2G4;LYZ;EEF2;IGF2R;BPIFB2;SDC1;UBA1;MAN2B1;HNRNPC;PYGB;PIGR;SERPINA1;HSP90AB1;B4GALT1;HEXB;CLTC;RPLP0;GDI2;PYGL;C8B;QSOX1;LBP;CTSD;SPTAN1;CTSB;ACTR3;CAP1;FGB;CCT2;FGA;HSP90AA1;AHSG;GSTO1;TUBB;FGG;YWHAZ;APRT;PSMA6;PKM;TCP1;MYH9;ALDOC;LTF;LAMA5;SEC23A;COLEC10;C1S;C1R;PPP2CA;CST3;CAND1;PSMB2;FLNA;FLNB;CCT8;RPS27A;DYNC1H1;CD74;GSN;PLA2G2A;TUBB4B;IGLL5;PSMC5;PSMC6;POLR3B;PSMC3;PSMC4;PSMC1;PSMC2;CFHR5;P4HB;CRLF1;HSPA1A
Reactome_2022	Hemostasis R-HSA-109582	62/576	3.188180e-26	4.204413e-24	0	0	6.298481e+00	3.697697e+02	LGALS3BP;APP;SERPINA1;WDR1;PROS1;SERPINE1;OLA1;F13A1;CLU;SERPINA5;JCHAIN;C1QBP;QSOX1;CAP1;FGB;FGA;VWF;AHSG;ACTN1;APLP2;SERPINF2;HBE1;FGG;APOA1;YWHAZ;TUBA4A;F5;F9;SERPING1;TAGLN2;PFN1;TLN1;PPIA;ITIH4;GRB7;ITIH3;SDC4;SERPINC1;PLG;A1BG;TFPI;THBS1;RAP1B;PPP2CA;CLEC3B;APOH;FLNA;APOB;CD74;TGFB1;SERPIND1;HSPA5;RARRES2;FN1;IGF2;IGLL5;EHD3;TF;ALB;SDC1;F13B;FERMT3
Reactome_2022	Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426	32/123	6.313051e-26	7.400298e-24	0	0	1.734383e+01	1.006369e+03	APP;SERPINA1;ITIH2;SERPINC1;PLG;LAMC1;HSP90B1;C3;CST3;C4A;GPC3;QSOX1;APOE;APOB;FGA;SERPIND1;AHSG;APLP2;FGG;FN1;IGF2;APOA1;LAMB1;PDIA6;F5;BPIFB2;TF;ALB;IGFALS;NOTUM;P4HB;MATN3
Reactome_2022	Neutrophil Degranulation R-HSA-6798695	54/468	2.422860e-24	2.556117e-22	0	0	6.699732e+00	3.643119e+02	PYGB;PIGR;SERPINA1;HSP90AB1;B4GALT1;HEXB;GDI2;PYGL;FTH1;QSOX1;CTSD;SPTAN1;CTSB;CAP1;CCT2;HSP90AA1;AHSG;TUBB;KRT1;HLA-A;APRT;EEF1A1;ACLY;PKM;PPIE;ALDOC;PPIA;KPNB1;LTF;VCP;PSMD14;PSMD13;COPB1;A1BG;C3;RAP1B;CST3;CAND1;CCT8;DYNC1H1;HSPA8;XRCC6;GSN;XRCC5;IDH1;PA2G4;LYZ;TUBB4B;EEF2;IGF2R;PSMC3;PSMC2;MAN2B1;HSPA1A
