"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HBV.myr_vs_CTRL","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
1.76685070302382,22.6571058313437,17.3794678404415,7.23451775671175e-08,3.34958172135754e-05,8.92879096354207,"P02766",10,18.6889590056764,3.35646581832924e-08,1.55404367388644e-05,-1.76685070302382,"Up in HBV.myr",4.80853678021892,"TTR","Transthyretin","P02766"
-2.02218661096998,15.6260750519631,-20.8056590185406,1.65214584607272e-08,1.52988705346334e-05,10.2895021629884,"P80188",2,-19.4002446433221,2.45953945907367e-08,1.55404367388644e-05,2.02218661096997,"Up in CTRL",4.80853678021892,"LCN2","Neutrophil gelatise-associated lipocalin","P80188"
1.26268031937975,21.2585666957552,12.8353961554658,8.42965756884278e-07,6.28792936456636e-05,6.51358256107051,"P00450",46,16.780638341402,8.20294858330782e-08,1.8678552365726e-05,-1.26268031937975,"Up in HBV.myr",4.72865678570439,"CP","Ceruloplasmin","P00450"
1.03469875210762,25.1262052936148,11.5157263500744,2.00196247397328e-06,9.65583869097062e-05,5.62963219123708,"P00738",45,16.1219182521855,1.14214890066872e-07,1.8678552365726e-05,-1.03469875210762,"Up in HBV.myr",4.72865678570439,"HP","Haptoglobin","P00738"
2.02774443314937,21.2748721677913,14.868011046185,2.57768352432964e-07,4.77386988705849e-05,7.69897263281261,"P01042",19,16.0091640716644,1.21027337142933e-07,1.8678552365726e-05,-2.02774443314937,"Up in HBV.myr",4.72865678570439,"KNG1","Kininogen-1","P01042"
1.41314126409718,23.0665240222252,14.3460334424198,3.44227659108566e-07,5.31258020557554e-05,7.41268457051149,"P02760",21,16.7743981865356,8.22823262842911e-08,1.8678552365726e-05,-1.41314126409717,"Up in HBV.myr",4.72865678570439,"AMBP","Protein AMBP","P02760"
1.1307807837581,24.8677298373464,11.9303476254981,1.51155065022767e-06,9.65583869097062e-05,5.91829545641344,"P02774",36,15.3655333395524,1.69738750414172e-07,2.09217316744304e-05,-1.1307807837581,"Up in HBV.myr",4.67940237212192,"GC","Vitamin D-binding protein","P02774"
2.04482338275502,18.8471453168796,15.0461175392257,2.34049566552896e-07,4.77386988705849e-05,7.79403191652091,"P29622",5,15.2486462608484,1.80749301722941e-07,2.09217316744304e-05,-2.04482338275502,"Up in HBV.myr",4.67940237212192,"SERPI4","Kallistatin","P29622"
1.51059912662733,24.6327069758381,13.4520809211947,5.7833511502007e-07,5.73308243050744e-05,6.89401455073595,"P04217",13,14.5567065770067,2.64716187550166e-07,2.72363544079393e-05,-1.51059912662732,"Up in HBV.myr",4.56485102328166,"A1BG","Alpha-1B-glycoprotein","P04217"
2.18286846980438,21.0298315992281,13.0303009323551,7.4701556952464e-07,6.28792936456636e-05,6.63592463914471,"P02649",26,13.85668177474,3.9632445685029e-07,2.8230495926413e-05,-2.18286846980438,"Up in HBV.myr",4.54928149251504,"APOE","Apolipoprotein E","P02649"
1.23276769660814,21.2029830219594,11.0001140000834,2.87610538900972e-06,9.92601279767073e-05,5.25550233236274,"P02751",83,14.2108509587431,3.22384658756181e-07,2.8230495926413e-05,-1.23276769660815,"Up in HBV.myr",4.54928149251504,"FN1","Fibronectin","P02751"
1.63457825099378,20.4681248767542,13.8164926019213,4.66336834008331e-07,5.39784885364643e-05,7.10995039970893,"P25705",5,14.0306904459533,3.57873645721335e-07,2.8230495926413e-05,-1.63457825099378,"Up in HBV.myr",4.54928149251504,"ATP5F1A","ATP synthase subunit alpha, mitochondrial","P25705"
1.69827030105225,19.1055144040293,13.8311417849903,4.62369998364891e-07,5.39784885364643e-05,7.11849864259697,"P49411",4,13.8711476855401,3.92958569588149e-07,2.8230495926413e-05,-1.69827030105225,"Up in HBV.myr",4.54928149251504,"TUFM","Elongation factor Tu, mitochondrial","P49411"
1.10598046156605,22.0919561765868,11.2590466726665,2.39324050384839e-06,9.65583869097062e-05,5.44554863303092,"P10909",25,13.4785914423824,4.96764785467274e-07,3.2857442238764e-05,-1.10598046156605,"Up in HBV.myr",4.48336624689077,"CLU","Clusterin","P10909"
1.10345005587515,23.9874269455901,9.88504005960971,6.64606948197442e-06,0.000166331360548873,4.38326070351128,"P01024",126,13.3481557529199,5.37752068585176e-07,3.31972277006582e-05,-1.10345005587515,"Up in HBV.myr",4.47889818269891,"C3","Complement C3","P01024"
1.0362577984294,20.5645330606614,11.137923391988,2.6068678971303e-06,9.65583869097062e-05,5.35720179675825,"P02675",18,13.0220719536773,6.57699906792307e-07,3.76050581246133e-05,-1.0362577984294,"Up in HBV.myr",4.42475373571422,"FGB","Fibrinogen beta chain","P02675"
1.0008355649082,22.19119836592,10.4595897693795,4.27474026299961e-06,0.000131946982784588,4.8440096162749,"P09871",29,12.9446495536357,6.90373637276918e-07,3.76050581246133e-05,-1.0008355649082,"Up in HBV.myr",4.42475373571422,"C1S","Complement C1s subcomponent","P09871"
1.55516930658272,15.7957841572527,14.9101779094837,2.51919820714595e-07,4.77386988705849e-05,7.72159617182105,"A9UHW6",1,12.7477965865743,7.81886876280882e-07,4.02237359686721e-05,-1.55516930658272,"Up in HBV.myr",4.39551759472318,"MIF4GD","MIF4G domain-containing protein","A9UHW6"
1.68443815229571,31.7228884958395,10.9913748880336,2.89419379629708e-06,9.92601279767073e-05,5.24901017396577,"P02768",82,12.4463643017955,9.49322024294536e-07,4.62669576050916e-05,-1.68443815229571,"Up in HBV.myr",4.33472905763782,"ALB","Albumin","P02768"
0.994463692046548,20.1252549714037,10.2655349516476,4.94992816445922e-06,0.000138897984251189,4.69117651258664,"P02679",25,12.3613907469999,1.00346824628277e-06,4.64605798028925e-05,-0.994463692046551,"Up in HBV.myr",4.33291537474186,"FGG","Fibrinogen gamma chain","P02679"
1.52665313377835,17.1056311352219,12.7617118505941,8.82754662412123e-07,6.28792936456636e-05,6.46680922065247,"M0R1Q1",2,12.199478589618,1.11640940744672e-06,4.87199970529434e-05,-1.52665313377835,"Up in HBV.myr",4.31229274664551,"C3","Complement C3 (Fragment)","M0R1Q1"
1.71076502873566,18.525850989675,13.3385594434431,6.19123372624994e-07,5.73308243050744e-05,6.82542790829858,"O15498",1,11.9851322765184,1.28826287279314e-06,4.87199970529434e-05,-1.71076502873568,"Up in HBV.myr",4.31229274664551,"YKT6","Syptobrevin homolog YKT6","O15498"
1.03316052890425,20.6531473921104,9.69027910201835,7.75733129418341e-06,0.000189033915221417,4.22126533984834,"P00736",41,11.9044704068198,1.36039058109247e-06,4.87199970529434e-05,-1.03316052890425,"Up in HBV.myr",4.31229274664551,"C1R","Complement C1r subcomponent","P00736"
1.10811427738523,22.9900642429396,10.4687340583564,4.24555053369457e-06,0.000131946982784588,4.85114327751517,"P01019",19,11.845144322617,1.4163048926983e-06,4.87199970529434e-05,-1.10811427738522,"Up in HBV.myr",4.31229274664551,"AGT","Angiotensinogen","P01019"
1.27629719824219,24.2920625531862,11.1906638427346,2.51134629180993e-06,9.65583869097062e-05,5.39578888449886,"P02753",13,12.0811351600687,1.20790170212258e-06,4.87199970529434e-05,-1.2762971982422,"Up in HBV.myr",4.31229274664551,"RBP4","Retinol-binding protein 4","P02753"
-1.30641069984248,18.1916328005597,-11.4151011084217,2.1461726173727e-06,9.65583869097062e-05,5.55796827911399,"P04792",7,-11.8407350428704,1.4205614691463e-06,4.87199970529434e-05,1.30641069984247,"Up in CTRL",4.31229274664551,"HSPB1","Heat shock protein beta-1","P04792"
1.0572776110842,22.1681450789832,10.1796013581724,5.28612008729612e-06,0.000139855634309606,4.62260229772119,"P25311",26,11.9834014554565,1.2897652079116e-06,4.87199970529434e-05,-1.0572776110842,"Up in HBV.myr",4.31229274664551,"AZGP1","Zinc-alpha-2-glycoprotein","P25311"
