"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HBV_vs_HBV.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
7.2876169681549,17.5215018987655,28.7515343923918,2.54697370054647e-09,2.35849764670604e-06,11.743717553251,"P03138",4,28.8315145142637,2.26622171593684e-09,2.09852130895752e-06,-7.2876169681549,"Up in HBV",5.67808661648553,"S","Large envelope protein","P03138"
7.79493165016175,17.7577174901962,21.5174601646803,2.48365922930086e-08,1.1499342231663e-05,9.89451630481552,"P03146",8,21.6103234483281,2.21497198446633e-08,1.02553202880791e-05,-7.79493165016175,"Up in HBV",4.9890507714562,"C","Capsid protein","P03146"
-1.68890901825166,20.4409594931253,-15.4562708026576,3.2581098301389e-07,0.000100566990090287,7.50607921600921,"P25705",5,-15.4880141106553,3.00570915516779e-07,9.27762225895124e-05,1.68890901825165,"Up in HBV.myr",4.03256331388157,"ATP5F1A","ATP synthase subunit alpha, mitochondrial","P25705"
-2.17165323163963,18.295406888223,-13.0349206967231,1.20513790998995e-06,0.000206620358622329,6.20602506140521,"O15498",1,-12.4778523919643,1.5912139054887e-06,0.000342004116412325,2.17165323163962,"Up in HBV.myr",3.46596866667954,"YKT6","Syptobrevin homolog YKT6","O15498"
-1.87802574884942,17.1590718135317,-12.9667460804082,1.2543231214297e-06,0.000206620358622329,6.16556806835298,"Q9UPZ9",1,-12.237074809185,1.84667449466698e-06,0.000342004116412325,1.87802574884942,"Up in HBV.myr",3.46596866667954,"CILK1","Serine/threonine-protein kise ICK","Q9UPZ9"
-1.59419823788557,15.7762696916012,-12.8563758889445,1.33879282044706e-06,0.000206620358622329,6.09957484588466,"A9UHW6",1,-11.8865872860927,2.30468670504287e-06,0.000355689981478283,1.59419823788557,"Up in HBV.myr",3.44892836717288,"MIF4GD","MIF4G domain-containing protein","A9UHW6"
-2.4955307472606,16.9165318455392,-10.9510265090249,4.50588898600891e-06,0.000596064743006321,4.85436395821968,"A0A6Q8PFV8",1,-10.7081853577532,5.08145680255402e-06,0.000672204142737861,2.4955307472606,"Up in HBV.myr",3.17249881533776,"GNB4","Guanine nucleotide-binding protein subunit beta-4","A0A6Q8PFV8"
1.10828628466352,18.3869303189064,8.86102486458491,2.16158237085024e-05,0.00222402808378592,3.20948890713988,"P0DJI9",3,8.84908634860185,2.09807548931293e-05,0.00242852237887972,-1.10828628466352,"Up in HBV",2.61465789014063,"SAA2","Serum amyloid A-2 protein","P0DJI9"
-0.999247653440698,18.2548657707006,-9.24227870224557,1.58827503925292e-05,0.00183842835793525,3.53528509292978,"P48382",1,-8.34919873864995,3.20661894658387e-05,0.00329925460504073,0.999247653440701,"Up in HBV.myr",2.48158416845052,"RFX5","D-binding protein RFX5","P48382"
-2.03696194028445,18.9361685844132,-7.95975370142431,4.69090915078935e-05,0.00417488562382427,2.38634390627698,"P49411",4,-7.98195164422283,4.43838709193027e-05,0.00410994644712743,2.03696194028445,"Up in HBV.myr",2.38616383697273,"TUFM","Elongation factor Tu, mitochondrial","P49411"
-1.95482707040848,19.6279314194699,-7.89800031161511,4.95936737171349e-05,0.00417488562382427,2.32702572150801,"Q9C099",1,-7.75235207965321,5.47216383684582e-05,0.00460656701174475,1.95482707040848,"Up in HBV.myr",2.33662260677211,"LRRCC1","Leucine-rich repeat and coiled-coil domain-containing protein 1","Q9C099"
-2.58895351464287,18.6560159613075,-7.49339073913947,7.20447899081262e-05,0.00555945628791041,1.92844919102743,"Q86WN2",1,-7.43264877508085,7.38558651736636e-05,0.00569921092923438,2.58895351464287,"Up in HBV.myr",2.24418526938038,"IFNE","Interferon epsilon","Q86WN2"
