"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HBV.myr_vs_HBV","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-3.36320161819463,21.2607161998749,-44.8970012435625,1.0216784542729e-10,4.30468821819567e-07,10.7327883305836,"P03146",9,-48.3024263572202,8.71952375682799e-13,5.19945201619653e-09,3.36320161819463,"Up in HBV",8.28404242538108,"C","Capsid protein","P03146"
-4.0730209350586,19.9675359725952,-42.947433053813,1.44379950300039e-10,4.30468821819567e-07,10.6530484433123,"P03138",4,-43.4360035216796,2.40652132796702e-12,7.17504333933366e-09,4.0730209350586,"Up in HBV",8.14417547132197,"S","Large envelope protein","P03138"
-0.585182200902786,18.7701708479642,-14.8064261909686,5.35073745796686e-07,0.00106354824872855,6.58505361352277,"P43121",16,-16.3901194680162,2.44077509202424e-08,4.85144729124686e-05,0.585182200902786,"Up in HBV",4.31412868266829,"MCAM","Cell surface glycoprotein MUC18","P43121"
-0.437042367818716,20.8066731554141,-13.2837642430102,1.21395996362727e-06,0.00180971081577735,5.93297347890882,"P29966",11,-13.5827802206495,1.38377556418861e-07,0.000206286342231417,0.437042367818709,"Non-significant",3.68552952476501,"MARCKS","Myristoylated alanine-rich C-kinase substrate","P29966"
-0.434599171312573,20.3237603203177,-11.6482927164164,3.24322658679344e-06,0.00386787202740985,5.10211321734685,"Q7LG56",14,-12.6486611543917,2.65303695196644e-07,0.000316401186891517,0.43459917131257,"Non-significant",3.49976189603571,"RRM2B","Ribonucleoside-diphosphate reductase subunit M2 B","Q7LG56"
0.272860351697499,21.3335311287546,9.92559729095548,1.05521526606232e-05,0.00786531078941205,4.04379684425683,"Q9UBR1",27,12.0971472555477,3.9771946169758e-07,0.000395266858350445,-0.272860351697499,"Non-significant",3.40310959810053,"UPB1","Beta-ureidopropionase","Q9UBR1"
0.383379179012675,23.5327764706552,9.52528692341963,1.42402754293936e-05,0.00943497359838601,3.76571673913588,"Q3LXA3",45,11.2246543854245,7.81286734556721e-07,0.000665544685451675,-0.383379179012682,"Non-significant",3.17682278016891,"TKFC","Triokinase/FMN cyclase","Q3LXA3"
0.379224167365962,24.0019757930277,8.93476412305097,2.26138686225034e-05,0.0122587725996353,3.33021339653241,"P09488",29,10.3171551339818,1.65828927849845e-06,0.00116304649925303,-0.379224167365962,"Non-significant",2.93440292158685,"GSTM1","Glutathione S-transferase Mu 1","P09488"
-0.372605069987934,24.4796826744549,-9.14907135674213,1.90639783285972e-05,0.0113678502773425,3.49188565636613,"P27105",18,-10.2511691915782,1.75539468275654e-06,0.00116304649925303,0.372605069987941,"Non-significant",2.93440292158685,"STOM","Stomatin","P27105"
-0.598703423895888,18.2052513811904,-8.73780477544441,2.65377434331285e-05,0.0125755508447366,3.17783962679737,"P17301",17,-9.70098000981294,2.85652592013446e-06,0.00152980635179251,0.598703423895881,"Up in HBV",2.81536354020892,"ITGA2","Integrin alpha-2","P17301"
-0.323943138288769,18.7029461582109,-8.26753930844849,3.93728778787632e-05,0.0136896563580092,2.79867375341778,"P23229",29,-9.61861626108488,3.07859738747444e-06,0.00152980635179251,0.323943138288769,"Non-significant",2.81536354020892,"ITGA6","Integrin alpha-6","P23229"
0.266350729280081,24.653718863177,8.01733954611925,4.89365118414026e-05,0.0136896563580092,2.58769732629063,"P50440",40,9.70801841322016,2.83837826602458e-06,0.00152980635179251,-0.266350729280081,"Non-significant",2.81536354020892,"GATM","Glycine amidinotransferase, mitochondrial","P50440"
-0.355562345708087,22.3663720612446,-8.18912842370588,4.2124997259872e-05,0.0136896563580092,2.73326556913412,"P01009",33,-9.486154168126,3.47641924674238e-06,0.00158000283733748,0.355562345708087,"Non-significant",2.80134213314754,"SERPINA1","Alpha-1-antitrypsin","P01009"
0.527859039286461,17.728192661445,10.2385949407134,8.40802063075096e-06,0.00716243243159543,4.25218793420217,"Q14257",5,9.4160266383132,3.70954883829024e-06,0.00158000283733748,-0.527859039286469,"Up in HBV.myr",2.80134213314754,"RCN2","Reticulocalbin-2","Q14257"
-0.362864000812628,21.9480716437215,-8.14632853252597,4.37172669401214e-05,0.0136896563580092,2.69729130306612,"O95497",22,-9.23902779791817,4.37767339452107e-06,0.00174027109676861,0.362864000812628,"Non-significant",2.75938309271749,"VNN1","Pantetheinase","O95497"
0.186043071637478,23.2675612239859,6.93939553496826,0.000133476740757431,0.0194003818130364,1.59821289030906,"O95954",46,8.95483492196813,5.74259412384321e-06,0.00174171075192667,-0.186043071637478,"Non-significant",2.75902396716556,"FTCD","Formimidoyltransferase-cyclodeaminase","O95954"
0.276947965432928,27.2891320767946,7.61025635671308,7.05466471272592e-05,0.0150239163149945,2.22989496038958,"P00325",37,9.04246660514901,5.27770036715982e-06,0.00174171075192667,-0.276947965432917,"Non-significant",2.75902396716556,"ADH1B","All-trans-retinol dehydrogenase [NAD(+)] ADH1B","P00325"
0.271260997276286,25.0708429324889,7.62309751249815,6.97210331961795e-05,0.0150239163149945,2.24146577371417,"P05089",31,9.00534561817903,5.46940694337048e-06,0.00174171075192667,-0.271260997276286,"Non-significant",2.75902396716556,"ARG1","Arginase-1","P05089"
-0.517852971273399,18.7215621108409,-11.0030530540554,4.94844180076599e-06,0.00491792640966127,4.7301628238088,"P18428",4,-9.05321510665197,5.22357174986868e-06,0.00174171075192667,0.517852971273406,"Up in HBV",2.75902396716556,"LBP","Lipopolysaccharide-binding protein","P18428"
-0.486648410618475,19.7298638397368,-7.86529277651655,5.60004287050353e-05,0.0141614287448867,2.45620721393425,"Q2TB90",45,-8.93715240146181,5.84172648642183e-06,0.00174171075192667,0.486648410618471,"Non-significant",2.75902396716556,"HKDC1","Hexokinase HKDC1","Q2TB90"
-0.378902330594144,17.9101604634069,-7.84557031779495,5.69971976986887e-05,0.0141614287448867,2.43896562959505,"P02786",22,-8.86650286621855,6.25688761336571e-06,0.00177665813516665,0.378902330594148,"Non-significant",2.75039613116717,"TFRC","Transferrin receptor protein 1","P02786"
-0.165462868783052,25.2345555746277,-6.52704261106081,0.000202220886285632,0.0213359878032242,1.18199411229864,"P07355",46,-8.60622017887876,8.08864136399427e-06,0.00185882498130142,0.165462868783052,"Non-significant",2.73076149954132,"ANXA2","Annexin A2","P07355"
0.200763805454294,22.1115090495588,6.89458694955973,0.000139514527384813,0.0194003818130364,1.55405046917416,"P30613",40,8.6042104011642,8.10488839742359e-06,0.00185882498130142,-0.200763805454297,"Non-significant",2.73076149954132,"PKLR","Pyruvate kinase PKLR","P30613"
-0.504777673247602,17.5123837548462,-8.46969953420884,3.31575667954613e-05,0.0131812380534224,2.96438737291778,"Q13443",7,-8.66369370283693,7.63875362546727e-06,0.00185882498130142,0.504777673247606,"Up in HBV",2.73076149954132,"ADAM9","Disintegrin and metalloproteinase domain-containing protein 9","Q13443"
-0.789402313562036,19.9672607949415,-8.03532243071233,4.8168868453141e-05,0.0136896563580092,2.60308303629538,"Q99988",8,-8.70049945246382,7.36504489583121e-06,0.00185882498130142,0.789402313562036,"Up in HBV",2.73076149954132,"GDF15","Growth/differentiation factor 15","Q99988"
0.240904451082493,19.917094916017,8.69816993895827,2.74160927354647e-05,0.0125755508447366,3.14672812117552,"Q9HB40",11,8.6342770918878,7.86550543069217e-06,0.00185882498130142,-0.240904451082496,"Non-significant",2.73076149954132,"SCPEP1","Retinoid-inducible serine carboxypeptidase","Q9HB40"
0.361731434055997,20.7631355310432,7.98151213784433,5.0506865650881e-05,0.0136896563580092,2.55694030420702,"Q14749",12,8.56564292198644,8.42367411556749e-06,0.00186038402781959,-0.361731434055994,"Non-significant",2.73039739774555,"GNMT","Glycine N-methyltransferase","Q14749"
-0.167556544915556,23.936342113979,-6.51878635288663,0.000203949573165148,0.0213359878032242,1.17343163638492,"P00738",42,-8.49610549930858,9.03360716869127e-06,0.00191749978362183,0.167556544915556,"Non-significant",2.71726467638647,"HP","Haptoglobin","P00738"
-0.749276464790533,16.4767573508106,-8.47380956158708,3.30431129621863e-05,0.0131812380534224,2.96771336742912,"Q68CQ7",4,-8.46462794510328,9.32542239225776e-06,0.00191749978362183,0.749276464790533,"Up in HBV",2.71726467638647,"GLT8D1","Glycosyltransferase 8 domain-containing protein 1","Q68CQ7"
-0.405302990041513,19.7305801292712,-7.33361231972644,9.12634543142484e-05,0.0170063743148707,1.97596513601339,"O60443",21,-8.23344015113411,1.18121152637103e-05,0.00234785477725016,0.405302990041509,"Non-significant",2.62932876917459,"GSDME","Gasdermin-E","O60443"
-0.305454151718614,19.4791264913078,-7.03990946720415,0.000120960269771525,0.0194003818130364,1.69635454870644,"Q10471",27,-8.0874181557964,1.3750793696219e-05,0.00264503170356625,0.305454151718621,"Non-significant",2.57756911810843,"GALNT2","Polypeptide N-acetylgalactosaminyltransferase 2","Q10471"
