"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HBV_vs_HBV.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
3.36320161819463,21.2607161998749,44.8970012435628,1.02167845427283e-10,4.30468821819535e-07,10.7327883305836,"P03146",9,48.3024263572205,8.71952375682737e-13,5.19945201619616e-09,-3.36320161819463,"Up in HBV",8.28404242538111,"C","Capsid protein","P03146"
4.07302093505861,19.9675359725952,42.9474330538134,1.44379950300029e-10,4.30468821819535e-07,10.6530484433123,"P03138",4,43.43600352168,2.40652132796682e-12,7.17504333933307e-09,-4.0730209350586,"Up in HBV",8.144175471322,"S","Large envelope protein","P03138"
0.585182200902782,18.7701708479642,14.8064261909682,5.35073745796792e-07,0.00106354824872876,6.58505361352263,"P43121",16,16.3901194680158,2.44077509202484e-08,4.85144729124803e-05,-0.585182200902786,"Up in HBV",4.31412868266819,"MCAM","Cell surface glycoprotein MUC18","P43121"
0.437042367818705,20.8066731554141,13.2837642430103,1.21395996362723e-06,0.0018097108157773,5.93297347890885,"P29966",11,13.5827802206495,1.38377556418861e-07,0.000206286342231417,-0.437042367818709,"Non-significant",3.68552952476501,"MARCKS","Myristoylated alanine-rich C-kinase substrate","P29966"
0.434599171312577,20.3237603203177,11.6482927164166,3.243226586793e-06,0.00386787202740933,5.10211321734697,"Q7LG56",14,12.6486611543919,2.65303695196602e-07,0.000316401186891467,-0.43459917131257,"Non-significant",3.49976189603578,"RRM2B","Ribonucleoside-diphosphate reductase subunit M2 B","Q7LG56"
-0.272860351697496,21.3335311287546,-9.9255972909552,1.05521526606254e-05,0.00786531078941368,4.04379684425665,"Q9UBR1",27,-12.0971472555473,3.97719461697695e-07,0.000395266858350559,0.272860351697499,"Non-significant",3.4031095981004,"UPB1","Beta-ureidopropionase","Q9UBR1"
-0.383379179012682,23.5327764706552,-9.52528692341995,1.42402754293901e-05,0.00943497359838372,3.76571673913611,"Q3LXA3",45,-11.2246543854249,7.8128673455647e-07,0.000665544685451461,0.383379179012682,"Non-significant",3.17682278016904,"TKFC","Triokinase/FMN cyclase","Q3LXA3"
-0.379224167365962,24.0019757930277,-8.93476412305094,2.2613868622504e-05,0.0122587725996356,3.33021339653238,"P09488",29,-10.3171551339817,1.65828927849851e-06,0.0011630464992533,0.379224167365962,"Non-significant",2.93440292158675,"GSTM1","Glutathione S-transferase Mu 1","P09488"
0.372605069987934,24.4796826744549,9.1490713567419,1.90639783286007e-05,0.0113678502773446,3.49188565636596,"P27105",18,10.251169191578,1.75539468275695e-06,0.0011630464992533,-0.372605069987941,"Non-significant",2.93440292158675,"STOM","Stomatin","P27105"
0.598703423895877,18.2052513811904,8.7378047754443,2.65377434331309e-05,0.0125755508447342,3.17783962679729,"P17301",17,9.70098000981281,2.8565259201348e-06,0.0015298063517927,-0.598703423895881,"Up in HBV",2.81536354020887,"ITGA2","Integrin alpha-2","P17301"
0.323943138288765,18.7029461582109,8.26753930844838,3.93728778787672e-05,0.0136896563580099,2.79867375341768,"P23229",29,9.61861626108474,3.07859738747483e-06,0.0015298063517927,-0.323943138288769,"Non-significant",2.81536354020887,"ITGA6","Integrin alpha-6","P23229"
-0.266350729280088,24.653718863177,-8.01733954611962,4.89365118413869e-05,0.0136896563580099,2.58769732629094,"P50440",40,-9.70801841322064,2.83837826602336e-06,0.0015298063517927,0.266350729280081,"Non-significant",2.81536354020887,"GATM","Glycine amidinotransferase, mitochondrial","P50440"
0.35556234570808,22.3663720612446,8.18912842370562,4.21249972598815e-05,0.0136896563580099,2.7332655691339,"P01009",33,9.48615416812568,3.47641924674339e-06,0.00158000283733732,-0.355562345708087,"Non-significant",2.80134213314758,"SERPINA1","Alpha-1-antitrypsin","P01009"
-0.527859039286465,17.728192661445,-10.2385949407136,8.40802063075003e-06,0.00716243243159463,4.25218793420227,"Q14257",5,-9.41602663831331,3.70954883828986e-06,0.00158000283733732,0.527859039286469,"Up in HBV.myr",2.80134213314758,"RCN2","Reticulocalbin-2","Q14257"
0.362864000812628,21.9480716437215,8.14632853252599,4.37172669401205e-05,0.0136896563580099,2.69729130306614,"O95497",22,9.2390277979182,4.37767339452097e-06,0.00174027109676857,-0.362864000812628,"Non-significant",2.7593830927175,"VNN1","Pantetheinase","O95497"
-0.186043071637478,23.2675612239859,-6.93939553496829,0.000133476740757427,0.0194003818130365,1.59821289030909,"O95954",46,-8.95483492196819,5.74259412384289e-06,0.00174171075192659,0.186043071637478,"Non-significant",2.75902396716558,"FTCD","Formimidoyltransferase-cyclodeaminase","O95954"
-0.276947965432932,27.2891320767946,-7.61025635671337,7.05466471272403e-05,0.0150239163149905,2.22989496038984,"P00325",37,-9.04246660514939,5.27770036715786e-06,0.00174171075192659,0.276947965432917,"Non-significant",2.75902396716558,"ADH1B","All-trans-retinol dehydrogenase [NAD(+)] ADH1B","P00325"
-0.271260997276286,25.0708429324889,-7.62309751249811,6.97210331961824e-05,0.0150239163149905,2.24146577371413,"P05089",31,-9.00534561817897,5.46940694337077e-06,0.00174171075192659,0.271260997276286,"Non-significant",2.75902396716558,"ARG1","Arginase-1","P05089"
0.517852971273406,18.7215621108409,11.0030530540555,4.94844180076546e-06,0.00491792640966074,4.73016282380889,"P18428",4,9.0532151066521,5.22357174986806e-06,0.00174171075192659,-0.517852971273406,"Up in HBV",2.75902396716558,"LBP","Lipopolysaccharide-binding protein","P18428"
0.486648410618471,19.7298638397368,7.86529277651658,5.60004287050337e-05,0.0141614287448825,2.45620721393428,"Q2TB90",45,8.93715240146186,5.84172648642157e-06,0.00174171075192659,-0.486648410618471,"Non-significant",2.75902396716558,"HKDC1","Hexokinase HKDC1","Q2TB90"
0.378902330594151,17.9101604634069,7.84557031779528,5.69971976986717e-05,0.0141614287448825,2.43896562959534,"P02786",22,8.86650286621893,6.25688761336337e-06,0.00177665813516599,-0.378902330594148,"Non-significant",2.75039613116733,"TFRC","Transferrin receptor protein 1","P02786"
0.165462868783052,25.2345555746277,6.52704261106088,0.000202220886285619,0.0213359878032247,1.1819941122987,"P07355",46,8.60622017887888,8.08864136399328e-06,0.00185882498130056,-0.165462868783052,"Non-significant",2.73076149954152,"ANXA2","Annexin A2","P07355"
-0.200763805454301,22.1115090495588,-6.89458694956007,0.000139514527384766,0.0194003818130365,1.5540504691745,"P30613",40,-8.60421040116466,8.10488839741987e-06,0.00185882498130056,0.200763805454297,"Non-significant",2.73076149954152,"PKLR","Pyruvate kinase PKLR","P30613"
0.504777673247606,17.5123837548462,8.46969953420893,3.31575667954587e-05,0.0131812380534213,2.96438737291785,"Q13443",7,8.66369370283703,7.63875362546655e-06,0.00185882498130056,-0.504777673247606,"Up in HBV",2.73076149954152,"ADAM9","Disintegrin and metalloproteinase domain-containing protein 9","Q13443"
0.789402313562043,19.9672607949415,8.03532243071241,4.81688684531377e-05,0.0136896563580099,2.60308303629545,"Q99988",8,8.70049945246391,7.36504489583058e-06,0.00185882498130056,-0.789402313562036,"Up in HBV",2.73076149954152,"GDF15","Growth/differentiation factor 15","Q99988"
-0.240904451082496,19.917094916017,-8.6981699389585,2.74160927354595e-05,0.0125755508447342,3.14672812117571,"Q9HB40",11,-8.63427709188802,7.8655054306905e-06,0.00185882498130056,0.240904451082496,"Non-significant",2.73076149954152,"SCPEP1","Retinoid-inducible serine carboxypeptidase","Q9HB40"
-0.36173143405599,20.7631355310432,-7.98151213784428,5.05068656508834e-05,0.0136896563580099,2.55694030420698,"Q14749",12,-8.56564292198637,8.42367411556802e-06,0.00186038402781971,0.361731434055994,"Non-significant",2.73039739774553,"GNMT","Glycine N-methyltransferase","Q14749"
0.167556544915556,23.936342113979,6.51878635288661,0.000203949573165153,0.0213359878032247,1.17343163638489,"P00738",42,8.49610549930854,9.03360716869171e-06,0.00191749978362198,-0.167556544915556,"Non-significant",2.71726467638643,"HP","Haptoglobin","P00738"
0.74927646479053,16.4767573508106,8.473809561587,3.30431129621886e-05,0.0131812380534213,2.96771336742905,"Q68CQ7",4,8.46462794510321,9.32542239225848e-06,0.00191749978362198,-0.749276464790533,"Up in HBV",2.71726467638643,"GLT8D1","Glycosyltransferase 8 domain-containing protein 1","Q68CQ7"
0.405302990041513,19.7305801292712,7.33361231972636,9.12634543142558e-05,0.0170063743148721,1.97596513601331,"O60443",21,8.23344015113401,1.18121152637115e-05,0.00234785477725039,-0.405302990041509,"Non-significant",2.62932876917455,"GSDME","Gasdermin-E","O60443"
0.305454151718621,19.4791264913078,7.03990946720441,0.000120960269771494,0.0194003818130365,1.69635454870669,"Q10471",27,8.0874181557967,1.37507936962147e-05,0.00264503170356542,-0.305454151718621,"Non-significant",2.57756911810857,"GALNT2","Polypeptide N-acetylgalactosaminyltransferase 2","Q10471"
-0.206545826226677,22.2942823899006,-6.62239708119716,0.000183389612834226,0.0213359878032247,1.28022466389087,"O43175",33,-8.02877601126277,1.46248527857271e-05,0.00272524991129033,0.20654582622668,"Non-significant",2.56459366582119,"PHGDH","D-3-phosphoglycerate dehydrogenase","O43175"
0.269971350284905,24.8615544036193,6.89765514543355,0.000139091571424327,0.0194003818130365,1.55708256634071,"P04004",27,7.99273466537835,1.51919939243682e-05,0.00274514726578811,-0.269971350284909,"Non-significant",2.56143435248762,"VTN","Vitronectin","P04004"
0.326357887934208,18.7954813380237,7.35100757681457,8.9777953566547e-05,0.0170063743148721,1.99219778193526,"Q92508",13,7.96023060902965,1.57240791491052e-05,0.00275772599900335,-0.326357887934208,"Non-significant",2.55944888646775,"PIEZO1","Piezo-type mechanosensitive ion channel component 1","Q92508"
-0.212629150739403,23.91768080426,-6.546284773025,0.000198254635142686,0.0213359878032247,1.20191445119778,"P34896",35,-7.90602678341036,1.66571350665035e-05,0.00283789989718744,0.212629150739403,"Non-significant",2.54700292771782,"SHMT1","Serine hydroxymethyltransferase, cytosolic","P34896"
-0.25132025021545,24.8256805111735,-6.58567774655903,0.000190400874472875,0.0213359878032247,1.2425413097516,"O75891",114,-7.74649330473345,1.9771782740221e-05,0.00323894921259884,0.25132025021545,"Non-significant",2.48959586176475,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","O75891"
0.189787158689175,23.9177602434799,6.35450034655512,0.000241988264934293,0.0225465003719248,1.00113420300171,"P10909",31,7.73141609122528,2.00974544467813e-05,0.00323894921259884,-0.189787158689171,"Non-significant",2.48959586176475,"CLU","Clusterin","P10909"
0.403282615409729,17.3997497928461,7.64575250268454,6.82905368193129e-05,0.0150239163149905,2.26183356790661,"P22792",7,7.66565108937056,2.15879416806732e-05,0.00338760253268038,-0.403282615409729,"Non-significant",2.47010755111284,"CPN2","Carboxypeptidase N subunit 2","P22792"
0.304055676092595,19.4982025159533,6.86165556443021,0.000144145164588003,0.0194003818130365,1.52143084488287,"O60488",16,7.59716766582936,2.32689997326969e-05,0.00342947459665573,-0.304055676092595,"Non-significant",2.46477240976805,"ACSL4","Long-chain-fatty-acid--CoA ligase 4","O60488"
0.955946097594961,15.6199853552516,7.20183941899999,0.000103446382147137,0.0184862817367351,1.85181758403817,"Q01995",4,7.60098106279532,2.31717361546179e-05,0.00342947459665573,-0.955946097594953,"Up in HBV",2.46477240976805,"TAGLN","Transgelin","Q01995"
-0.206346250936324,22.873579262867,-6.56587790181488,0.000194304396150248,0.0213359878032247,1.22214718696152,"Q96DG6",21,-7.58508386681276,2.35801540269806e-05,0.00342947459665573,0.206346250936324,"Non-significant",2.46477240976805,"CMBL","Carboxymethylenebutenolidase homolog","Q96DG6"
0.430792616884204,17.6540629928437,8.15449740937681,4.34082537804147e-05,0.0136896563580099,2.70417233339426,"Q4L180",5,7.55554891287068,2.43599069694811e-05,0.00345852679188132,-0.430792616884204,"Non-significant",2.46110885565939,"FILIP1L","Filamin A-interacting protein 1-like","Q4L180"
-0.471689034264919,23.4747741691787,-7.66724838632964,6.69633758690631e-05,0.0150239163149905,2.28110514857855,"P02656",5,-7.40247855654674,2.88776001777695e-05,0.00391357113318272,0.471689034264912,"Non-significant",2.40742676802323,"APOC3","Apolipoprotein C-III","P02656"
-0.226010880999581,22.7725673869528,-6.38338906557663,0.0002347659740688,0.0225465003719248,1.03169806915663,"P30039",24,-7.40256516414777,2.88747996209533e-05,0.00391357113318272,0.226010880999581,"Non-significant",2.40742676802323,"PBLD","Phenazine biosynthesis-like domain-containing protein","P30039"
-0.186178630472654,22.3733422018698,-6.24724100372194,0.000271036122576867,0.023297867563786,0.886648873824321,"P50053",22,-7.30269692501677,3.23093584424558e-05,0.00428134898649697,0.186178630472654,"Non-significant",2.3684193699857,"KHK","Ketohexokinase","P50053"
0.366304734461362,18.5215216492835,6.82394028802826,0.000149659158712004,0.0194003818130365,1.4839019003799,"P08729",10,7.24713655195372,3.44106276730259e-05,0.00440399607504555,-0.366304734461362,"Non-significant",2.35615307675451,"KRT7","Keratin, type II cytoskeletal 7","P08729"
0.209547627404195,17.6220615217302,6.21240758106525,0.00028128350658009,0.0236238528131983,0.849125116649147,"Q14517",24,7.23947076813497,3.47120267528326e-05,0.00440399607504555,-0.209547627404195,"Non-significant",2.35615307675451,"FAT1","Protocadherin Fat 1","Q14517"
0.345122133547619,22.3709342871149,6.36262803954985,0.000239931760067894,0.0225465003719248,1.00974476112847,"P21333",170,7.17151466709845,3.75129512220433e-05,0.00466020266952176,-0.34512213354763,"Non-significant",2.33159519568318,"FLNA","Filamin-A","P21333"
0.541149079757965,19.2291487547135,7.46370123792121,8.07814015162386e-05,0.0166103274910804,2.09648965891589,"Q14116",4,7.13694014356984,3.90315265654449e-05,0.00474989781448466,-0.541149079757965,"Up in HBV",2.32331573333993,"IL18","Interleukin-18","Q14116"
0.356784944678431,19.6039952068493,6.53529883750318,0.000200508422273224,0.0213359878032247,1.19054740443238,"P21589",10,6.94999899440348,4.84887310622545e-05,0.00546469373122459,-0.356784944678431,"Non-significant",2.26243417306768,"NT5E","5'-nucleotidase","P21589"
0.502557014891824,20.3804848037865,6.23875139683147,0.00027349500745682,0.023297867563786,0.877519181869409,"P67936",20,6.94881625865688,4.8555967913311e-05,0.00546469373122459,-0.502557014891821,"Up in HBV",2.26243417306768,"TPM4","Tropomyosin alpha-4 chain","P67936"
