"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_HBV.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-1.78358926763454,19.6062253087433,-26.2973133623772,5.32735271596004e-09,2.00209071308511e-05,10.5756570571747,"P07996",23,-29.6767153596907,5.28005797164345e-11,3.14849856849099e-07,1.78358926763454,"Up in HBV.myr",6.50189649981995,"THBS1","Thrombospondin-1","P07996"
-2.15493027907094,21.6696465728319,-24.2434124280223,1.0080701861172e-08,2.00370750660561e-05,10.1495926503111,"P02679",37,-27.4042372201954,1.15181404006165e-10,3.4341335604438e-07,2.15493027907094,"Up in HBV.myr",6.4641828182503,"FGG","Fibrinogen gamma chain","P02679"
-2.40540628706686,21.568531190374,-23.1008644128475,1.47117300626649e-08,2.19315115909178e-05,9.88414468263912,"P02671",38,-26.0338770460094,1.90185106050694e-10,3.7802459579343e-07,2.40540628706686,"Up in HBV.myr",6.42247994230601,"FGA","Fibrinogen alpha chain","P02671"
-2.30723563412198,22.1715567130457,-21.0385236966013,3.05546275694067e-08,2.90836263447525e-05,9.34470101250907,"P02675",40,-23.6954393589425,4.76393893926864e-10,7.10184197371472e-07,2.30723563412198,"Up in HBV.myr",6.14862899560906,"FGB","Fibrinogen beta chain","P02675"
-1.23628687210357,19.3028163735933,-20.7413715544649,3.41414362591426e-08,2.90836263447525e-05,9.25984988406863,"Q08830",13,-22.7355473750806,7.12563502608478e-10,8.49803233210871e-07,1.23628687210357,"Up in HBV.myr",6.07068162090128,"FGL1","Fibrinogen-like protein 1","Q08830"
-1.08636686795813,20.6447551472668,-19.5516878202312,5.41011138494043e-08,4.03256177354998e-05,8.90002303308774,"P19823",13,-21.3711159686604,1.30030972377854e-09,1.29229114714857e-06,1.08636686795813,"Up in HBV.myr",5.8886396308027,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","P19823"
-1.45028240264194,22.3791885799573,-17.7553397109793,1.14406393249592e-07,7.58005914385909e-05,8.28863178912812,"P02751",114,-20.1351358168983,2.31688904434287e-09,1.54378841152735e-06,1.45028240264194,"Up in HBV.myr",5.81141222343232,"FN1","Fibronectin","P02751"
-2.11418872363227,17.1724233920449,-25.5328402308199,6.7150451554087e-09,2.00209071308511e-05,10.424211341668,"P05543",2,-20.355734035352,2.08482105919935e-09,1.54378841152735e-06,2.11418872363227,"Up in HBV.myr",5.81141222343232,"SERPINA7","Thyroxine-binding globulin","P05543"
-1.54749147554084,19.3491985340101,-21.9735771016664,2.17561961187717e-08,2.59464394912471e-05,9.59958294167734,"P10643",4,-20.1233602632612,2.33005126676943e-09,1.54378841152735e-06,1.54749147554084,"Up in HBV.myr",5.81141222343232,"C7","Complement component C7","P10643"
-1.47559630842967,18.3949320317127,-14.8670392086176,4.50593877449103e-07,0.000244262844657182,7.09447188738299,"P12109",5,-15.4108767321789,3.0313757153079e-08,1.8076093390381e-05,1.47559630842967,"Up in HBV.myr",4.74289542354672,"COL6A1","Collagen alpha-1(VI) chain","P12109"
