"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM2_vs_BM1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
1.22976589202881,8.4840829372406,8.29283732573696,4.83092778020166e-05,0.144067274001021,2.14126748286971,"HBB_HUMAN",8,8.37980495154543,2.89958838563886e-05,0.0693031291973125,0.0494437217712225,"Non-significant",1.15924715554051,"HBB","Hemoglobin subunit beta","HBB_HUMAN"
0.2597436904907,13.0262541770935,7.24937163754454,0.000120023453023514,0.144067274001021,1.45938136239616,"K2C7_HUMAN",37,8.27263927284723,3.18667691657907e-05,0.0693031291973125,-0.000971794128425074,"Non-significant",1.15924715554051,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
-0.264486551284785,8.86999094486237,-7.72176043755481,7.85309984936099e-05,0.144067274001021,1.7836149389312,"RN123_HUMAN",22,-8.22251267501103,3.33169037753934e-05,0.0693031291973125,0.025296926498374,"Non-significant",1.15924715554051,"RNF123","E3 ubiquitin-protein ligase RNF123","RN123_HUMAN"
0.194262981414795,11.2734060287476,6.40187921679529,0.000271857738019874,0.16587029123364,0.805265161377813,"MX1_HUMAN",43,7.77858886916675,4.98982120984452e-05,0.0693031291973125,-0.0666251182556241,"Non-significant",1.15924715554051,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
0.427004337310775,11.5124087333679,7.33239795075857,0.000111228383121628,0.144067274001021,1.51834413666031,"K1C19_HUMAN",26,7.75643359035455,5.09385391114969e-05,0.0693031291973125,0.0721700191497767,"Non-significant",1.15924715554051,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
0.245675086975101,11.9608194828033,7.21152835880183,0.000124287764112293,0.144067274001021,1.43221772429385,"ANXA1_HUMAN",23,7.74995920958854,5.12470760640714e-05,0.0693031291973125,0.0154087543488011,"Non-significant",1.15924715554051,"ANXA1","Annexin A1","ANXA1_HUMAN"
-0.146265745162975,10.7266923189163,-5.65855619884298,0.000595736940160374,0.16587029123364,0.14526758714368,"WNK1_HUMAN",48,-7.56687571884746,6.0891040265879e-05,0.0705814143881918,0.0283370018005513,"Non-significant",1.15130964301725,"WNK1","Serine/threonine-protein kinase WNK1","WNK1_HUMAN"
0.344756126403814,9.27521061897278,8.13441190409466,5.51251757636925e-05,0.144067274001021,2.04560718047481,"ISG20_HUMAN",11,7.34511938224541,7.53645386661916e-05,0.0764384833421849,0.0857415199279767,"Non-significant",1.11668793860623,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-0.363686561584476,13.1362779140472,-7.35055973772543,0.000109401914896638,0.144067274001021,1.53112716600261,"RL10_HUMAN",12,-7.0208120475752,0.000103881774265724,0.086185728580471,-0.122680187225351,"Non-significant",1.06456464266581,"RPL10","Large ribosomal subunit protein uL16","RL10_HUMAN"
-0.493354320526124,7.4399276971817,-6.96521624210218,0.000156547573817096,0.158778376743989,1.25090226738201,"KRI1_HUMAN",13,-6.99873930042562,0.000106218546438835,0.086185728580471,0.00506210327148438,"Non-significant",1.06456464266581,"KRI1","Protein KRI1 homolog","KRI1_HUMAN"
-0.319728612899777,9.47307336330414,-6.22264759173926,0.000326470976313053,0.16587029123364,0.653919157673441,"GTPB4_HUMAN",25,-6.59999479497033,0.000160226257055486,0.10322868732064,-0.3097460269928,"Non-significant",0.986199595211256,"GTPBP4","GTP-binding protein 4","GTPB4_HUMAN"
-0.403726577758801,14.341655254364,-6.26492694752461,0.000312567434658588,0.16587029123364,0.690052908137791,"RL4_HUMAN",23,-6.56454771978187,0.000166334233943371,0.10322868732064,-0.0883059501648003,"Non-significant",0.986199595211256,"RPL4","Large ribosomal subunit protein uL4","RL4_HUMAN"
0.19887900352478,9.43036758899689,6.06213627017824,0.000385870355993196,0.16587029123364,0.514264093159516,"MICU1_HUMAN",23,6.53319413896354,0.00017195145792558,0.10322868732064,-0.134961128234865,"Non-significant",0.986199595211256,"MICU1","Calcium uptake protein 1, mitochondrial","MICU1_HUMAN"
-0.283876538276672,7.82725030183792,-6.02901848224128,0.000399565432905856,0.16587029123364,0.484955841782274,"POP1_HUMAN",29,-6.50008108946341,0.000178112105310446,0.10322868732064,-0.00996971130367541,"Non-significant",0.986199595211256,"POP1","Ribonucleases P/MRP protein subunit POP1","POP1_HUMAN"
0.134028434753402,11.3913955688476,5.25067984646148,0.000944010027466388,0.16673088870689,-0.254822732896915,"SYSM_HUMAN",30,6.35298145031902,0.000208585102222339,0.10741399172594,-0.0833084583282435,"Non-significant",0.968939143835837,"SARS2","Serine--tRNA ligase, mitochondrial","SYSM_HUMAN"
-0.2868208885193,10.7962357997894,-6.29960721773524,0.000301653280542061,0.16587029123364,0.719491742012289,"AUP1_HUMAN",16,-6.33881918571114,0.000211809695293942,0.10741399172594,0.0635440349579,"Non-significant",0.968939143835837,"AUP1","Lipid droplet-regulating VLDL assembly factor AUP1","AUP1_HUMAN"
-0.30543065071106,9.00227749347687,-5.72887719828106,0.000551502395892758,0.16587029123364,0.211445486446595,"VIP2_HUMAN",35,-6.17916160509875,0.00025222275000967,0.10909038084472,0.293756484985352,"Non-significant",0.962213542081069,"PPIP5K2","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2","VIP2_HUMAN"
0.161134719848626,12.8747017383575,5.0793096160967,0.00115318608152855,0.16673088870689,-0.431399594625439,"TSP1_HUMAN",50,6.16845059353376,0.000255223362170215,0.10909038084472,-0.0469121932983256,"Non-significant",0.962213542081069,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-0.238740444183348,9.71539974212646,-5.57516645685794,0.000653354986346165,0.16587029123364,0.0657378139206282,"PACS1_HUMAN",31,-6.09551934126433,0.000276730044436054,0.10909038084472,-0.229882717132562,"Non-significant",0.962213542081069,"PACS1","Phosphofurin acidic cluster sorting protein 1","PACS1_HUMAN"
-0.221531867980961,9.59675264358521,-5.42950848787248,0.000769370354630758,0.16587029123364,-0.075954351384536,"TCOF_HUMAN",37,-6.05299482068008,0.000290185600539979,0.10909038084472,0.116828918457028,"Non-significant",0.962213542081069,"TCOF1","Treacle protein","TCOF_HUMAN"
-0.24634599685665,13.1990947723389,-5.64433847513515,0.000605149654200731,0.16587029123364,0.131789078955623,"FBRL_HUMAN",22,-5.95065490566504,0.00032561466284893,0.10909038084472,0.019599437713623,"Non-significant",0.962213542081069,"FBL","rRNA 2'-O-methyltransferase fibrillarin","FBRL_HUMAN"
-0.388304233551027,9.54194593429565,-6.17882748155848,0.000341610362015991,0.16587029123364,0.61618347522933,"EMC3_HUMAN",10,-5.88602457417709,0.000350425590711208,0.10909038084472,-0.0501265525817729,"Non-significant",0.962213542081069,"EMC3","ER membrane protein complex subunit 3","EMC3_HUMAN"
-0.312793493270872,14.7328640222549,-5.61604793160381,0.000624372565144824,0.16587029123364,0.104870438249728,"RL6_HUMAN",20,-5.84112561783537,0.000368882753598086,0.10909038084472,0.0173565149307251,"Non-significant",0.962213542081069,"RPL6","Large ribosomal subunit protein eL6","RL6_HUMAN"
