"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM2_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-2.00256911913552,11.9358904702323,-57.717954823899,5.16714599320113e-10,2.91396994506672e-06,10.6010263370237,"TSP1_HUMAN",50,-74.9923254270696,1.47463487024906e-11,6.24073409655576e-08,0.130690733591706,"Non-significant",7.20476432132213,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.51323723793032,15.0872373580933,-47.5728585248136,1.797600213639e-09,3.64643203336671e-06,10.2329065724826,"FINC_HUMAN",120,-74.5469590435271,1.53826327250573e-11,6.24073409655576e-08,0.0898650487264128,"Non-significant",7.20476432132213,"FN1","Fibronectin","FINC_HUMAN"
-1.70808903376259,15.0527504512242,-52.5568164437324,9.45541887473609e-10,2.91396994506672e-06,10.4357566450714,"FIBA_HUMAN",43,-68.7928002860976,2.71908518648339e-11,7.35421906770875e-08,0.0926911036173408,"Non-significant",7.13346343749679,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-1.57236226399738,15.3907952989851,-51.5037583724454,1.07738597919647e-09,2.91396994506672e-06,10.3968885713448,"FIBG_HUMAN",29,-61.9488304740916,5.71562432516406e-11,1.15941439435953e-07,0.0327613353728999,"Non-significant",6.9357613120797,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-1.40701842308043,14.7543088368007,-41.2325740141743,4.51850980747132e-09,7.33263771556445e-06,9.88796049160108,"FIBB_HUMAN",38,-51.3264455470488,2.16730114661466e-10,3.51709630072626e-07,0.189001480738327,"Non-significant",6.45381574021264,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-2.74370837211607,10.5378069196429,-39.6649950659587,5.79973400255069e-09,7.84317361611605e-06,9.78284203758,"TSP4_HUMAN",21,-41.6142323400158,9.56759661370291e-10,1.29385798205976e-06,0.0910177230834996,"Non-significant",5.88811339058588,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-1.91705989837651,13.7467241287232,-36.106750809938,1.06211418052901e-08,1.23114206583034e-05,9.50629694923555,"FGL1_HUMAN",17,-36.5561486795897,2.39190598208667e-09,2.77256073409303e-06,0.159365812937427,"Non-significant",5.55711893167382,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-2.42063919703165,8.76242651258196,-34.057708604444,1.54667190929046e-08,1.56871198399785e-05,9.31859045076859,"AMY1B_HUMAN",12,-33.1152470129548,4.80816810239842e-09,4.8766844978576e-06,0.186843792597451,"Non-significant",5.31187534062983,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
-2.56359426180522,7.9217289515904,-30.6428342353141,3.05032531083238e-08,2.75003773023265e-05,8.94778446048875,"CLC11_HUMAN",7,-27.2460854871482,1.90244492530015e-08,1.71515979154282e-05,-0.0815194447835346,"Non-significant",4.76569541302496,"CLEC11A","C-type lectin domain family 11 member A","CLC11_HUMAN"
-0.378702640533463,12.8968595777239,-12.5322538304842,8.96306015629282e-06,0.0039854041847941,4.39457571386212,"CO4B_HUMAN",83,-19.9325755004795,1.70538954409763e-07,0.000138375307608081,0.245663444201152,"Non-significant",3.85894140067623,"C4B_2","Complement C4-B","CO4B_HUMAN"
-0.570312976837142,10.2453648703439,-14.3111214430115,3.90275210226664e-06,0.00242771493417697,5.19295812137812,"AGRIN_HUMAN",63,-17.8864226473879,3.63069235329687e-07,0.000267813070496825,-0.0747499465942578,"Non-significant",3.57216823125931,"AGRN","Agrin","AGRIN_HUMAN"
-0.544857581456494,10.7209461757115,-13.9556597170592,4.57103292966878e-06,0.00247262407942216,5.04375767423448,"LAMC1_HUMAN",52,-17.2639502,4.6454143103171e-07,0.000295153778227698,-0.0739507675170827,"Non-significant",3.52995165305624,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
-0.48518832524617,15.8063286372593,-14.532770831067,3.54307113238222e-06,0.00239570659734578,5.28359135352238,"APOE_HUMAN",29,-17.0432435063392,5.08002947980994e-07,0.000295153778227698,-0.106090784072878,"Non-significant",3.52995165305624,"APOE","Apolipoprotein E","APOE_HUMAN"
-0.685752391815202,12.6515611921038,-16.4032700560469,1.6499830134894e-06,0.00121708747013209,5.98172564249675,"LG3BP_HUMAN",20,-17.0371729207813,5.09262126594499e-07,0.000295153778227698,-0.0539484024047585,"Non-significant",3.52995165305624,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-0.300856669743796,13.3527792521886,-9.69088619988027,4.38172125872112e-05,0.0104568489097833,2.79281328841187,"FAT1_HUMAN",153,-16.0782369585204,7.61289544512803e-07,0.000411806890945125,-0.107689619064333,"Non-significant",3.38530639041735,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
-1.64494649569193,8.93458529881068,-14.1509980428074,4.18881058398787e-06,0.00242771493417697,5.1263447560133,"PGBM_HUMAN",106,-15.1415360260676,1.15335324538541e-06,0.000570780969350284,0.0625470479329842,"Non-significant",3.24353051531201,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
-0.215818166732781,12.6786511284964,-7.54449994755464,0.000196581148933731,0.0238068573499745,1.21200807393711,"LRP1_HUMAN",189,-15.0624117127836,1.19586843467523e-06,0.000570780969350284,0.162762959798178,"Non-significant",3.24353051531201,"LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1_HUMAN"
-0.290130774180099,17.1403329031808,-10.1990659672985,3.20602064274681e-05,0.00839150048233795,3.11485493475844,"SBP1_HUMAN",39,-14.1569327526859,1.83384828470714e-06,0.000826658054561874,0.0895901521046998,"Non-significant",3.0826740983399,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN"
-0.274726311365763,15.1212945665632,-8.78180117176342,7.95917120240396e-05,0.0140392858991969,2.17017824950732,"CO3_HUMAN",111,-13.9322201845723,2.04726064412511e-06,0.000874288045601641,-0.132211923599243,"Non-significant",3.05834545980758,"C3","Complement C3","CO3_HUMAN"
3.56531914075216,9.78024959564209,13.1032518587287,6.78547491962797e-06,0.00344108396861633,4.66545550797402,"Q15194_HBV",5,13.3395418699766,2.75944698915571e-06,0.0010723054728024,0.0431016286214181,"Non-significant",2.96968147746584,"PreC-C","Capsid protein","Q15194_HBV"
-0.759257396062239,12.0328009469169,-12.4995030503097,9.11054033427319e-06,0.0039854041847941,4.37858635968349,"APOA5_HUMAN",23,-13.243965178377,2.8988878910033e-06,0.0010723054728024,-0.0506918430328085,"Non-significant",2.96968147746584,"APOA5","Apolipoprotein A-V","APOA5_HUMAN"
0.503119150797518,9.85995919363839,12.4513763624489,9.33234896611881e-06,0.0039854041847941,4.354998624946,"FMO1_HUMAN",22,13.2382944115101,2.90740946532571e-06,0.0010723054728024,0.0964322090148997,"Non-significant",2.96968147746584,"FMO1","Flavin-containing monooxygenase 1","FMO1_HUMAN"
-0.34249194463097,14.8247529438564,-11.5280121598235,1.50670028921661e-05,0.0058256916719411,3.88032525089257,"APOA1_HUMAN",25,-13.1504393846641,3.04313397924624e-06,0.00107356474380887,-0.017305215199789,"Non-significant",2.96917175930313,"APOA1","Apolipoprotein A-I","APOA1_HUMAN"
-0.83524616559346,10.6024968283517,-11.5267064322017,1.50775850518564e-05,0.0058256916719411,3.87962289253527,"TRFL_HUMAN",33,-12.4231373960106,4.4899590637106e-06,0.00151798032678949,-0.145675420761158,"Non-significant",2.81873385691362,"LTF","Lactotransferrin","TRFL_HUMAN"
-1.6177605787913,8.5472081048148,-17.0790291037469,1.27767882857542e-06,0.0010367086015061,6.20756719225832,"DMBT1_HUMAN",1,-12.142322506079,5.24708802028864e-06,0.00170299488786488,-0.343835115432738,"Non-significant",2.76878665572231,"DMBT1","Scavenger receptor cysteine-rich domain-containing protein DMBT1","DMBT1_HUMAN"
-0.429706652959174,11.991361618042,-10.5903266939243,2.54432654343398e-05,0.007367703603419,3.35123345663632,"A0AAG2UXZ5_HUMAN",30,-12.0157744988384,5.63491849706877e-06,0.00174719738500722,-0.558114409446715,"Up in BM2",2.75765802897409,"COL18A1","Collagen type XVIII alpha 1 chain;Collagen alpha-1(XVIII) chain","A0AAG2UXZ5_HUMAN"
-0.393325249354039,13.3568138395037,-10.8583782452042,2.18127520998004e-05,0.007367703603419,3.5076972091849,"SERB1_HUMAN",24,-11.8887461899441,6.05726652215934e-06,0.00174719738500722,0.138099193573018,"Non-significant",2.75765802897409,"SERBP1","SERPINE1 mRNA-binding protein 1","SERB1_HUMAN"
1.01364994049072,8.26530633653913,11.1321830801139,1.87044075149378e-05,0.00659858967722632,3.66312681813057,"LAMB1_HUMAN",30,11.8416129373394,6.22302559422071e-06,0.00174719738500722,-0.0616482098897517,"Non-significant",2.75765802897409,"LAMB1","Laminin subunit beta-1","LAMB1_HUMAN"
0.31629411379496,14.3726258959089,9.42461635590496,5.19134636798671e-05,0.0111327904412308,2.6168782092877,"PLOD2_HUMAN",38,11.8141983421672,6.32180230865412e-06,0.00174719738500722,0.132824341456107,"Non-significant",2.75765802897409,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
-0.275717178980472,14.2182600838797,-8.71637169951495,8.32558237148859e-05,0.0143731436940975,2.12287589219206,"VIME_HUMAN",46,-11.776664904322,6.45993610429091e-06,0.00174719738500722,0.0930422941843663,"Non-significant",2.75765802897409,"VIM","Vimentin","VIME_HUMAN"
-0.834754387537627,9.66818210056849,-10.7258919609446,2.35270951383206e-05,0.007367703603419,3.4309062860731,"PTPRF_HUMAN",57,-11.6854733027159,6.81004643824826e-06,0.00178247473548214,0.00647656122843543,"Non-significant",2.74897661705447,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN"
0.279663403828962,17.2069672175816,8.8257893437803,7.72319855928118e-05,0.0140392858991969,2.20178283919735,"CNDP2_HUMAN",40,11.5166118648629,7.51673179308177e-06,0.00187318574954438,0.0172820091247488,"Non-significant",2.72741915481788,"CNDP2","Cytosolic non-specific dipeptidase","CNDP2_HUMAN"
-0.336908578872647,13.6182641983032,-8.56161947991624,9.27159025160779e-05,0.015002437549764,2.00958449855759,"APOB_HUMAN",239,-11.4938223444546,7.61833001416868e-06,0.00187318574954438,-0.130134423573759,"Non-significant",2.72741915481788,"APOB","Apolipoprotein B-100","APOB_HUMAN"
0.380065600077344,12.1246324266706,9.30968448981207,5.59283632929472e-05,0.0113450684939743,2.53933730437244,"HKDC1_HUMAN",55,11.3880566466855,8.11070130499243e-06,0.0019355950114326,-0.0325318177541067,"Non-significant",2.7131855058598,"HKDC1","Hexokinase HKDC1","HKDC1_HUMAN"
-0.410049041112265,9.38350622994559,-10.7060542831166,2.37968732933114e-05,0.007367703603419,3.41931736137164,"SIN1_HUMAN",21,-11.2568292902474,8.77253919234569e-06,0.00203372522876266,0.0638223489125078,"Non-significant",2.69170772382876,"MAPKAP1","Target of rapamycin complex 2 subunit MAPKAP1","SIN1_HUMAN"
-0.733420133590704,8.41945198604039,-9.97667149523741,3.66930008939204e-05,0.00902203058343242,2.97607510663705,"NID1_HUMAN",32,-10.7298430849808,1.21241089199575e-05,0.00273263943823709,0.190775434176126,"Non-significant",2.56341766809303,"NID1","Nidogen-1","NID1_HUMAN"
3.16590778032941,10.0259276798793,10.6141020519255,2.50946282707607e-05,0.007367703603419,3.36528765678363,"Q6VBP1_HBV",1,10.5198756119782,1.38475673333069e-05,0.00297723211465449,0.0505847930908185,"Non-significant",2.52618730502948,"S","Large envelope protein","Q6VBP1_HBV"
-0.530454715092931,10.4309242793492,-10.2776625903868,3.05861090267253e-05,0.00827252295476162,3.16312278945052,"OAT_HUMAN",18,-10.5091083297885,1.39431624792791e-05,0.00297723211465449,-0.429706652959174,"Non-significant",2.52618730502948,"OAT","Ornithine aminotransferase, mitochondrial","OAT_HUMAN"
-0.687504291534422,9.5652848652431,-11.2952075500115,1.70961802639651e-05,0.00630538212099147,3.75363279867567,"B4GA1_HUMAN",11,-10.4525276762963,1.44579544192604e-05,0.00300799595276613,-0.207116921742708,"Non-significant",2.52172275241966,"B4GAT1","Beta-1,4-glucuronyltransferase 1","B4GA1_HUMAN"
-0.453670501708983,12.193802016122,-9.56818872965569,4.73533594359213e-05,0.0106729210684185,2.71237715767782,"MA1A1_HUMAN",24,-10.2826816262344,1.61373779706725e-05,0.00327346712135092,0.00658082962034889,"Non-significant",2.4849920167666,"MAN1A1","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA","MA1A1_HUMAN"
