"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL_vs_HBV","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
3.34815180301666,11.8248000144958,35.6140379420304,2.04274604152346e-13,1.66013970794612e-09,18.6810180005695,"TSP1_HUMAN",50,36.9942105221929,4.55236849447913e-14,3.69970987546319e-10,-0.0449047088623011,"Non-significant",9.43183233118317,"THBS1","Thrombospondin-1","TSP1_HUMAN"
2.00335454940797,13.734307607015,30.967092443438,1.05325323292667e-12,4.27989451199751e-09,17.7420197814769,"FGL1_HUMAN",17,31.532237125041,3.23653908378474e-13,1.31516765669593e-09,-0.131157636642488,"Non-significant",8.8810188800741,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
0.92074644565581,12.6808795134227,25.2563025000696,1.13984730457299e-11,3.08784634808824e-08,16.1658979452531,"LG3BP_HUMAN",20,26.2043105423123,3.11191692609711e-12,8.43018295279708e-09,0.00489819049837514,"Non-significant",8.07416300016434,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
0.829946398735022,10.719345887502,20.3439354606744,1.40075547539862e-10,2.27678794971292e-07,14.2564307936452,"LAMC1_HUMAN",52,22.750032273507,1.73696454445492e-11,3.52907771319628e-08,-0.100050210952777,"Non-significant",7.45233877801274,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
2.25700139999389,8.34053083260854,20.7984442359491,1.08528053619188e-10,2.20501872940785e-07,14.4612545540299,"MIME_HUMAN",7,20.3053498026018,6.87183335722473e-11,1.11694779388331e-07,0.14468717575075,"Non-significant",6.95196712532509,"OGN","Mimecan","MIME_HUMAN"
0.554019808769221,13.5206889311473,16.4151660538889,1.64113687057035e-09,1.90535990673218e-06,12.1739059258994,"ITIH2_HUMAN",47,19.0750744561828,1.45860080922607e-10,1.97567479609671e-07,0.0889822244644005,"Non-significant",6.70428454045887,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","ITIH2_HUMAN"
2.84202122688292,8.82530387242634,18.5860233229735,3.96515626090384e-10,5.37080415539425e-07,13.3986327698791,"COMP_HUMAN",5,18.2894572093332,2.41651565719005e-10,2.80557467799765e-07,0.0530909299850357,"Non-significant",6.55197816687831,"COMP","Cartilage oligomeric matrix protein","COMP_HUMAN"
0.407311320304897,13.3683979511261,13.0642300070839,2.15037800548688e-08,1.24829443218513e-05,9.82367233837296,"FAT1_HUMAN",153,16.8585190446772,6.39902931810655e-10,6.50061390853149e-07,-0.0380566716194188,"Non-significant",6.18704562728057,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
0.812921047210692,10.1818404197693,14.1811864457985,8.58920663793151e-09,7.69955695296368e-06,10.6791769039428,"AGRIN_HUMAN",63,15.2093462038582,2.17100162930015e-09,1.91265754686223e-06,0.0100136995315623,"Non-significant",5.71836278157834,"AGRN","Agrin","AGRIN_HUMAN"
0.773839592933669,11.4635489781698,14.436723543279,7.02625550653134e-09,7.13779731269753e-06,10.8640281821535,"K1C19_HUMAN",26,15.1057642133691,2.35346074426262e-09,1.91265754686223e-06,0.218704283237456,"Non-significant",5.71836278157834,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
2.05280792713165,9.01581263542175,14.0579226182544,9.47404571547149e-09,7.69955695296368e-06,10.5886161283061,"PGBM_HUMAN",106,14.498381462934,3.81668511898497e-09,2.81983636018099e-06,0.0808770656585391,"Non-significant",5.54977609378435,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
1.13309502601623,8.87065037091573,13.2835975470294,1.78613166933824e-08,1.19431258613582e-05,9.99806391222143,"LAMA5_HUMAN",58,13.864737958887,6.44646594748606e-09,4.36586906293494e-06,0.146377444267225,"Non-significant",5.35992929338582,"LAMA5","Laminin subunit alpha-5","LAMA5_HUMAN"
0.328169941902134,11.6461354891459,10.973054341953,1.46629655414743e-07,4.76663683822245e-05,7.98387241985528,"MDR1_HUMAN",52,13.4507846939557,9.18500136395601e-09,5.74203892960542e-06,0.16009795665741,"Non-significant",5.24093386742023,"ABCB1","ATP-dependent translocase ABCB1","MDR1_HUMAN"
1.05246257781982,9.71860186258952,11.6394553331124,7.70495571723863e-08,4.05854665339618e-05,8.60734426742028,"PTPRF_HUMAN",57,12.1196718989889,3.070945690825e-08,1.67122684228348e-05,0.0167763233185134,"Non-significant",4.77696459758377,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN"
0.616160988807682,11.2166228294373,11.3471153322853,1.01778048059318e-07,4.1357509828904e-05,8.33841861994991,"MX1_HUMAN",43,12.1150035796317,3.08458258081115e-08,1.67122684228348e-05,-0.0274901390075737,"Non-significant",4.77696459758377,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-0.388709902763345,11.5527072747548,-11.0410142981011,1.37113275331341e-07,4.64299828590754e-05,8.04917995932748,"ACO12_HUMAN",27,-11.980661496358,3.50626830570882e-08,1.78096515753097e-05,0.0696094036102259,"Non-significant",4.74934457690961,"ACOT12","Acetyl-coenzyme A thioesterase","ACO12_HUMAN"
0.519951343536396,16.1668287118276,11.6009100864354,7.99024811792038e-08,4.05854665339618e-05,8.57228576842696,"STOM_HUMAN",17,11.7535576084987,4.36655993775348e-08,1.96447800123615e-05,0.0508204698562604,"Non-significant",4.70675283017375,"STOM","Stomatin","STOM_HUMAN"
-0.338795065879802,14.6563525994619,-11.1293624336951,1.25723932825234e-07,4.64299828590754e-05,8.13348183333328,"PUR6_HUMAN",21,-11.7394460672621,4.42702688584406e-08,1.96447800123615e-05,-0.190179467201199,"Non-significant",4.70675283017375,"PAICS","Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase","PUR6_HUMAN"
