"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_B1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
3.35873937606809,11.3308403491974,32.7482556971893,9.85618666615067e-10,7.99730986091465e-06,11.0917064597474,"TSP1_HUMAN",50,34.8275578461535,2.21485923933704e-10,1.79713678679807e-06,-0.0174527168273748,"Non-significant",5.74541886585667,"THBS1","Thrombospondin-1","TSP1_HUMAN"
2.13236212730406,10.7402726411819,27.0442035175793,4.42580965779685e-09,1.79555097816818e-05,10.3224527827542,"K1C19_HUMAN",26,28.5714470185772,1.15389957194874e-09,4.68137056339605e-06,-0.122152805328401,"Non-significant",5.32962698005,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
1.72443532943723,13.4500021934509,24.7545205746984,8.84607671395146e-09,2.26320819429656e-05,9.91411446125388,"FGL1_HUMAN",17,25.3220924327768,3.1479063740146e-09,8.51403743958483e-06,0.0616779327393004,"Non-significant",5.06986444439034,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-2.53735113143921,10.5694489479065,-24.0304223601236,1.11570529667072e-08,2.26320819429656e-05,9.76970600981697,"NUA4L_HUMAN",5,-21.3474365007946,1.29496289345674e-08,2.62683222937701e-05,-0.115322351455699,"Non-significant",4.58056766386506,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-0.823871612548821,16.5865559577942,-17.5529273611273,1.28414076127928e-07,0.000173658635617002,8.03009097041584,"ALDOC_HUMAN",31,-20.0935542481771,2.1342619524618e-08,3.463480296455e-05,0.218691110610951,"Non-significant",4.46048727869704,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
3.13802516460418,7.47468262910843,18.7910010773916,7.57476342554659e-08,0.00012292326086977,8.43834845619058,"MIME_HUMAN",7,18.5816499453702,4.06381660837001e-08,5.49563466005238e-05,0.058042764663675,"Non-significant",4.25998214610808,"OGN","Mimecan","MIME_HUMAN"
0.957820653915402,10.4837478399277,14.9762413307704,4.3620298205975e-07,0.000505621570918974,7.02313432714401,"LAMC1_HUMAN",52,16.8463711510323,9.08081200447424e-08,0.000105259583720434,0.039642095565771,"Non-significant",3.97773835185889,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
0.572072744369525,11.0476623773575,13.1023875792505,1.21034441624976e-06,0.000771641808452029,6.12456153714583,"MX1_HUMAN",43,16.214893176569,1.24090611001143e-07,0.000125858902207909,-0.194329738616945,"Non-significant",3.90011606066359,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
2.75219297409058,8.48369574546814,14.1206485942589,6.84305864686062e-07,0.000616939754006968,6.6326762156294,"AMY1B_HUMAN",12,14.4246915501301,3.21450640761739e-07,0.000268467438797918,0.0108168125152499,"Non-significant",3.57110838038495,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
0.453680515289301,13.2573277950287,10.2776299782607,7.50268033587419e-06,0.00215628566728844,4.41153349752403,"FAT1_HUMAN",153,14.244026215036,3.56008704525313e-07,0.000268467438797918,0.177005171775821,"Non-significant",3.57110838038495,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
