"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
1.14009459813437,10.1400826317923,30.8525743170382,2.02231112223108e-08,0.00016409032445783,8.47233446095599,"TSP1_HUMAN",50,44.0863704741544,5.01758098568631e-10,4.07126521178587e-06,0.0913297335307064,"Non-significant",5.39027060573568,"THBS1","Thrombospondin-1","TSP1_HUMAN"
0.817181428273486,11.6433853421893,18.9079993677668,5.05058836021352e-07,0.00136601579849242,6.64226922519343,"FLNC_HUMAN",102,26.3613898493621,1.99205603435431e-08,8.08177133137545e-05,0.0317338307698378,"Non-significant",4.09249344180809,"FLNC","Filamin-C","FLNC_HUMAN"
0.667548974355023,12.4943314961025,16.2695410978558,1.34476371628008e-06,0.00272785319847414,5.91415924827655,"LIMC1_HUMAN",62,22.3085378354506,6.54075149580501e-08,0.000176905525456539,0.144708553950016,"Non-significant",3.75225860215071,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN"
-1.01249345143636,12.1775072642735,-19.7244270505415,3.83102701462283e-07,0.00136601579849242,6.83391269258995,"APOA5_HUMAN",23,-21.1883207722777,9.43123694049705e-08,0.000191312641337983,0.0638127326964995,"Non-significant",3.71825633221033,"APOA5","Apolipoprotein A-V","APOA5_HUMAN"
0.709998210271211,12.6271401814052,15.6037034426379,1.76375686034314e-06,0.00286222463296485,5.69960510669728,"K2C7_HUMAN",37,18.6790524281531,2.30363809712148e-07,0.000373834390400873,0.214627901713051,"Non-significant",3.42732074877228,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
0.745686769485495,10.2748047964914,14.0976564363271,3.40063871164751e-06,0.0030658647229231,5.15877688339497,"TRFM_HUMAN",39,16.3097983471951,5.99490747717803e-07,0.000729443602885766,0.1560273170471,"Non-significant",3.13700828005884,"MELTF","Melanotransferrin","TRFM_HUMAN"
0.386679410934464,14.0015707015991,9.97558892311182,3.07986720186172e-05,0.00742439218735047,3.15423055459417,"FINC_HUMAN",120,15.7772908012662,7.56935638056579e-07,0.000729443602885766,0.197850386301674,"Non-significant",3.13700828005884,"FN1","Fibronectin","FINC_HUMAN"
0.729547739028929,10.5044384002686,14.784838974635,2.50064716563092e-06,0.0030658647229231,5.41570195800773,"ANXA3_HUMAN",21,15.632676541881,8.07465623219421e-07,0.000729443602885766,0.241990844408669,"Non-significant",3.13700828005884,"ANXA3","Annexin A3","ANXA3_HUMAN"
-0.356804052988689,15.1681961332049,-9.47360155871772,4.25379579103705e-05,0.0078443861473806,2.84048746643218,"CO3_HUMAN",111,-15.4429752970038,8.79660390979078e-07,0.000729443602885766,-0.0705419381459578,"Non-significant",3.13700828005884,"C3","Complement C3","CO3_HUMAN"
1.31604170799259,10.2381094523839,14.4614250269135,2.8849523338078e-06,0.0030658647229231,5.29701030864053,"K1C19_HUMAN",26,15.3090767399133,9.35034297033136e-07,0.000729443602885766,0.3627134958903,"Non-significant",3.13700828005884,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
-0.308874368667636,12.8569577080863,-8.77586974249333,6.83824547790657e-05,0.00907166798458975,2.37195837320325,"CO4B_HUMAN",83,-15.1236977223861,1.01835250255303e-06,0.000729443602885766,0.107247829437242,"Non-significant",3.13700828005884,"C4B_2","Complement C4-B","CO4B_HUMAN"
