"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_BM2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.33892369270325,13.8457363843918,-203.282736834488,3.13812590368977e-15,2.54627535825388e-11,22.3796749373565,"MX1_HUMAN",43,-256.213640598112,4.01621956026362e-17,3.2587605511979e-13,-0.0781188011169256,"Non-significant",12.4869475496649,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-4.22650408744813,12.7985109090805,-177.043697582219,8.79054823163433e-15,3.56632541757405e-11,22.0423793862724,"IFIT1_HUMAN",34,-221.019215838684,1.32906173616446e-16,5.3920034636192e-13,-0.0200982093811248,"Non-significant",12.2682498374983,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-3.70579624176027,12.7429225444794,-133.108163256325,7.36550828745544e-14,1.99212447481378e-10,21.1188127602815,"IFIT2_HUMAN",29,-152.052796281709,2.74777607585292e-15,7.43181835982353e-12,-0.0326290130615252,"Non-significant",11.1289049134238,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-2.5992696285248,14.6152130365372,-97.7068998410482,7.37376048707902e-13,8.54724179887988e-10,19.7383660169856,"STAT1_HUMAN",41,-121.437902245339,1.69649078602576e-14,3.44133155945326e-11,0.0668106079101243,"Non-significant",10.4632734827106,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-2.3204312324524,13.0813024044037,-88.5204448383427,1.53854575383991e-12,1.52504925169311e-09,19.2149194097429,"RIGI_HUMAN",56,-116.283247096632,2.41020080796671e-14,3.54972568325697e-11,-0.176107645034776,"Non-significant",10.4498052071846,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-3.70330858230587,13.0173399448395,-103.567005459521,4.77791971178593e-13,8.54724179887988e-10,20.0288561150981,"IFIT3_HUMAN",30,-114.39694561428,2.7513999569881e-14,3.54972568325697e-11,0.00284981727597433,"Non-significant",10.4498052071846,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-4.37889671325686,11.9456820487976,-101.648279291803,5.49215387746525e-13,8.54724179887988e-10,19.9371025786619,"OAS2_HUMAN",31,-110.492137849329,3.64465094461148e-14,3.54972568325697e-11,-0.0813302993774272,"Non-significant",10.4498052071846,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
1.8475112915039,14.8610329627991,80.664312206412,3.07408166962443e-12,2.49430986673326e-09,18.6881393944332,"FIBA_HUMAN",43,109.982489214238,3.78363834691563e-14,3.54972568325697e-11,-0.0447214841842642,"Non-significant",10.4498052071846,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-2.0858998298645,10.203620672226,-78.6278294774602,3.7188918638305e-12,2.74318987119279e-09,18.5376768725455,"HELZ2_HUMAN",117,-109.442839318754,3.93733437876666e-14,3.54972568325697e-11,0.0474414825439258,"Non-significant",10.4498052071846,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-3.29119110107422,11.7713990211487,-98.6806330822583,6.84867071515792e-13,8.54724179887988e-10,19.7887964047503,"OAS1_HUMAN",20,-101.619101411494,7.17708780562562e-14,5.82348904548463e-11,-0.531677126884465,"Up in D",10.2348167371396,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
