"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","DM_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
1.64380669593812,15.1618484769549,47.4418785021421,1.73815205608572e-09,2.92297871137584e-06,11.3392627761813,"FINC_HUMAN",120,77.4232428045975,1.17604583537255e-11,5.84103481092675e-08,0.00221570332844223,"Non-significant",7.23351020547947,"FN1","Fibronectin","FINC_HUMAN"
1.75074044863382,15.0771226882935,52.8049782466088,8.69379941196913e-10,2.78451807729828e-06,11.6583598062911,"FIBA_HUMAN",43,72.672559149339,1.842729012777e-11,5.84103481092675e-08,-0.0107067426045653,"Non-significant",7.23351020547947,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
2.16937534014382,12.0312083108085,55.3033852517219,6.44608720672364e-10,2.78451807729828e-06,11.7836770452834,"TSP1_HUMAN",50,71.0644336177036,2.15961356085534e-11,5.84103481092675e-08,0.00191148122150864,"Non-significant",7.23351020547947,"THBS1","Thrombospondin-1","TSP1_HUMAN"
1.77728684743247,15.507895060948,51.4429465824886,1.02952356814085e-09,2.78451807729828e-06,11.5842473456184,"FIBG_HUMAN",29,61.1347022746654,6.27751027116871e-11,1.27339295850657e-07,-0.0364172458648486,"Non-significant",6.89503755598796,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
2.01335310935976,13.8017488207136,47.1812314999102,1.8011946705545e-09,2.92297871137584e-06,11.3217385573394,"FGL1_HUMAN",17,46.4077159584045,4.42311447261459e-10,7.17783016615895e-07,-0.105912844339976,"Non-significant",6.14400682167464,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
1.47477889060976,14.7930291039603,35.5802261958533,1.11544321180952e-08,1.2929580315175e-05,10.2753503290684,"FIBB_HUMAN",38,42.6987507248322,7.97542147185082e-10,1.07854283037663e-06,-0.0131709575653005,"Non-significant",5.96716260380494,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-0.8125488758087,12.0236195155552,-24.5669293820021,1.21182301147001e-07,8.19394326255635e-05,8.47950383619955,"TENS1_HUMAN",76,-39.4815102447489,1.38804308271903e-09,1.58180032167301e-06,-0.0554882685343507,"Non-significant",5.8008483404773,"TNS1","Tensin-1","TENS1_HUMAN"
2.89618372917172,10.6249356951032,37.0809716775206,8.54319298226494e-09,1.15532446430163e-05,10.4467590954512,"TSP4_HUMAN",21,38.8362341116449,1.55957635856348e-09,1.58180032167301e-06,-0.192058245340982,"Non-significant",5.8008483404773,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-1.16744152704876,13.8862559454782,-29.7010418916595,3.57472041887547e-08,3.22280905319506e-05,9.45539958106929,"PLOD2_HUMAN",38,-36.2895183915179,2.51889270322208e-09,2.27092171043821e-06,0.0522480805714842,"Non-significant",5.64379783773568,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
-0.700269540150975,10.7712950025286,-21.2370573307527,3.08393258144818e-07,0.000177256868284474,7.66223533738848,"KANK1_HUMAN",51,-30.8970970858531,7.8424243941651e-09,6.36334315342557e-06,-0.356044332186377,"Non-significant",5.19631465610988,"KANK1","KN motif and ankyrin repeat domain-containing protein 1","KANK1_HUMAN"
2.58332935969035,7.9330061503819,34.8290264711654,1.28013680622013e-08,1.29837875570876e-05,10.184409630065,"CLC11_HUMAN",7,29.1589792007195,1.17961142391882e-08,8.70124281243391e-06,-0.237823247909517,"Non-significant",5.0604187119752,"CLEC11A","C-type lectin domain family 11 member A","CLC11_HUMAN"
