"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL_vs_HBV.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
1.91203975677488,15.0717567602794,59.9981266683479,9.21985904350475e-16,4.11227695539647e-12,23.3735017289427,"FINC_HUMAN",120,68.4506634260685,4.87607343735494e-17,3.96278488253836e-13,-0.0171334743499614,"Non-significant",12.4019995024481,"FN1","Fibronectin","FINC_HUMAN"
3.28200292587279,11.7807007630666,59.5142397978639,1.01200368042241e-15,4.11227695539647e-12,23.3302412965445,"TSP1_HUMAN",50,62.5724022805838,1.44102363497255e-16,5.85559954071096e-13,-0.0810465812683354,"Non-significant",12.2324286319507,"THBS1","Thrombospondin-1","TSP1_HUMAN"
1.78848004341127,15.4848865667979,53.8264452024168,3.21276304310275e-15,8.70337508376535e-12,22.7603081513084,"FIBG_HUMAN",29,57.64275289566,3.87749484040426e-16,1.05041335226551e-12,0.0448797941207868,"Non-significant",11.9786397663756,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
2.05111014842987,15.1073292891185,47.7374245267585,1.27633725333338e-14,2.5931982144601e-11,21.9977837475994,"FIBA_HUMAN",43,50.898820735666,1.73739021294783e-15,3.52994256515676e-12,-0.0294752120971893,"Non-significant",11.4522323608554,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
2.10212635993961,13.8001554807027,41.8235918863342,5.82340552930257e-14,9.46536334732841e-11,21.0562994460311,"FGL1_HUMAN",17,42.4800842630445,1.53136509335733e-14,2.48908082274301e-11,0.0153871774673622,"Non-significant",10.6039610012213,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
1.87864637374875,14.7708888053894,37.2573115317856,2.1906550671944e-13,2.96724228851482e-10,20.1497870165408,"FIBB_HUMAN",38,39.1728011635018,4.05646573244335e-14,5.49448283459451e-11,0.0971511602401751,"Non-significant",10.2600731790643,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
0.907739758491484,12.6722083886464,28.9565305616166,3.90064834574389e-12,4.52865272940865e-09,17.9317524003357,"LG3BP_HUMAN",20,29.8391764633716,1.05818667636421e-12,1.22855473125885e-09,0.0713040828704976,"Non-significant",8.9106054912358,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
1.88858997821808,8.9063340028127,26.1277777581575,1.25627807916259e-11,1.13441910548381e-08,16.9457133220071,"PGBM_HUMAN",106,27.2671737797533,3.10298318482255e-12,3.15224304288161e-09,0.172293424606321,"Non-significant",8.50138030510598,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
2.88061547279357,8.85103336970011,26.5236243362752,1.05895487005918e-11,1.07576577862137e-08,17.0924958336423,"COMP_HUMAN",5,25.6213348122079,6.51275682009912e-12,5.46114488470094e-09,-0.0120067596435494,"Non-significant",8.26271630143709,"COMP","Cartilage oligomeric matrix protein","COMP_HUMAN"
0.814138293266279,10.1826519171397,23.1545520981833,4.9425421149755e-11,3.65163997894599e-08,15.7381852423492,"AGRIN_HUMAN",63,25.554034004067,6.71975499532538e-12,5.46114488470094e-09,0.0304565429687473,"Non-significant",8.26271630143709,"AGRN","Agrin","AGRIN_HUMAN"
