"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_B2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
0.545359611511225,11.9480640888214,17.9579694831227,1.48378423046526e-07,0.00055721792292609,7.65151924509793,"TENS1_HUMAN",76,26.4478785197833,2.62109820010901e-09,1.54064956977343e-05,-0.160913467407223,"Non-significant",4.81229613300166,"TNS1","Tensin-1","TENS1_HUMAN"
1.02227807044983,9.83476054668426,23.4444137889012,1.97517469948176e-08,0.00016026567511595,8.94768684790353,"PLIN2_HUMAN",25,25.2798258475517,3.79750941526603e-09,1.54064956977343e-05,-0.116330623626748,"Non-significant",4.81229613300166,"PLIN2","Perilipin-2","PLIN2_HUMAN"
0.823232173919678,11.0987048149109,16.0595567721212,3.43368204908855e-07,0.00055721792292609,7.02965372595233,"MX1_HUMAN",43,17.900434407182,6.35524996817864e-08,0.000164287485285514,-0.158929347991926,"Non-significant",3.78439551799189,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
0.752492904663075,13.7621703147888,15.4947744326157,4.48843802007334e-07,0.000606986434914585,6.82164561148353,"PLOD2_HUMAN",38,17.2654020990143,8.51642204945539e-08,0.000164287485285514,-0.0577454566955513,"Non-significant",3.78439551799189,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
-0.759029150009198,11.7643221616745,-16.5196325664217,2.77858852507842e-07,0.00055721792292609,7.19085684848757,"ASM3A_HUMAN",18,-16.8609434502301,1.03172599253592e-07,0.000164287485285514,0.0546166896819749,"Non-significant",3.78439551799189,"SMPDL3A","Cyclic GMP-AMP phosphodiesterase SMPDL3A","ASM3A_HUMAN"
0.742060899734472,10.1770113706589,15.0684667980328,5.52829626562646e-07,0.000640808512847044,6.65680416362757,"VLDLR_HUMAN",32,16.5235550735781,1.21484460403387e-07,0.000164287485285514,-0.0718090534210241,"Non-significant",3.78439551799189,"VLDLR","Very low-density lipoprotein receptor","VLDLR_HUMAN"
0.641031503677377,9.64897119998932,14.2459417560613,8.3987391774596e-07,0.00085184212107384,6.31822736431689,"FIL1L_HUMAN",39,16.1121631906109,1.48908806121425e-07,0.00017260657898132,-0.113124370574972,"Non-significant",3.76294265496594,"FILIP1L","Filamin A-interacting protein 1-like","FIL1L_HUMAN"
0.287856578826876,10.6893656253815,9.32497787549928,1.85377886881634e-05,0.00521834033034874,3.542155033549,"SYNE2_HUMAN",160,14.7864184410731,2.97173839668012e-07,0.000301408566883281,-0.0802674293518102,"Non-significant",3.52084440796943,"SYNE2","Nesprin-2","SYNE2_HUMAN"
0.433997154235849,10.688178062439,11.5779019144909,3.88007487602343e-06,0.00286208432218674,4.99894405739448,"KANK1_HUMAN",51,14.1371588784778,4.25874298947262e-07,0.000349257605220233,-0.0492072105407502,"Non-significant",3.45685412817951,"KANK1","KN motif and ankyrin repeat domain-containing protein 1","KANK1_HUMAN"
1.32339811325073,10.1007173061371,16.5128673369368,2.7871375621818e-07,0.00055721792292609,7.18853786580275,"NUA4L_HUMAN",5,14.1183356628772,4.30438261301742e-07,0.000349257605220233,0.431983351707455,"Non-significant",3.45685412817951,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
