"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL_vs_HDV","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
5.70934939384463,13.6605235338211,190.325908743969,4.46488317872039e-15,3.62861055934606e-11,21.5592841704112,"MX1_HUMAN",43,237.20512304919,1.11687154869463e-16,9.07681507624126e-13,0.0362634658813512,"Non-significant",12.0420665124323,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
3.94321656227113,12.940154671669,152.392142678117,2.35931843470306e-14,9.5870904594159e-11,21.0438333275102,"IFIT1_HUMAN",34,194.975920624533,5.35847495529548e-16,2.17741629808432e-12,-0.060462474822998,"Non-significant",11.6620585306848,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
3.59526300430297,13.0713627338409,110.822284025402,2.56234573089008e-13,6.94139458498122e-10,19.9835485098987,"IFIT3_HUMAN",30,127.192739168591,1.63209907859285e-14,4.42135640390802e-11,0.064860343933125,"Non-significant",10.3544444753651,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
2.67435240745543,14.5776716470719,94.9894056831084,8.12556110969461e-13,1.10060725230814e-09,19.3194877735638,"STAT1_HUMAN",41,121.165357490827,2.40623780327139e-14,4.88887365679666e-11,-0.0629732608795006,"Non-significant",10.3107911860671,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
3.57833242416385,12.8066544532776,102.715583224628,4.52507225628782e-13,8.1662769625797e-10,19.6688888541097,"IFIT2_HUMAN",29,115.512822201839,3.52565132803556e-14,5.730593668589e-11,0.15540981292725,"Non-significant",10.2418003843787,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
2.44132399559023,13.0208560228348,82.6615741716155,2.2998979338327e-12,2.3364088135323e-09,18.6354372987111,"RIGI_HUMAN",56,107.567479622714,6.23289016012642e-14,7.97033963377962e-11,0.0865969657898003,"Non-significant",10.0985231719623,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
3.23408198356627,11.7999535799027,101.290028944823,5.02416449032835e-13,8.1662769625797e-10,19.6083378875528,"OAS1_HUMAN",20,106.275534571756,6.86506428404791e-14,7.97033963377962e-11,0.138465881347649,"Non-significant",10.0985231719623,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
2.28754544258123,11.4991124868393,75.59111318312,4.49048727915145e-12,3.64941901176639e-09,18.1542952409689,"DDX60_HUMAN",75,99.8636548026731,1.12902791771096e-13,1.14695123590462e-10,0.174144148826597,"Non-significant",9.94045504629031,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
3.06177163124083,10.1120625734329,86.5310616590018,1.63310571420069e-12,1.896035734187e-09,18.8693159999723,"CMPK2_HUMAN",26,95.3639772201519,1.63218146180673e-13,1.47385986001147e-10,0.0018918514252011,"Non-significant",9.83154380882236,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
4.42366051673892,11.9233001470566,75.9241484775949,4.34518670310864e-12,3.64941901176639e-09,18.1786761551575,"OAS2_HUMAN",31,80.9901818316827,6.02356141673391e-13,4.89534836337965e-10,0.55960261821747,"Up in HDV",9.31021639744405,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
2.55091452598572,10.2552911043167,63.0211812446505,1.75036011055299e-11,1.01608404417601e-08,17.083721533575,"IFIH1_HUMAN",45,71.7664519711558,1.58277649508284e-12,1.16938405232166e-09,0.229958772659252,"Non-significant",8.93204283322486,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
3.44312214851383,14.2555907964706,64.6397617568407,1.44798182329956e-11,9.0521140599658e-09,17.2399522062595,"OAS3_HUMAN",45,70.487647376475,1.82725221454878e-12,1.23750656230316e-09,0.14424848556515,"Non-significant",8.90745248939278,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
3.95936155319213,14.5111000537872,64.8090693153965,1.41992909061243e-11,9.0521140599658e-09,17.2559451170505,"ISG15_HUMAN",15,65.4422002218205,3.30702164938578e-12,1.93250958641389e-09,0.132632493972778,"Non-significant",8.71387834304155,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
2.48116159439085,9.70864343643187,65.9170761137464,1.25084432162766e-11,9.0521140599658e-09,17.3590243616344,"IRF9_HUMAN",16,65.387839321785,3.32904321518328e-12,1.93250958641389e-09,0.102893590927151,"Non-significant",8.71387834304155,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
3.24916648864745,10.7485806941986,55.3797994912135,4.60073404992321e-11,2.49267770824839e-08,16.2555807530922,"ISG20_HUMAN",11,52.9681717607177,1.78914824188321e-11,9.69360517452321e-09,-0.194225072860725,"Non-significant",8.01351467328851,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
1.79403734207157,10.9788105487824,45.7685898155309,1.91123925973073e-10,9.13684791990095e-08,14.9488097554532,"SLFN5_HUMAN",37,51.7248308120082,2.16250581340145e-11,1.0984177965946e-08,0.26176047325135,"Non-significant",7.95923243926345,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
1.58408093452452,11.8646024465561,41.6766135620095,3.8454200898898e-10,1.55391919289366e-07,14.2754906940597,"SAMH1_HUMAN",38,47.5080018975434,4.26139540465066e-11,1.978589574797e-08,0.231641769409178,"Non-significant",7.70364428355339,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
1.13735795021057,11.9248501062393,37.8775078901906,7.84488064547107e-10,2.65647270857264e-07,13.5707509593467,"PML_HUMAN",44,47.3416772291268,4.38225819445626e-11,1.978589574797e-08,-0.0841853618621489,"Non-significant",7.70364428355339,"PML","Protein PML","PML_HUMAN"
1.41803073883058,11.1230869293213,41.4914656133803,3.97532661707309e-10,1.55391919289366e-07,14.2430369450319,"TAP1_HUMAN",24,45.2456571053694,6.28788787030241e-11,2.68956130115514e-08,-0.0829420089721671,"Non-significant",7.57031855272067,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
2.1395936012268,10.1767737865448,39.8148091246058,5.40785750188443e-10,1.9108546920789e-07,13.9405865137208,"HELZ2_HUMAN",117,44.2344816635604,7.5292380739662e-11,3.05950589135617e-08,0.070568323135376,"Non-significant",7.5143487061931,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
