"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-2.09322714805605,13.4453514814377,-46.7532385534164,1.11920721594191e-10,9.08124735015266e-07,12.6261879668363,"FGL1_HUMAN",17,-47.3766627107372,2.71004234035721e-11,1.59702115869933e-07,0.0698623657226491,"Non-significant",6.79668932991944,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-3.27879238128663,11.2320950031281,-42.3765323241299,2.36724187633986e-10,9.60390029231083e-07,12.3284614687839,"TSP1_HUMAN",50,-45.2610230023043,3.93645836504641e-11,1.59702115869933e-07,0.117733001709023,"Non-significant",6.79668932991944,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-0.863282918930024,10.5976897478104,-27.8647039067286,5.73366905015541e-09,1.55076635576537e-05,10.6146474637657,"LAMC1_HUMAN",52,-36.7192992436953,2.17064705506185e-10,5.87087673492396e-07,0.0320954322814764,"Non-significant",6.23129703798451,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
-0.851949453353894,10.0658677816391,-22.0262391032453,3.39386117948141e-08,4.58963160171869e-05,9.34205631083741,"AGRIN_HUMAN",63,-26.628901292132,2.96549730081209e-09,4.83611570979007e-06,0.0575640201568763,"Non-significant",5.31550331667765,"AGRN","Agrin","AGRIN_HUMAN"
-0.944702625274653,12.5393998622895,-25.437668399944,1.14343878485349e-08,1.85557246006024e-05,10.1463184610687,"LG3BP_HUMAN",20,-26.6127817164801,2.98010581081469e-09,4.83611570979007e-06,-0.1170074939728,"Non-significant",5.31550331667765,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-0.704472064971924,11.1580848693848,-20.9569277253139,4.9382051109749e-08,5.7240851814929e-05,9.04710881126287,"MX1_HUMAN",43,-25.7645444025526,3.87576675500046e-09,5.24132857501229e-06,-0.0954844951629497,"Non-significant",5.28055861384409,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-1.85625886917113,11.8662700653076,-26.5834528201992,8.19116180353706e-09,1.66157717184749e-05,10.3768322577745,"Q15194_HBV",5,-21.7895880298093,1.50423186124951e-08,1.74361961745408e-05,-0.0478887557983256,"Non-significant",4.7585482533822,"PreC-C","Capsid protein","Q15194_HBV"
-2.13442707061767,8.71448755264282,-20.0519049781287,6.88403905301542e-08,6.98213660952089e-05,8.77870949395092,"PGBM_HUMAN",106,-21.1927839507253,1.88216647594702e-08,1.90898734822926e-05,-0.0439407825469926,"Non-significant",4.71919694987371,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
-0.588454723358147,13.4453217983246,-15.6558109940645,4.38671915913534e-07,0.000245412775295674,7.17199931001892,"APOB_HUMAN",239,-20.0288038045743,2.96747440444511e-08,2.67440612060103e-05,0.0291452407836736,"Non-significant",4.57277264249528,"APOB","Apolipoprotein B-100","APOB_HUMAN"
-0.427311658859301,13.3105129003525,-13.5936421067048,1.24916171732821e-06,0.000482652294019099,6.19361906795865,"FAT1_HUMAN",153,-19.5551279095824,3.59785352169502e-08,2.67440612060103e-05,-0.349527955055235,"Non-significant",4.57277264249528,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
