"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
3.23514175415043,12.2842292785645,116.362780398655,2.14456560513603e-13,1.74010053200738e-09,19.0179992695252,"TSP1_HUMAN",50,145.480669125703,3.92972304430017e-15,3.18857727814516e-11,0.0237288475036479,"Non-significant",10.4964030530172,"THBS1","Thrombospondin-1","TSP1_HUMAN"
1.84509992599487,12.7176332473755,64.3594645395273,1.74464462920379e-11,4.71868217378652e-08,16.6528130712457,"ANXA1_HUMAN",23,69.0887715223631,1.62855966168677e-12,6.18821482490322e-09,-0.0775804519653249,"Non-significant",8.20843461810606,"ANXA1","Annexin A1","ANXA1_HUMAN"
1.67090582847592,15.4312735795975,58.2254093170417,3.66887541613095e-11,7.44231378162164e-08,16.1115337270187,"IFIT2_HUMAN",29,66.1446883988959,2.31606419064004e-12,6.18821482490322e-09,0.0789551734924245,"Non-significant",8.20843461810606,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
2.02235913276672,13.7157338857651,65.2690156826233,1.57205592739507e-11,4.71868217378652e-08,16.7255370088667,"FGL1_HUMAN",17,63.9291807761621,3.05063585156678e-12,6.18821482490322e-09,0.146418333053576,"Non-significant",8.20843461810606,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
1.07020664215088,15.44686627388,47.6580517528172,1.62032545709655e-10,1.63550118513571e-07,14.9203146574257,"IFIT1_HUMAN",34,60.9832122838211,4.46724571927525e-12,6.67169637737297e-09,0.315657615661625,"Non-significant",8.175763726254,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
1.2037830352783,14.7265508174896,46.9373141387853,1.81408807816384e-10,1.63550118513571e-07,14.8242263326253,"VIME_HUMAN",46,60.238919274184,4.93347033081560e-12,6.67169637737297e-09,0.132511377334575,"Non-significant",8.175763726254,"VIM","Vimentin","VIME_HUMAN"
1.98752236366275,15.2939018011093,51.515013900109,9.09941888311621e-11,1.25597110222106e-07,15.3994683552951,"FIBG_HUMAN",29,56.2494504249662,8.58383098537298e-12,9.52330651556186e-09,0.0584750175476003,"Non-significant",8.02121223731486,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-0.855885744094872,10.3023253679276,-35.7422191054961,1.36432794783161e-09,5.27150331843126e-07,12.99682467009,"SYNE2_HUMAN",160,-55.6284545197178,9.38950605428825e-12,9.52330651556186e-09,-0.169419646263122,"Non-significant",8.02121223731486,"SYNE2","Nesprin-2","SYNE2_HUMAN"
3.77539587020875,10.9673764705658,51.3731372533856,9.28743728534182e-11,1.25597110222106e-07,15.3828281678482,"TSP4_HUMAN",21,53.6301136536033,1.26189651490735e-11,1.13766981355091e-08,0.182672262191749,"Non-significant",7.94398376514664,"THBS4","Thrombospondin-4","TSP4_HUMAN"
1.94063830375675,14.7595554590225,47.5452216123835,1.64904690026435e-10,1.63550118513571e-07,14.9054158997535,"FIBB_HUMAN",38,52.7450839819956,1.44347624816406e-11,1.17123662776032e-08,0.122558951377868,"Non-significant",7.93135535450165,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
2.158447265625,15.0165009498596,45.8087058246243,2.17270318010138e-10,1.76293136033426e-07,14.6692800905197,"FIBA_HUMAN",43,50.2807024466163,2.1245694737567e-11,1.56715970091471e-08,-0.00342226028440074,"Non-significant",7.80488674463417,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-0.948235273361172,11.3398674726486,-36.8192029918907,1.09533847718712e-09,4.93754244660903e-07,13.2049230553491,"DPYD_HUMAN",55,-48.4513551279996,2.86585603681e-11,1.93779632355636e-08,0.0873670578003001,"Non-significant",7.71269187238539,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN"
-0.651428699493376,15.1751842498779,-30.6155536913404,4.28332933655397e-09,9.95962249223281e-07,11.882574851925,"TRFE_HUMAN",51,-46.2661495439512,4.15979900540766e-11,2.59635454845214e-08,-0.0284874439239502,"Non-significant",7.58563600219428,"TF","Serotransferrin","TRFE_HUMAN"
0.874258518218973,15.9043786525726,37.4248392249105,9.70786144922941e-10,4.63350516464985e-07,13.3184457138561,"APOE_HUMAN",29,44.6642521426156,5.52831547203901e-11,3.20405369572318e-08,0.109790563583351,"Non-significant",7.49430021432286,"APOE","Apolipoprotein E","APOE_HUMAN"
