"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04610","hsa04610","Complement and coagulation cascades","6/19","86/8753",1.84689182596315e-08,8.68039158202679e-07,6.02669964261659e-07,"2243/2244/2266/727/730/5648",6
"hsa05171","hsa05171","Coronavirus disease - COVID-19","6/19","233/8753",6.76905087524552e-06,0.00015907269556827,0.000110442409017164,"2243/2244/2266/727/730/5648",6
"hsa04611","hsa04611","Platelet activation","4/19","124/8753",0.000126135919907514,0.00197612941188438,0.00137200474285366,"2243/2244/2266/83706",4
"hsa04613","hsa04613","Neutrophil extracellular trap formation","4/19","191/8753",0.00065859232629127,0.00773845983392242,0.00537272687237615,"2243/2244/2266/727",4
"hsa04512","hsa04512","ECM-receptor interaction","3/19","89/8753",0.000875266458339361,0.00822750470838999,0.00571226530705688,"7057/2335/1291",3
"hsa05150","hsa05150","Staphylococcus aureus infection","3/19","96/8753",0.00109068638161314,0.00854370998930294,0.00593180312807147,"2266/727/5648",3
"hsa04979","hsa04979","Cholesterol metabolism","2/19","51/8753",0.0053425145196581,0.0358711689177044,0.0249049549036694,"348/335",2
"hsa04510","hsa04510","Focal adhesion","3/19","202/8753",0.00893339230753002,0.0472870745305802,0.0328308916113771,"7057/2335/1291",3
"hsa05205","hsa05205","Proteoglycans in cancer","3/19","203/8753",0.00905497171862174,0.0472870745305802,0.0328308916113771,"4060/7057/2335",3
"hsa03320","hsa03320","PPAR signaling pathway","2/19","75/8753",0.0112734220354209,0.0492129945550212,0.0341680365331614,"116519/335",2
"hsa04810","hsa04810","Regulation of actin cytoskeleton","3/19","229/8753",0.0125650198863884,0.0492129945550212,0.0341680365331614,"2335/727/730",3
"hsa04820","hsa04820","Cytoskeleton in muscle cells","3/19","229/8753",0.0125650198863884,0.0492129945550212,0.0341680365331614,"7057/2335/1291",3
