"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9651496","R-HSA-9651496","Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)","1/2","16/10955",0.00291904063855453,0.0213852651970719,0.00166746707189644,"3818",1
"R-HSA-9671793","R-HSA-9671793","Diseases of hemostasis","1/2","16/10955",0.00291904063855453,0.0213852651970719,0.00166746707189644,"3818",1
"R-HSA-140837","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation","1/2","23/10955",0.00419477926321854,0.0213852651970719,0.00166746707189644,"3818",1
"R-HSA-917977","R-HSA-917977","Transferrin endocytosis and recycling","1/2","31/10955",0.00565176627175068,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-1592389","R-HSA-1592389","Activation of Matrix Metalloproteinases","1/2","33/10955",0.00601584635870345,0.0213852651970719,0.00166746707189644,"3818",1
"R-HSA-9013407","R-HSA-9013407","RHOH GTPase cycle","1/2","38/10955",0.00692575491201897,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-140877","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","1/2","39/10955",0.00710768662312788,0.0213852651970719,0.00166746707189644,"3818",1
"R-HSA-9696273","R-HSA-9696273","RND1 GTPase cycle","1/2","42/10955",0.00765338175734609,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-9696270","R-HSA-9696270","RND2 GTPase cycle","1/2","43/10955",0.00783524680238279,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-9013409","R-HSA-9013409","RHOJ GTPase cycle","1/2","55/10955",0.0100163273544144,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-432722","R-HSA-432722","Golgi Associated Vesicle Biogenesis","1/2","56/10955",0.0101979757347164,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-917937","R-HSA-917937","Iron uptake and transport","1/2","58/10955",0.0105612224957664,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-9013406","R-HSA-9013406","RHOQ GTPase cycle","1/2","59/10955",0.0107428208765139,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-9013026","R-HSA-9013026","RHOB GTPase cycle","1/2","70/10955",0.0127393030745477,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-199992","R-HSA-199992","trans-Golgi Network Vesicle Budding","1/2","72/10955",0.0131020831730918,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-9013106","R-HSA-9013106","RHOC GTPase cycle","1/2","74/10955",0.0134647966055638,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-9013408","R-HSA-9013408","RHOG GTPase cycle","1/2","74/10955",0.0134647966055638,0.0213852651970719,0.00166746707189644,"7037",1
"R-HSA-9013404","R-HSA-9013404","RAC2 GTPase cycle","1/2","88/10955",0.0160019239828445,0.0240028859742668,0.00187157005647304,"7037",1
"R-HSA-9013423","R-HSA-9013423","RAC3 GTPase cycle","1/2","94/10955",0.0170882642963102,0.0242833229473881,0.00189343648712578,"7037",1
"R-HSA-8856825","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis","1/2","106/10955",0.0192591449392909,0.0259998456680428,0.0020272784146622,"7037",1
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","1/2","140/10955",0.0253969402106166,0.0312944231319733,0.00244011096545601,"3818",1
"R-HSA-8856828","R-HSA-8856828","Clathrin-mediated endocytosis","1/2","146/10955",0.0264780805704482,0.0312944231319733,0.00244011096545601,"7037",1
"R-HSA-8980692","R-HSA-8980692","RHOA GTPase cycle","1/2","147/10955",0.0266582122976069,0.0312944231319733,0.00244011096545601,"7037",1
"R-HSA-9013148","R-HSA-9013148","CDC42 GTPase cycle","1/2","155/10955",0.0280986661202272,0.0316109993852556,0.00246479527370414,"7037",1
"R-HSA-9013149","R-HSA-9013149","RAC1 GTPase cycle","1/2","185/10955",0.0334908680397601,0.0361701374829409,0.00282028362440085,"7037",1
