"Protein.Group"	"peptides"	"Protein.Ids"	"Protein.Names"	"Genes"	"First.Protein.Description"	"B_1"	"B_2"	"B_3"	"B_4"	"BD_1"	"BD_2"	"BD_3"	"BD_4"	"BDM_1"	"BDM_2"	"BDM_3"	"BDM_4"	"BM_1"	"BM_2"	"BM_3"	"BM_4"	"C_1"	"C_2"	"C_3"	"C_4"	"CM_1"	"CM_2"	"CM_3"	"CM_4"	"D_1"	"D_2"	"D_3"	"D_4"	"DM_1"	"DM_2"	"DM_3"	"DM_4"	"I_1"	"I_2"	"I_3"	"I_4"
"1"	"Q9Y2G9"	1	"Q9Y2G9;K7ES28"	"SBNO2_HUMAN"	"SBNO2"	"Protein strawberry notch homolog 2"	NA	NA	NA	13.806650309081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.8886742893187	16.119761842313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.3424080720851	NA	NA	NA	NA	NA
"2"	"Q9Y274"	1	"Q9Y274;C9J0E2;C9JXM2;C9JWJ3;C9J480;A0A087WXB8"	"SIA10_HUMAN"	"ST3GAL6"	"Type 2 lactosamine alpha-2,3-sialyltransferase"	13.7887489152177	NA	NA	NA	NA	NA	13.7846757376946	NA	NA	14.077316445881	NA	NA	13.1652995929204	NA	NA	NA	14.2000020046968	14.3232729500587	NA	NA	NA	NA	14.4917341191766	NA	NA	NA	13.8373322686472	14.3134003386109	13.0692802458362	14.4896033938721	NA	NA	NA	13.5722502021729	13.6815129545941	NA
"3"	"Q9UQD0"	1	"Q9UQD0;F8W0Q0;A0A590UK68;A0A590UK43;A0A1W2PQI5"	"SCN8A_HUMAN"	"SCN8A"	"Sodium channel protein type 8 subunit alpha"	NA	NA	NA	NA	NA	14.1154907642974	15.9838397693495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"Q9UMW8"	1	"Q9UMW8;Q3LFD5;H7BXK0"	"UBP18_HUMAN"	"USP18"	"Ubl carboxyl-terminal hydrolase 18"	NA	NA	NA	NA	15.1770768883757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.323872801688	16.0254726797618	15.7156805214738	16.3812843865739	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"Q9UMN6"	1	"Q9UMN6;A0A669KBI7"	"KMT2B_HUMAN"	"KMT2B"	"Histone-lysine N-methyltransferase 2B"	14.0422578690186	NA	NA	14.1754559876127	14.4470186341906	14.9097712293808	NA	14.4275223706825	NA	NA	NA	NA	14.5978256068909	14.2792841096993	NA	NA	NA	14.4564699287699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.4906754167089	14.3776579134234	NA	14.1128874285862	NA	14.2651535094883	14.6310235451486
"6"	"Q9UK73"	1	"Q9UK73"	"FEM1B_HUMAN"	"FEM1B"	"Protein fem-1 homolog B"	NA	NA	NA	NA	16.0372595187899	16.4071266616635	NA	15.9218572044848	NA	NA	NA	NA	16.0287758942511	NA	NA	NA	NA	NA	NA	NA	NA	15.7021591546238	15.5948844028225	NA	15.9739955056248	15.719067901123	NA	15.8764234177578	16.1048710349198	15.9642257833615	NA	NA	15.7632071787475	NA	16.1254719940224	15.9734888563371
"7"	"Q9UGQ2"	1	"Q9UGQ2"	"FLOWR_HUMAN"	"CACFD1"	"Calcium channel flower homolog"	NA	NA	15.2013811591377	NA	NA	NA	14.5639231577864	NA	NA	NA	15.4601838934731	15.1563675411291	NA	14.780462873632	NA	NA	NA	NA	15.2680631180066	15.5507497909948	14.4527174262584	15.1344744520373	15.335310094175	NA	15.6119325378439	NA	15.0261170653791	NA	15.0357055194823	NA	NA	NA	NA	15.0158331642693	15.0429161712855	NA
"8"	"Q9UGM3"	1	"Q9UGM3;A0A590UJ76;A0A590UJF8;A0A590UK99;A0A590UJZ9;A0A590UIX5"	"DMBT1_HUMAN"	"DMBT1"	"Deleted in malignant brain tumors 1 protein"	NA	NA	NA	NA	15.1510601553323	NA	16.8658782289067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.2665303576096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"Q9P2N6"	1	"Q9P2N6;F8WD76;C9J491;F8WB58;M0R3B6;A0A590UJ53;F8WEN2"	"KANL3_HUMAN"	"KANSL3"	"KAT8 regulatory NSL complex subunit 3"	14.8194955552053	14.4984815067433	NA	NA	NA	14.4907756821969	13.6372927997023	NA	NA	13.9893501467576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.8745779819536	NA	NA	NA	NA	NA	NA	NA	14.9615536963727	14.7338891928473	13.602385705903
"10"	"Q9NZT1"	1	"Q9NZT1"	"CALL5_HUMAN"	"CALML5"	"Calmodulin-like protein 5"	15.5266153836383	NA	NA	NA	16.7092184664216	NA	15.6533209390386	NA	15.9140160016842	NA	14.7011277386653	14.9903433292383	NA	NA	15.5868573759769	NA	NA	NA	NA	NA	17.2495394116246	NA	NA	NA	NA	NA	16.1864760289016	NA	NA	NA	NA	NA	15.4860210768084	NA	NA	NA
"11"	"Q9NYS0"	1	"Q9NYS0;G5E9P3"	"KBRS1_HUMAN"	"NKIRAS1"	"NF-kappa-B inhibitor-interacting Ras-like protein 1"	NA	NA	NA	NA	NA	13.8976564112511	NA	NA	NA	NA	NA	NA	NA	14.5859425147589	NA	NA	NA	NA	NA	NA	13.415636149853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	"Q9NYA4"	1	"Q9NYA4;J3QR65"	"MTMR4_HUMAN"	"MTMR4"	"Myotubularin-related protein 4"	NA	NA	NA	NA	NA	NA	NA	NA	14.1756976796817	NA	14.214850318518	NA	NA	NA	14.4102724610688	NA	NA	NA	14.5670350892686	NA	NA	NA	14.148214394609	NA	13.3484377051736	13.5546967619983	NA	NA	NA	NA	NA	NA	NA	14.4338722825799	13.865307976514	NA
"13"	"Q9NX76"	1	"Q9NX76"	"CKLF6_HUMAN"	"CMTM6"	"CKLF-like MARVEL transmembrane domain-containing protein 6"	NA	NA	NA	NA	NA	17.3561854294265	17.1345165660594	NA	NA	NA	16.9467007086567	17.0778796930574	NA	NA	NA	NA	NA	17.1996723448364	NA	NA	NA	NA	NA	NA	17.0949951650516	17.1222618038276	NA	NA	17.1349576866913	17.1102487957182	NA	17.015959445073	NA	17.1360498822258	17.1374514902423	17.0536289652409
"14"	"Q9NUM3"	1	"Q9NUM3"	"S39A9_HUMAN"	"SLC39A9"	"Zinc transporter ZIP9"	NA	NA	NA	14.7597529762265	NA	16.0655865316046	NA	NA	NA	NA	NA	NA	NA	NA	14.8110133723808	NA	15.7712237885935	NA	NA	NA	NA	NA	15.4870423626576	NA	13.7191748823281	NA	NA	NA	NA	13.5545888516776	NA	NA	NA	NA	NA	15.1279500015807
"15"	"Q9NSB2"	10	"KRHB4_HUMAN;Q9NSB2"	"KRT84_HUMAN"	"KRT84"	"Keratin, type II cuticular Hb4"	NA	NA	NA	NA	21.1269161676464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.9239034014564	NA	NA	NA
"16"	"Q9NS91"	2	"Q9NS91;F8WE49;C9J0Q4"	"RAD18_HUMAN"	"RAD18"	"E3 ubiquitin-protein ligase RAD18"	NA	NA	NA	NA	19.244607726453	NA	NA	NA	NA	NA	NA	NA	19.1655400482285	NA	NA	NA	19.1329690713803	NA	NA	19.5830460295678	NA	NA	19.2467498750518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.5352753766208	19.6151410700316	NA
"17"	"Q9NP55"	5	"Q9NP55"	"BPIA1_HUMAN"	"BPIFA1"	"BPI fold-containing family A member 1"	NA	17.3349541024028	NA	16.6109383160325	17.3232307223662	NA	NA	17.9599227156513	NA	NA	16.4248879807975	NA	NA	17.1066651686143	NA	NA	NA	17.1567743863986	17.4819649411612	19.8676150823612	NA	NA	17.4572285594777	NA	NA	17.1183125136852	NA	NA	NA	16.1025150218869	NA	NA	17.0539788958675	16.734431785781	NA	NA
"18"	"Q9H9L4"	1	"Q9H9L4;F8VX10;H0YHR2;H0YIQ8;F8VXI8"	"KANL2_HUMAN"	"KANSL2"	"KAT8 regulatory NSL complex subunit 2"	NA	15.271404665274	NA	15.4357451280958	NA	NA	15.1544423582905	NA	15.5764489167194	NA	NA	NA	NA	NA	15.5299490210142	14.4133304218258	NA	NA	NA	NA	NA	NA	15.4141269422157	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.6876435938885	NA	NA	15.63491312404
"19"	"Q9H0K1"	1	"Q9H0K1"	"SIK2_HUMAN"	"SIK2"	"Serine/threonine-protein kinase SIK2"	NA	NA	17.4945196788854	NA	17.5729074273265	NA	NA	NA	NA	NA	NA	NA	NA	17.4650880629296	NA	17.7414735699463	NA	NA	NA	NA	NA	NA	17.6254876851615	17.8658299111734	17.4377439460895	NA	NA	NA	17.7071029489956	17.7270828571424	NA	17.6801671953135	17.6431656724307	17.4065787208101	17.3161400841221	17.6648638992498
"20"	"Q9H0D2"	1	"Q9H0D2;A0A075B6F0;M0R167;H7BXG6"	"ZN541_HUMAN"	"ZNF541"	"Zinc finger protein 541"	NA	14.6874139594052	14.1294520728646	NA	NA	NA	NA	NA	NA	15.1095572670432	NA	NA	15.0882706502432	NA	NA	NA	15.5042417445048	NA	15.2355468253679	NA	NA	NA	NA	NA	15.637451305271	14.9261755180427	15.4156394505462	NA	NA	NA	15.2981306042546	NA	14.8773512429756	NA	15.0851902661945	NA
"21"	"Q9BYT3"	1	"Q9BYT3;A0A0C4DH60;F8WAK5;B4DDH2"	"STK33_HUMAN"	"STK33"	"Serine/threonine-protein kinase 33"	NA	NA	NA	NA	14.4556547180619	NA	14.0363367652669	14.6593046955716	NA	14.706409678252	14.2414320564616	NA	NA	NA	NA	NA	NA	NA	14.4425483070408	14.0365428265356	NA	NA	NA	NA	14.1567704369961	NA	NA	NA	NA	NA	NA	14.2536923957966	NA	NA	NA	NA
"22"	"Q9BY27"	1	"Q9BY27;B5MCQ4;F8WCX1"	"DGC6L_HUMAN"	"DGCR6L"	"Protein DGCR6L"	16.0731938811427	NA	NA	15.9499087626179	16.1182171921127	15.7104620739792	NA	NA	NA	15.8439136925836	NA	NA	15.9149036243023	NA	16.0928913139068	NA	NA	NA	NA	NA	NA	NA	15.91032183566	NA	16.0810006836346	NA	NA	16.3405820878111	NA	NA	NA	NA	15.9975764497821	NA	16.2511606087656	NA
"23"	"Q9BXM0"	1	"Q9BXM0;A0A669KBF1"	"PRAX_HUMAN"	"PRX"	"Periaxin"	NA	NA	NA	NA	17.8573128360907	NA	NA	NA	NA	NA	NA	18.0376595528768	17.9636750562749	NA	NA	17.9320705398606	17.9515863833825	17.8334892824131	17.9797433623925	NA	18.0308341450815	17.8929755697361	NA	17.5658904647756	NA	NA	NA	NA	17.7375972513326	NA	NA	NA	NA	NA	NA	NA
"24"	"Q9BWE0"	1	"Q9BWE0;C9JYJ8;E7EVL6;C9JZE3"	"REPI1_HUMAN"	"REPIN1"	"Replication initiator 1"	NA	NA	NA	15.2571852441458	NA	NA	NA	NA	NA	NA	15.64874236173	NA	NA	NA	NA	NA	NA	15.5346038178754	15.1933713498215	NA	NA	15.194372125483	15.2961634122427	NA	15.5761949756982	15.504725899523	15.1036320468382	15.7937074437195	14.8651242879211	15.0463055164936	15.283529720081	NA	15.2413836395645	NA	NA	NA
"25"	"Q9BVV6"	1	"Q9BVV6;A0A494C075;A0A494C0Z1;A0A494C171;A0A087WYM5;A0A494C0M8"	"TALD3_HUMAN"	"KIAA0586"	"Protein TALPID3"	NA	NA	17.275078726951	NA	NA	NA	17.6255518957872	NA	17.6778985361841	NA	NA	NA	NA	NA	NA	NA	NA	17.0751552922834	NA	NA	NA	NA	NA	16.8879464458994	17.4050084652067	NA	17.6987996063481	NA	17.5806045348874	NA	NA	NA	NA	16.9941766251617	NA	NA
"26"	"Q96PZ7"	1	"Q96PZ7;H7BXU2;E5RIG2;F5GZ18;F8W9C3"	"CSMD1_HUMAN"	"CSMD1"	"CUB and sushi domain-containing protein 1"	15.2943479204907	NA	NA	NA	15.2762516535092	15.6526377387223	NA	NA	NA	NA	15.9472876356354	NA	15.2153547752522	14.4660254638515	15.0189303844387	15.222160943602	NA	NA	NA	NA	NA	NA	NA	15.425219182148	NA	NA	NA	NA	15.9472556691082	15.9139762794863	NA	15.0616201154031	NA	NA	15.9132797950441	14.7525217728606
"27"	"Q96NY7"	1	"Q9NZA1;Q96NY7;A0A2R8Y4M1;A0A5F9ZHK1;A0A2R8Y615;A0A2R8YGW2"	"CLIC5_HUMAN;CLIC6_HUMAN"	"CLIC5;CLIC6"	"Chloride intracellular channel protein 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4725877224577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"28"	"Q96MR6"	1	"Q96MR6;A0A087WVY5"	"CFA57_HUMAN"	"CFAP57"	"Cilia- and flagella-associated protein 57"	NA	NA	18.2770512426641	18.0462714065991	NA	NA	NA	NA	18.7558362286363	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.4445377280691	NA	NA	NA	18.1191792453222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.4761528685246	18.5162771333711
