"Protein.Group"	"peptides"	"Protein.Ids"	"Protein.Names"	"Genes"	"First.Protein.Description"	"B_1"	"B_2"	"B_3"	"B_4"	"BD_1"	"BD_2"	"BD_3"	"BD_4"	"BDM_1"	"BDM_2"	"BDM_3"	"BDM_4"	"BM_1"	"BM_2"	"BM_3"	"BM_4"	"C_1"	"C_2"	"C_3"	"C_4"	"CM_1"	"CM_2"	"CM_3"	"CM_4"	"D_1"	"D_2"	"D_3"	"D_4"	"DM_1"	"DM_2"	"DM_3"	"DM_4"	"I_1"	"I_2"	"I_3"	"I_4"
"1"	"Q9UQD0"	1	"Q9UQD0;F8W0Q0;A0A590UK68;A0A590UK43;A0A1W2PQI5"	"SCN8A_HUMAN"	"SCN8A"	"Sodium channel protein type 8 subunit alpha"	NA	NA	NA	NA	NA	14.1154907642974	15.9838397693495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Q9UGM3"	1	"Q9UGM3;A0A590UJ76;A0A590UJF8;A0A590UK99;A0A590UJZ9;A0A590UIX5"	"DMBT1_HUMAN"	"DMBT1"	"Deleted in malignant brain tumors 1 protein"	NA	NA	NA	NA	15.1510601553323	NA	16.8658782289067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.2665303576096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"Q9NYS0"	1	"Q9NYS0;G5E9P3"	"KBRS1_HUMAN"	"NKIRAS1"	"NF-kappa-B inhibitor-interacting Ras-like protein 1"	NA	NA	NA	NA	NA	13.8976564112511	NA	NA	NA	NA	NA	NA	NA	14.5859425147589	NA	NA	NA	NA	NA	NA	13.415636149853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"Q9NSB2"	10	"KRHB4_HUMAN;Q9NSB2"	"KRT84_HUMAN"	"KRT84"	"Keratin, type II cuticular Hb4"	NA	NA	NA	NA	21.1269161676464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.9239034014564	NA	NA	NA
"5"	"Q96NY7"	1	"Q9NZA1;Q96NY7;A0A2R8Y4M1;A0A5F9ZHK1;A0A2R8Y615;A0A2R8YGW2"	"CLIC5_HUMAN;CLIC6_HUMAN"	"CLIC5;CLIC6"	"Chloride intracellular channel protein 6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4725877224577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"Q8TF66"	6	"Q8TF66"	"LRC15_HUMAN"	"LRRC15"	"Leucine-rich repeat-containing protein 15"	NA	NA	NA	NA	17.8783862505224	NA	15.4959705427708	NA	14.1400468739649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"Q8IW41"	1	"Q8IW41;F8VRP2;R4GN33"	"MAPK5_HUMAN"	"MAPKAPK5"	"MAP kinase-activated protein kinase 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.1367858962176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"Q14525"	2	"K1HB_HUMAN;Q14525"	"KT33B_HUMAN"	"KRT33B"	"Keratin, type I cuticular Ha3-II"	NA	NA	NA	NA	17.237639448212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"P30408"	1	"P30408;F8WBG6;F8WF27"	"T4S1_HUMAN"	"TM4SF1"	"Transmembrane 4 L6 family member 1"	NA	NA	NA	NA	NA	NA	16.0779589472329	NA	15.7843741309334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.1830576605893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	"P29323"	1	"P29323;Q15375;B1AKC9"	"EPHA7_HUMAN;EPHB2_HUMAN"	"EPHA7;EPHB2"	"Ephrin type-B receptor 2"	NA	NA	NA	17.9425603219085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"P24158"	1	"P24158;U3KPS2"	"PRTN3_HUMAN"	"PRTN3"	"Myeloblastin"	NA	NA	NA	NA	NA	NA	14.9385550442453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.9429497040117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
