Term,k,M,enrichment_ratio,Adjusted P-value,minus_log10_p
RNA Binding (GO:0003723),101,1411,0.07158043940467754,2.167114383287282e-25,24.66411816541323
Cadherin Binding (GO:0045296),42,319,0.13166144200626959,5.745551162076191e-19,18.240668303761264
Endopeptidase Inhibitor Activity (GO:0004866),25,112,0.22321428571428573,1.328435489319553e-16,15.876659530687498
Endopeptidase Regulator Activity (GO:0061135),14,42,0.3333333333333333,1.0779181818243468e-11,10.967414202535853
Peptidase Inhibitor Activity (GO:0030414),13,37,0.35135135135135137,3.0370201275032914e-11,10.517552329835226
Serine-Type Endopeptidase Inhibitor Activity (GO:0004867),13,53,0.24528301886792453,4.3839474353304196e-09,8.358134661796225
Lipoprotein Particle Receptor Binding (GO:0070325),10,27,0.37037037037037035,6.560756477340786e-09,8.18304608211923
Protease Binding (GO:0002020),18,125,0.144,9.338213601653408e-09,8.029736196269592
Nucleosomal DNA Binding (GO:0031492),9,34,0.2647058823529412,1.3075451947006464e-06,5.883543291011446
"Oxidoreductase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0016616)",13,95,0.1368421052631579,4.841338372265001e-06,5.3150345624588935
Chromatin DNA Binding (GO:0031490),11,83,0.13253012048192772,5.793303311937247e-05,4.237073733152545
Pyridoxal Phosphate Binding (GO:0030170),6,20,0.3,9.737775074419028e-05,4.0115402611175845
Low-Density Lipoprotein Particle Receptor Binding (GO:0050750),6,22,0.2727272727272727,0.00016687547608337244,3.7776074822795946
Nucleosome Binding (GO:0031491),9,62,0.14516129032258066,0.00016983384678541196,3.769975753389578
Ubiquitin Protein Ligase Binding (GO:0031625),19,271,0.07011070110701106,0.00016983384678541196,3.769975753389578
Protein Homodimerization Activity (GO:0042803),33,662,0.04984894259818731,0.00016983384678541196,3.769975753389578
MHC Class II Protein Complex Binding (GO:0023026),6,25,0.24,0.0002868851126100953,3.5422919881047883
Purine Ribonucleoside Triphosphate Binding (GO:0035639),26,476,0.0546218487394958,0.000309282945001611,3.509644027930565
Ubiquitin-Like Protein Ligase Binding (GO:0044389),19,289,0.0657439446366782,0.000356012201748184,3.4485351170240492
Calcium Ion Binding (GO:0005509),21,346,0.06069364161849711,0.0004091049719176673,3.3881652424197726
