"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04512","hsa04512","ECM-receptor interaction","11/135","89/8753",1.02331152582244e-07,2.24105224155114e-05,1.86350414702402e-05,"3685/3688/3655/3673/3678/3371/3693/3690/6385/961/960",11
"hsa05205","hsa05205","Proteoglycans in cancer","15/135","203/8753",4.78578787050434e-07,4.03177751864371e-05,3.35254751610364e-05,"3685/3688/6237/3673/857/3678/3693/22800/3690/6385/960/2817/7078/7097/6198",15
"hsa04145","hsa04145","Phagosome","13/135","152/8753",5.52298290225166e-07,4.03177751864371e-05,3.35254751610364e-05,"3685/3688/7037/3673/3678/3693/4074/3690/3105/537/7097/3112/347733",13
"hsa04640","hsa04640","Hematopoietic cell lineage","9/135","99/8753",2.02311512727964e-05,0.00088612442574848,0.000736839825303952,"3655/290/966/7037/3673/3678/3690/960/3112",9
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","9/135","99/8753",2.02311512727964e-05,0.00088612442574848,0.000736839825303952,"3685/3688/3655/7171/3673/3678/3693/7168/3690",9
"hsa05414","hsa05414","Dilated cardiomyopathy","9/135","105/8753",3.24857692677132e-05,0.00118573057827153,0.000985971593563927,"3685/3688/3655/7171/3673/3678/3693/7168/3690",9
"hsa04820","hsa04820","Cytoskeleton in muscle cells","13/135","229/8753",4.96886195068881e-05,0.00155454395314407,0.00129265130446491,"7431/3685/3688/3655/7171/3673/3678/3693/7168/3690/9260/6385/10398",13
"hsa04148","hsa04148","Efferocytosis","10/135","156/8753",0.000141531692117896,0.00387443007172741,0.00322170825478895,"3685/4240/3693/8754/3690/961/6513/140885/23659/27072",10
"hsa04142","hsa04142","Lysosome","9/135","132/8753",0.000193155628312093,0.00456464411002811,0.00379564254282558,"3482/4074/4864/9516/1201/4891/537/23659/130340",9
"hsa04810","hsa04810","Regulation of actin cytoskeleton","12/135","229/8753",0.000208431237900827,0.00456464411002811,0.00379564254282558,"3685/3688/3655/6237/3673/3678/2934/3693/22800/3690/55970/10398",12
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","7/135","86/8753",0.00034651342179227,0.00654895286663085,0.00544565655336283,"3685/3688/3655/3673/3678/3693/3690",7
"hsa04614","hsa04614","Renin-angiotensin system","4/135","23/8753",0.000381646557682316,0.00654895286663085,0.00544565655336283,"290/4012/2028/10159",4
"hsa04216","hsa04216","Ferroptosis","5/135","41/8753",0.000388750626786306,0.00654895286663085,0.00544565655336283,"7037/2182/81631/4891/5621",5
"hsa04510","hsa04510","Focal adhesion","10/135","202/8753",0.00110318481185399,0.0172569624140018,0.0143496971767474,"3685/3688/3655/3673/857/3678/3371/3693/3690/10398",10
"hsa04514","hsa04514","Cell adhesion molecules","8/135","157/8753",0.00290001328999868,0.0419346575336324,0.0348699627652891,"3685/3688/3655/2734/958/6385/3105/3112",8
"hsa05323","hsa05323","Rheumatoid arthritis","6/135","93/8753",0.00306371927186355,0.0419346575336324,0.0348699627652891,"6364/3606/6372/537/7097/3112",6
