"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","8/37","72/8779",4.38635925976867e-10,4.29863207457329e-08,3.46291520508053e-08,"127/2939/2938/54659/54658/7365/2330/2948",8
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450","7/37","78/8779",2.76270621704996e-08,1.35372604635448e-06,1.09054192778288e-06,"127/2939/2938/54659/54658/7365/2948",7
"hsa05204","hsa05204","Chemical carcinogenesis - DNA adducts","6/37","70/8779",3.95399879187466e-07,1.29163960534572e-05,1.04052599786175e-05,"2939/2938/54659/54658/7365/2948",6
"hsa00983","hsa00983","Drug metabolism - other enzymes","6/37","80/8779",8.79064095051908e-07,2.15370703287718e-05,1.73499492444456e-05,"2939/2938/54659/54658/7365/2948",6
"hsa04976","hsa04976","Bile secretion","5/37","89/8779",3.22760285293095e-05,0.000632610159174466,0.00050962150309436,"54659/54658/7365/570/5243",5
"hsa00830","hsa00830","Retinol metabolism","4/37","68/8779",0.000179365041652807,0.00263236503619512,0.00212059481970606,"127/54659/54658/7365",4
"hsa00650","hsa00650","Butanoate metabolism","3/37","27/8779",0.000188026074013937,0.00263236503619512,0.00212059481970606,"348158/622/3157",3
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation","6/37","212/8779",0.00022970900742681,0.00281393534097843,0.00226686520486984,"2939/2938/54659/54658/7365/2948",6
"hsa00053","hsa00053","Ascorbate and aldarate metabolism","3/37","30/8779",0.000258724184010163,0.00281721889255511,0.00226951038605406,"54659/54658/7365",3
"hsa00040","hsa00040","Pentose and glucuronate interconversions","3/37","36/8779",0.000447147166505118,0.00438204223175016,0.00353010920925093,"54659/54658/7365",3
"hsa00860","hsa00860","Porphyrin metabolism","3/37","46/8779",0.000923500839800924,0.00822755293640824,0.00662799645790137,"54659/54658/7365",3
"hsa00480","hsa00480","Glutathione metabolism","3/37","57/8779",0.00172429171956142,0.0140817157097516,0.0113440244707988,"2939/2938/2948",3
"hsa00430","hsa00430","Taurine and hypotaurine metabolism","2/37","16/8779",0.0019984154236918,0.0148380667749919,0.011953329840219,"570/2330",2
"hsa00140","hsa00140","Steroid hormone biosynthesis","3/37","62/8779",0.00219673531046229,0.0148380667749919,0.011953329840219,"54659/54658/7365",3
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","5/37","223/8779",0.00227113266964162,0.0148380667749919,0.011953329840219,"2939/2938/10861/4706/2948",5
"hsa00100","hsa00100","Steroid biosynthesis","2/37","20/8779",0.00313077385945206,0.0191759898891439,0.0154478973328227,"2222/1595",2
"hsa01524","hsa01524","Platinum drug resistance","3/37","73/8779",0.0034995727405097,0.0201740075629382,0.0162518857918407,"2939/2938/2948",3
