"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-6.47727799415587,14.0444878339767,-212.830613097524,1.88971035535277e-15,1.53331098233324e-11,23.6127201882433,"MX1_HUMAN",43,-262.163028386758,3.33484550604352e-17,2.70589364360371e-13,-0.0599923133849991,"Non-significant",12.5676892775476,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.013423204422,13.4752579927444,-190.317835810369,4.36856837454173e-15,1.77232818955158e-11,23.282009133354,"IFIT1_HUMAN",34,-238.181726361742,7.25281456017795e-17,2.9424668670642e-13,0.138042926788323,"Non-significant",12.5312884187249,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-4.80443525314335,13.6759488582611,-155.408165899607,1.99503051455766e-14,5.39589253170696e-11,22.5545889223088,"IFIT3_HUMAN",30,-179.315293755855,7.22755864574659e-16,1.95481369505293e-12,-0.14381551742555,"Non-significant",11.7088946270487,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-5.24923825263978,13.6421073675156,-138.786352230775,4.65726308131483e-14,9.44725816044713e-11,22.0735945190198,"IFIT2_HUMAN",29,-153.637276641652,2.52653312197225e-15,5.12507243792071e-12,-0.0834450721740758,"Non-significant",11.2902999918982,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-3.24024510383603,14.8606179952622,-114.447500068814,1.97537595681969e-13,2.74951109645925e-10,21.1299807888185,"STAT1_HUMAN",41,-144.370476134198,4.18119557744197e-15,6.78524418307283e-12,-0.471067428588874,"Non-significant",11.1684345186081,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-3.52107787132263,11.9434515237808,-114.007952253709,2.03316078121217e-13,2.74951109645925e-10,21.1096037242601,"OAS1_HUMAN",20,-118.748990146573,2.03366187089121e-14,2.75018873673521e-11,-0.219108343124375,"Non-significant",10.5606375008934,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-3.87898683547972,10.5206701755524,-105.956905589304,3.51950575482288e-13,4.07960995637612e-10,20.7107047999648,"CMPK2_HUMAN",26,-115.897781330314,2.47586713881938e-14,2.86988370919720e-11,-0.196940898895249,"Non-significant",10.5421357009932,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-3.02095413208005,13.3106710910797,-91.7334389379655,1.03625993973388e-12,9.34245905666741e-10,19.8668775535969,"RIGI_HUMAN",56,-112.872761155867,3.06698632786099e-14,3.11069088303301e-11,-0.00472450256347567,"Non-significant",10.5071431436528,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-4.30910134315494,11.7472494840622,-89.7169397086942,1.22399061637029e-12,9.93145986122851e-10,19.7302324284109,"TSP1_HUMAN",50,-99.8166052466326,8.295846139411e-14,7.47916617502009e-11,-0.18456411361695,"Non-significant",10.1261468173458,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-4.91666984558103,14.9897541999817,-98.2082642146582,6.21693089552232e-13,6.30552216078351e-10,20.2755054199671,"ISG15_HUMAN",15,-97.8118805814495,9.77637810808938e-14,7.93255319690372e-11,-0.682161569595338,"Up in BD",10.1005870067732,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-2.24823522567753,11.4794573783874,-73.6618055309644,5.35907605378997e-12,2.89890287336346e-09,18.4498144113236,"DDX60_HUMAN",75,-96.6178730303085,1.07981947431814e-13,7.96514110419762e-11,-0.226536512374851,"Non-significant",10.098806526174,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-3.33168292045595,10.6456753015518,-82.1263582957764,2.37318931866108e-12,1.57609006367781e-09,19.1707767072248,"IFIH1_HUMAN",45,-93.5437127119797,1.40283507597835e-13,9.48550317207362e-11,-0.23161554336545,"Non-significant",10.0229396263927,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-5.09776711463929,12.2603534460068,-83.8316853816172,2.03462234574176e-12,1.50081142848624e-09,19.3030584943023,"OAS2_HUMAN",31,-89.4679590547375,2.01178393017461e-13,1.25566267764898e-10,-0.104145050048828,"Non-significant",9.90112701419077,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-3.95528578758242,14.5116726160049,-77.6379577896264,3.61514260823643e-12,2.09523336594503e-09,18.8025168279291,"OAS3_HUMAN",45,-85.351986787192,2.94509736091305e-13,1.70689428474632e-10,-0.212684154510502,"Non-significant",9.76779337576461,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-2.65675497055052,11.4101693630218,-69.7929109077735,8.02636482447251e-12,3.83093671681e-09,18.0800975162782,"SLFN5_HUMAN",37,-79.269192855219,5.35677861312638e-13,2.89766011112716e-10,0.17003703117371,"Non-significant",9.53795255762222,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-4.46127104759215,11.354632973671,-81.4485132338871,2.52516278380719e-12,1.57609006367781e-09,19.1170646630187,"ISG20_HUMAN",11,-76.5111559844387,7.13393763162094e-13,3.61779812143577e-10,-0.522397041320826,"Up in BD",9.44155567108389,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-1.91031837463377,12.3113303184509,-60.7189346147487,2.27646232725876e-11,8.58176828332833e-09,17.0929613184045,"PML_HUMAN",44,-74.0627259137708,9.28100943246602e-13,4.4297712079429e-10,-0.204251766204829,"Non-significant",9.35361870395613,"PML","Protein PML","PML_HUMAN"
-1.5288214683533,14.5640316009521,-53.9146568642401,5.5390108764519e-11,1.62034122066104e-08,16.2183182098184,"VIME_HUMAN",46,-69.357316532691,1.57825601270936e-12,7.11442738173541e-10,0.870301246643049,"Up in C",9.14786004919322,"VIM","Vimentin","VIME_HUMAN"
0.973584175109874,16.1176919937134,39.2834655689586,5.90083244032661e-10,7.46028496398277e-08,13.7807370057033,"FAS_HUMAN",149,68.7590552460097,1.69280205723083e-12,7.2291557328268e-10,0.0302091836929321,"Non-significant",9.14091241943911,"FASN","Fatty acid synthase","FAS_HUMAN"
-2.3846368789673,11.6063899993897,-63.2359714192012,1.67975956085825e-11,6.81478453840193e-09,17.3853857643554,"TAP1_HUMAN",24,-68.0716432312387,1.83610222252571e-12,7.4490667167868e-10,0.122962713241577,"Non-significant",9.12789813599526,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
-2.21497559547423,12.1800497770309,-58.9008340596842,2.85794068041456e-11,1.00823176873408e-08,16.8718399399627,"SAMH1_HUMAN",38,-67.2286471281575,2.03078130682744e-12,7.8465521540942e-10,0.578300476074201,"Up in C",9.10532113425913,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-2.32817554473877,13.562825679779,-67.0134243768646,1.08803837426831e-11,4.64649650990163e-09,17.7967298507051,"FGL1_HUMAN",17,-66.7476519534752,2.15219203956826e-12,7.93767554957131e-10,0.0854396820068501,"Non-significant",9.10030665674034,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-1.97002601623538,12.1694107055664,-60.5416273197907,2.32682896516174e-11,8.58176828332833e-09,17.0717724142729,"5NT3A_HUMAN",23,-65.3341108622741,2.55889750468725e-12,9.02734537088364e-10,0.141090869903565,"Non-significant",9.04443994185402,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-2.96378898620605,13.2496190071106,-67.8810069415159,9.88155387046119e-12,4.45438489471789e-09,17.8868595120763,"UB2L6_HUMAN",12,-62.5747671632686,3.62729077203544e-12,1.22632655517898e-09,0.103451013565049,"Non-significant",8.91139386731515,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-1.64370250701904,10.557915687561,-51.0718784863338,8.30550275176861e-11,2.10596404149533e-08,15.8112896677639,"CMTR1_HUMAN",42,-61.4241554721467,4.21449020881369e-12,1.36785494217257e-09,0.402007102966312,"Non-significant",8.86395995609125,"CMTR1","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","CMTR1_HUMAN"
1.25291204452512,14.0547742843628,51.3294955163362,7.99882107493987e-11,2.09362690974394e-08,15.8492995091131,"AL8A1_HUMAN",26,60.3369899412922,4.8690203358167e-12,1.51950888480064e-09,0.155800938606265,"Non-significant",8.81829675619042,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN"
-2.211416721344,14.6241662502289,-52.5242496153479,6.73437608255253e-11,1.88423198392521e-08,16.0226001708022,"FIBB_HUMAN",38,-58.740842893029,6.04727724091995e-12,1.81221534414073e-09,-0.986865043640151,"Up in BD",8.74179019671705,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
1.0025141239166,15.3507269620895,40.4358296086394,4.75526708997172e-10,6.76916441544396e-08,14.008443041299,"TRFE_HUMAN",51,58.413907737097,6.32633110343379e-12,1.81221534414073e-09,-0.117416858673105,"Non-significant",8.74179019671705,"TF","Serotransferrin","TRFE_HUMAN"
-2.46153259277343,12.1718764305115,-55.2523996544136,4.61119259862505e-11,1.49660866980975e-08,16.4008428286303,"TAP2_HUMAN",22,-58.2440702728685,6.4769836061229e-12,1.81221534414073e-09,0.114199399948125,"Non-significant",8.74179019671705,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
1.28410363197325,16.196338057518,47.6747307018694,1.38949258968818e-10,3.19929451151464e-08,15.2874227122109,"ALDOC_HUMAN",31,57.681670750526,7.00537362607691e-12,1.83830713261905e-09,-1.97002601623537,"Up in BD",8.73558192773859,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-1.45471334457397,12.2087259292603,-50.3685811992367,9.21287425538902e-11,2.26525035479474e-08,15.7063315879164,"RO52_HUMAN",27,-57.5733902605381,7.11257129236472e-12,1.83830713261905e-09,0.25304651260376,"Non-significant",8.73558192773859,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
