"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_HBV","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
2.65413177013397,8.97424205144246,47.0752648729141,6.95662052763488e-15,5.65364550280887e-11,20.9061069928995,"AMY1B_HUMAN",12,45.7526579894044,2.69305792566165e-15,2.18864817618522e-11,-0.0424103736877264,"Non-significant",10.6598240453857,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
3.28937995433807,11.844390630722,36.504177405831,1.40434378954668e-13,5.70655098882295e-10,19.3916323950279,"TSP1_HUMAN",50,38.0563972829823,2.65113220197891e-14,1.07728757027413e-10,-0.10872817039494,"Non-significant",9.96766835100779,"THBS1","Thrombospondin-1","TSP1_HUMAN"
2.04740393161774,11.0390275319417,28.7772171045423,2.30689412175156e-12,6.24937617582498e-09,17.6163390324974,"K1C19_HUMAN",26,29.8295574872296,5.39702359704997e-13,1.46205369244084e-09,0.0246843099594507,"Non-significant",8.83503667806037,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
1.8143079280853,13.7973231474559,25.9063921624129,7.9050484466537e-12,1.28488657451909e-08,16.7296017440127,"FGL1_HUMAN",17,26.369601937597,2.4641799738975e-12,5.00659766196624e-09,-0.0728361606598007,"Non-significant",8.30045730778397,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
3.18719458580017,8.03046643733978,26.0324337573125,7.4686140973003e-12,1.28488657451909e-08,16.7718234727984,"MIME_HUMAN",7,25.6739474455309,3.42261979704831e-12,5.56312621812232e-09,0.191011428833001,"Non-significant",8.25468108652471,"OGN","Mimecan","MIME_HUMAN"
0.991157174110398,10.6656089623769,20.91924799068,9.55200936767109e-11,1.29381966885105e-07,14.7604746764013,"LAMC1_HUMAN",52,22.8871113022901,1.39960472699119e-11,1.89576460270957e-08,0.0645450353622259,"Non-significant",7.72221559004178,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
0.4736808538437,13.3462747732798,14.861690019382,4.83543869388504e-09,4.36640114057819e-06,11.2760941489109,"FAT1_HUMAN",153,19.121665883782,1.24870925415501e-10,1.44975144407397e-07,0.0344399213790609,"Non-significant",6.83870644998582,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
0.809198975563088,12.7180620034536,17.1249422595565,9.61053081954918e-10,1.11578262814966e-06,12.7585206607404,"LG3BP_HUMAN",20,17.5997178589183,3.40156521278017e-10,3.45556506053306e-07,-0.112332284450535,"Non-significant",6.46148092582784,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
0.44426572322846,11.6074368953705,13.9476752857585,9.90253804851156e-09,6.70649389335446e-06,10.600669205756,"MDR1_HUMAN",52,16.7330640612995,6.24320023920874e-10,5.63760981600549e-07,-0.0283421277999878,"Non-significant",6.24890498533204,"ABCB1","ATP-dependent translocase ABCB1","MDR1_HUMAN"
0.793537259101848,11.8221895694733,14.6938600530478,5.49896559803647e-09,4.46900934152424e-06,11.1556731456785,"FLNC_HUMAN",102,16.0542156759356,1.02547259508229e-09,8.33401578023381e-07,0.307828843593599,"Non-significant",6.07914568155309,"FLNC","Filamin-C","FLNC_HUMAN"
