"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-0.545359611511225,11.9480640888214,-17.9579694831227,1.48378423046525e-07,0.000557217922926065,7.65151924509794,"TENS1_HUMAN",76,-26.4478785197834,2.62109820010897e-09,1.54064956977347e-05,0.160913467407223,"Non-significant",4.81229613300165,"TNS1","Tensin-1","TENS1_HUMAN"
-1.02227807044982,9.83476054668426,-23.4444137889011,1.97517469948182e-08,0.000160265675115955,8.94768684790352,"PLIN2_HUMAN",25,-25.2798258475516,3.79750941526613e-09,1.54064956977347e-05,0.116330623626748,"Non-significant",4.81229613300165,"PLIN2","Perilipin-2","PLIN2_HUMAN"
-0.823232173919674,11.0987048149109,-16.0595567721213,3.4336820490884e-07,0.000557217922926065,7.02965372595237,"MX1_HUMAN",43,-17.9004344071822,6.35524996817823e-08,0.000164287485285513,0.158929347991926,"Non-significant",3.7843955179919,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-0.752492904663072,13.7621703147888,-15.4947744326156,4.48843802007343e-07,0.000606986434914597,6.82164561148352,"PLOD2_HUMAN",38,-17.2654020990142,8.51642204945553e-08,0.000164287485285513,0.0577454566955513,"Non-significant",3.7843955179919,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
0.759029150009198,11.7643221616745,16.5196325664217,2.77858852507843e-07,0.000557217922926065,7.19085684848757,"ASM3A_HUMAN",18,16.8609434502301,1.03172599253592e-07,0.000164287485285513,-0.0546166896819749,"Non-significant",3.7843955179919,"SMPDL3A","Cyclic GMP-AMP phosphodiesterase SMPDL3A","ASM3A_HUMAN"
-0.742060899734472,10.1770113706589,-15.0684667980328,5.52829626562647e-07,0.000640808512847045,6.65680416362757,"VLDLR_HUMAN",32,-16.5235550735781,1.21484460403387e-07,0.000164287485285513,0.0718090534210241,"Non-significant",3.7843955179919,"VLDLR","Very low-density lipoprotein receptor","VLDLR_HUMAN"
-0.641031503677377,9.64897119998932,-14.2459417560613,8.39873917745977e-07,0.000851842121073858,6.31822736431687,"FIL1L_HUMAN",39,-16.1121631906108,1.48908806121429e-07,0.000172606578981325,0.113124370574972,"Non-significant",3.76294265496592,"FILIP1L","Filamin A-interacting protein 1-like","FIL1L_HUMAN"
-0.287856578826874,10.6893656253815,-9.32497787549931,1.85377886881631e-05,0.0052183403303486,3.54215503354901,"SYNE2_HUMAN",160,-14.7864184410733,2.9717383966798e-07,0.000301408566883248,0.0802674293518102,"Non-significant",3.52084440796947,"SYNE2","Nesprin-2","SYNE2_HUMAN"
-0.433997154235851,10.688178062439,-11.5779019144909,3.88007487602332e-06,0.00286208432218666,4.99894405739451,"KANK1_HUMAN",51,-14.1371588784779,4.2587429894725e-07,0.000349257605220234,0.0492072105407502,"Non-significant",3.45685412817951,"KANK1","KN motif and ankyrin repeat domain-containing protein 1","KANK1_HUMAN"
-1.32339811325073,10.1007173061371,-16.5128673369368,2.78713756218182e-07,0.000557217922926065,7.18853786580274,"NUA4L_HUMAN",5,-14.1183356628771,4.30438261301743e-07,0.000349257605220234,-0.431983351707455,"Non-significant",3.45685412817951,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-0.321631908416776,11.3498463630676,-10.4473658033557,8.19426258298255e-06,0.00423820523774275,4.31447893500141,"S12A4_HUMAN",38,-13.2113751838375,7.31183887316607e-07,0.000539347823789722,-0.183246135711675,"Non-significant",3.26813106925915,"SLC12A4","Solute carrier family 12 member 4","S12A4_HUMAN"
-0.746588945388828,10.9946271181107,-11.7543901413277,3.47333540728777e-06,0.0028182643494733,5.09827675343692,"EHD2_HUMAN",32,-12.6061914619824,1.06119786057546e-06,0.000717546620059106,-0.0616257190704239,"Non-significant",3.14414987692614,"EHD2","EH domain-containing protein 2","EHD2_HUMAN"
0.9541897773743,10.8391282558441,12.017446589508,2.95300494039099e-06,0.0026622980095925,5.2428343346966,"CNBP_HUMAN",11,11.8036579278643,1.78474923957643e-06,0.00111151757195002,-0.0431542396545392,"Non-significant",2.95408366716148,"CNBP","CCHC-type zinc finger nucleic acid binding protein","CNBP_HUMAN"
-0.338137626647972,11.6285297870636,-9.32283672115312,1.856815709252e-05,0.0052183403303486,3.5405831056585,"DPYD_HUMAN",55,-11.6400587981926,1.99203454060407e-06,0.00111151757195002,0.0243692398071236,"Non-significant",2.95408366716148,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN"
-0.4024498462677,16.2036303281784,-10.3622514352125,8.69360500817144e-06,0.00423820523774275,4.25934353671455,"ALDOA_HUMAN",29,-11.5942291746237,2.05481434301827e-06,0.00111151757195002,-0.243216037750241,"Non-significant",2.95408366716148,"ALDOA","Fructose-bisphosphate aldolase A","ALDOA_HUMAN"
-0.328128576278688,9.77722799777984,-9.53271958954269,1.58395493837467e-05,0.0052183403303486,3.69280114408469,"NGEF_HUMAN",33,-11.2083326905036,2.68020528518312e-06,0.00132111168901738,-0.00541996955872648,"Non-significant",2.87906046484308,"NGEF","Ephexin-1","NGEF_HUMAN"
0.205631971359248,11.5140770673752,7.09890413565741,0.000123864604606178,0.00894515582290246,1.66706316554247,"FYCO1_HUMAN",81,11.1623499018269,2.76791948647961e-06,0.00132111168901738,0.16852784156799,"Non-significant",2.87906046484308,"FYCO1","FYVE and coiled-coil domain-containing protein 1","FYCO1_HUMAN"
0.341263771057104,11.9060962200165,10.8295773923811,6.31511944982644e-06,0.00403415341389892,4.55562223638352,"BODG_HUMAN",18,10.8421242709132,3.47526994480613e-06,0.00156657446289761,-0.406711816787748,"Non-significant",2.80504895727321,"BBOX1","Gamma-butyrobetaine dioxygenase","BODG_HUMAN"
