"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
4.62406873703005,11.823096036911,143.048895973963,4.10489786575941e-14,3.11582754429972e-10,21.1901196609458,"OAS2_HUMAN",31,163.161850835178,1.55238067930128e-15,1.15439358981133e-11,-0.0547876358032227,"Non-significant",10.9376460934853,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
4.39529514312745,12.7141153812409,131.535178381946,7.68012705028278e-14,3.11582754429972e-10,20.8998621235118,"IFIT1_HUMAN",34,151.398397843562,2.84543650434146e-15,1.15439358981133e-11,-0.0590600967407227,"Non-significant",10.9376460934853,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
5.82810950279238,13.6011434793472,119.215827765411,1.60024623911183e-13,4.32813266138447e-10,20.5225841706622,"MX1_HUMAN",43,131.561497670723,8.87169029185815e-15,2.3994965009379e-11,-0.0619735717773242,"Non-significant",10.6198798790404,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
3.9904990196228,12.873744726181,109.446269248289,3.02944668705635e-13,6.1452326046938e-10,20.1614717614009,"IFIT3_HUMAN",30,121.666214851945,1.67088772824076e-14,3.04541224950729e-11,-0.0631546974181756,"Non-significant",10.5163539097412,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-1.89016270637512,14.8823586702347,-82.0350083775228,2.60433998520297e-12,2.68975328018246e-09,18.7204804172728,"FIBA_HUMAN",43,-119.933493740901,1.87664052841218e-14,3.04541224950729e-11,0.0930190086364249,"Non-significant",10.5163539097412,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
2.51885437965395,12.9820908308029,87.8146048590167,1.56705566002784e-12,2.38560668797392e-09,19.0909392474826,"RIGI_HUMAN",56,115.958634509975,2.46536812990016e-14,3.33399950100165e-11,-0.0806965827941735,"Non-significant",10.4770344695087,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-1.78937697410585,14.9716485738754,-65.8082348787219,1.34791187135082e-11,7.50637422008166e-09,17.4052547422207,"FINC_HUMAN",120,-100.194901825705,8.04569341653305e-14,9.3261080545356e-11,-0.022547245025649,"Non-significant",10.0302995570118,"FN1","Fibronectin","FINC_HUMAN"
2.6792778968811,14.575208902359,81.4155943645212,2.75585181227524e-12,2.68975328018246e-09,18.678139392603,"STAT1_HUMAN",41,96.7271835201814,1.06998230304561e-13,1.08522955086401e-10,0.0499359369277945,"Non-significant",9.96447838888534,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
3.45578932762147,14.2492572069168,80.5541939252743,2.98345816140524e-12,2.68975328018246e-09,18.6183536228096,"OAS3_HUMAN",45,90.8506758269956,1.77696392323491e-13,1.60203169701423e-10,-0.0181701183318754,"Non-significant",9.79532889542894,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
4.17713594436648,14.4022128582001,86.4319128342497,1.76406706037016e-12,2.38560668797392e-09,19.0061874106903,"ISG15_HUMAN",15,85.2465999255605,2.97468860002342e-13,2.413662330059e-10,0.64205801486969,"Up in D",9.61732348753179,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
2.21957468986511,10.1367832422256,64.0472638960183,1.65004531685043e-11,7.87556923583788e-09,17.2321716415143,"HELZ2_HUMAN",117,81.2516421734131,4.38639346812406e-13,3.23556332730533e-10,0.292019844055151,"Non-significant",9.49005009563157,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
