"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.27356433868407,10.3108737468719,-16.4846781004876,3.06080139892709e-07,0.00248353425508944,4.45794146164341,"K1C19_HUMAN",26,-17.2850702534543,1.11212576493239e-07,0.000902378845666143,-0.00249433517457476,"Non-significant",3.04461109434272,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
-0.474938392639149,11.5306339263916,-11.1198983780232,5.52831559608779e-06,0.0149522509155521,3.2483261304998,"FLNC_HUMAN",102,-13.6304466442832,7.18634459842362e-07,0.00291550000358046,-0.0224294662475479,"Non-significant",2.53528695370959,"FLNC","Filamin-C","FLNC_HUMAN"
-0.515741109848001,12.5807257890701,-11.2344799416318,5.13306582483391e-06,0.0149522509155521,3.28657808631527,"K2C7_HUMAN",37,-12.6516450784884,1.28243779974762e-06,0.00346856676905072,-0.0197861194610756,"Non-significant",2.45984994102283,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
0.262931346893296,12.8578667640686,6.728932437619,0.0001838738841793,0.186494087028855,1.0016560624349,"CO4B_HUMAN",83,8.50122327121126,2.60852436594521e-05,0.0529139167631985,-0.0272140502929759,"Non-significant",1.27643009018433,"C4B_2","Complement C4-B","CO4B_HUMAN"
0.280646324157701,12.2816655635834,6.88163106130038,0.000158349543684801,0.186494087028855,1.11398771606254,"CERU_HUMAN",44,8.11261929610788,3.67595365401654e-05,0.0596533758973805,-0.0463242530822505,"Non-significant",1.22436497375194,"CP","Ceruloplasmin","CERU_HUMAN"
-0.226929903030401,12.3217040300369,-5.93016798349986,0.000419498495899896,0.203292443989831,0.35886568692404,"LIMC1_HUMAN",62,-7.40264000011982,7.12753214524096e-05,0.0963879930441418,0.0244371891021746,"Non-significant",1.01597706235698,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN"
0.141270637512225,15.2504768371582,4.56449925082699,0.00207724247666678,0.329171277966058,-0.982602642144122,"CO3_HUMAN",111,7.15184263032519,9.11283032742854e-05,0.105630721823936,0.0186510086059748,"Non-significant",0.976209752463479,"C3","Complement C3","CO3_HUMAN"
0.178895711898797,11.5200425386429,5.71984021303682,0.000527988878845691,0.214205088147697,0.173143458097285,"C1R_HUMAN",30,6.92126670248924,0.000114892094327846,0.116529306672018,0.0742756128311157,"Non-significant",0.93356483751076,"C1R","Complement C1r subcomponent","C1R_HUMAN"
0.317454099655147,7.95596373081207,6.45984959223095,0.000240768846985107,0.195359842443716,0.79572437146646,"ITB2_HUMAN",19,6.69068671918502,0.000145696102187084,0.123510281323851,0.0383558273315501,"Non-significant",0.908296889073419,"ITGB2","Integrin beta-2","ITB2_HUMAN"
-0.255609750747702,10.3195799589157,-6.23762255712443,0.000302689127000646,0.203292443989831,0.617670229175955,"ANXA3_HUMAN",21,-6.6039835711923,0.000159554581550035,0.123510281323851,-0.0891245603561428,"Non-significant",0.908296889073419,"ANXA3","Annexin A3","ANXA3_HUMAN"
0.619271755218503,6.54947078227997,6.76408381694925,0.000177616111920558,0.186494087028855,1.02780017380228,"ZN787_HUMAN",8,6.44435300419547,0.000189037397026554,0.123510281323851,0.0685143470763769,"Non-significant",0.908296889073419,"ZNF787","Zinc finger protein 787","ZN787_HUMAN"
0.215062856674173,12.9479368925095,5.60952685795767,0.000597039056378787,0.230684519212261,0.0728263309060955,"PURA1_HUMAN",29,6.35754569826949,0.000207557431364286,0.123510281323851,-0.00280642509465068,"Non-significant",0.908296889073419,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
