"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.70934939384462,13.6605235338211,-190.42221379921,4.40203978252144e-15,3.5718150795379e-11,21.5771992078912,"MX1_HUMAN",43,-237.179994279927,1.11781842190407e-16,9.0699786753296e-13,-0.0362634658813512,"Non-significant",12.0423937340201,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-3.94321656227113,12.940154671669,-152.486239891465,2.32558129675443e-14,9.43488332093271e-11,21.0610848392261,"IFIT1_HUMAN",34,-194.914826169013,5.37192371460525e-16,2.17938945101535e-12,0.060462474822998,"Non-significant",11.6616651555665,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-3.59526300430297,13.0713627338409,-110.873154874519,2.53090348377477e-13,6.84525028911616e-10,19.9986012737779,"IFIT3_HUMAN",30,-127.169659715517,1.63446914753729e-14,4.42069422103918e-11,-0.064860343933125,"Non-significant",10.3545095241595,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-2.67435240745542,14.5776716470719,-95.0416327502983,8.0237784067282e-13,1.08508229986988e-09,19.3340187252045,"STAT1_HUMAN",41,-121.147274244624,2.40911126284558e-14,4.88688219668226e-11,0.0629732608795006,"Non-significant",10.3109681299605,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-3.57833242416385,12.8066544532776,-102.758955110872,4.47170371566509e-13,8.05460423256743e-10,19.6833222599975,"IFIT2_HUMAN",29,-115.495307763671,3.52992850564715e-14,5.72836797896419e-11,-0.15540981292725,"Non-significant",10.2419690915905,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-2.44132399559023,13.0208560228348,-82.7042486889663,2.27252216083037e-12,2.3049056016222e-09,18.6489843856526,"RIGI_HUMAN",56,-107.564268710881,6.23437785889374e-14,7.95992113894918e-11,-0.0865969657898003,"Non-significant",10.0990912349117,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-3.23408198356628,11.7999535799027,-101.337432496168,4.96339920665974e-13,8.05460423256743e-10,19.6228831681142,"OAS1_HUMAN",20,-106.271641499172,6.86707517533205e-14,7.95992113894918e-11,-0.138465881347649,"Non-significant",10.0990912349117,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-2.28754544258122,11.4991124868393,-75.6289363813244,4.43864845923523e-12,3.60151935982347e-09,18.1672264153638,"DDX60_HUMAN",75,-99.8660269975956,1.12881354090995e-13,1.14489913386792e-10,-0.174144148826597,"Non-significant",9.94123277317926,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-3.06177163124082,10.1120625734329,-86.5669629797085,1.6146894838173e-12,1.87165578167051e-09,18.8826262009369,"CMPK2_HUMAN",26,-95.350462944712,1.63403158189225e-13,1.47317025060819e-10,-0.0018918514252011,"Non-significant",9.83174705992787,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-4.42366051673891,11.9233001470566,-75.9444955397411,4.30244763980075e-12,3.60151935982347e-09,18.1903455409781,"OAS2_HUMAN",31,-80.9862915478274,6.02587406514999e-13,4.8893942164627e-10,-0.55960261821747,"Up in D",9.31074494552767,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-2.55091452598572,10.2552911043167,-63.0438687394903,1.73283157249689e-11,1.0042996699457e-08,17.0947340481295,"IFIH1_HUMAN",45,-71.7635241364727,1.58329244511954e-12,1.16789408179091e-09,-0.229958772659252,"Non-significant",8.93259654230887,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-3.44312214851383,14.2555907964706,-64.6581745179972,1.43418801277655e-11,8.95153964282224e-09,17.2506586864888,"OAS3_HUMAN",45,-70.486124654455,1.82756757660608e-12,1.23574027638181e-09,-0.14424848556515,"Non-significant",8.90807279816869,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-3.95936155319212,14.5111000537872,-64.8259345584259,1.40665151954082e-11,8.95153964282224e-09,17.2665177014385,"ISG15_HUMAN",15,-65.4401514769565,3.30784861733153e-12,1.929228965661e-09,-0.132632493972778,"Non-significant",8.71461622615493,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
