"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","7/59","73/9521",0.0958904109589041,15.4741119108428,9.80249031972708,2.88463876490431e-07,4.73080757444307e-05,4.19031736375573e-05,"2944/1559/1548/1549/1558/1557/1555",7,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","6/59","71/9521",0.0845070422535211,13.6371449033182,8.43947135792457,4.57756578000216e-06,0.000375360393960177,0.000332475830336999,"2944/1559/1548/1549/1558/1557",6,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","5/59","68/9521",0.0735294117647059,11.8656530408774,7.10032893631355,5.94697712106596e-05,0.00325101415951606,0.0028795889217793,"1559/1548/1549/1558/1555",5,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","5/59","79/9521",0.0632911392405063,10.21347350354,6.49318754562887,0.000122066936789362,0.00500474440836383,0.00443295717813997,"2944/1559/1548/1549/1555",5,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","7/59","216/9521",0.0324074074074074,5.22967671060891,4.9651099359601,0.000351581089042086,0.0115318597205804,0.0102143558500648,"1559/1536/1548/1549/1558/3310/1555",7,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa00590","Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","4/59","63/9521",0.0634920634920635,10.2458972289481,5.81396870635067,0.000603299112141487,0.0164901757318673,0.0146061890307939,"1559/1558/1557/1555",4,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa00591","Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","3/59","30/9521",0.1,16.1372881355932,6.55700819637635,0.000814812601962677,0.0190898952459827,0.0169088930933608,"1559/1558/1557",3,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","4/59","81/9521",0.0493827160493827,7.96903117807073,4.9737268175375,0.00155121717578279,0.0317999521035472,0.0281668381918454,"2944/51733/1548/1549",4,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","3/59","39/9521",0.0769230769230769,12.4132985658409,5.63957679003893,0.00176303697839145,0.0321264516062442,0.0284560354407041,"27232/10840/1719",3,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","4/59","90/9521",0.0444444444444444,7.17212806026365,4.64547704856519,0.00228596472744212,0.0374898215300508,0.0332066455144224,"5244/8647/10864/6554",4,"Downres_DEq_MS_CTRL_vs_HDV"
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","3/59","45/9521",0.0666666666666667,10.7581920903955,5.18102993999728,0.00266635935903405,0.039752994080144,0.0352112527795884,"5244/8647/10060",3,"Downres_DEq_MS_CTRL_vs_HDV"
