"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","25/275","67/9521",0.373134328358209,12.9185888738128,16.8834936245317,6.26295058486839e-22,1.62210420148091e-19,1.27236785566274e-19,"230/126/3939/5313/125/127/5211/130/229/55902/2821/10327/5236/7167/124/5230/2203/2027/5105/2597/2026/2023/2645/5232/2538",25,"Upres_DEq_MS_BDM_vs_CM"
"hsa01230","Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","21/275","75/9521",0.28,9.69410909090909,13.0358580562431,1.14542549079651e-15,1.48332601058148e-13,1.16351115644066e-13,"230/48/6470/5313/5211/229/383/875/26227/1491/7167/29968/2752/2875/5230/2027/2597/2026/2023/162417/5232",21,"Upres_DEq_MS_BDM_vs_CM"
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","25/275","117/9521",0.213675213675214,7.3978243978244,12.0081695952654,2.12568646263765e-15,1.83517597941051e-13,1.43949995540023e-13,"230/26007/48/6470/5313/5211/229/55902/26227/2821/55753/9104/7167/29968/39/2875/5230/2203/2027/2597/2026/2023/414328/2645/5232",25,"Upres_DEq_MS_BDM_vs_CM"
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","19/275","73/9521",0.26027397260274,9.01115815691158,11.8493538846635,1.19447310325649e-13,7.73421334358577e-12,6.06666602443428e-12,"126/316/125/127/2944/130/1571/124/2938/1559/1558/1576/2326/1548/2948/1557/1555/1549/2939",19,"Upres_DEq_MS_BDM_vs_CM"
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","10/275","17/9521",0.588235294117647,20.3657754010695,13.7820561242185,5.59195965449265e-12,2.74562406063202e-10,2.15364943589507e-10,"1109/6342/1582/570/6718/80270/51302/1593/10998/1581",10,"Upres_DEq_MS_BDM_vs_CM"
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","18/275","79/9521",0.227848101265823,7.88851553509781,10.6026656493236,6.36051905937921e-12,2.74562406063202e-10,2.15364943589507e-10,"126/125/127/2944/130/3290/1571/124/2938/22977/1559/1576/246181/1548/2948/1555/1549/2939",18,"Upres_DEq_MS_BDM_vs_CM"
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","16/275","68/9521",0.235294117647059,8.14631016042781,10.1990416485238,5.79589769266027e-11,2.1444821462843e-09,1.68211767621569e-09,"126/316/125/127/130/124/1559/1558/1576/1548/8608/8630/1551/1555/1549/157506",16,"Upres_DEq_MS_BDM_vs_CM"
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","13/275","47/9521",0.276595744680851,9.57624758220503,10.1645328841575,4.29206962138266e-10,1.38955753992264e-08,1.08995978543007e-08,"126/134526/3939/5313/125/127/130/55902/32/10327/39/124/5105",13,"Upres_DEq_MS_BDM_vs_CM"
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","11/275","35/9521",0.314285714285714,10.8811428571429,10.0996777444472,2.15607315806549e-09,6.20469942154403e-08,4.86692537434666e-08,"230/26007/3795/6652/5211/229/7167/2203/5207/4351/51171",11,"Upres_DEq_MS_BDM_vs_CM"
"hsa00030","Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","10/275","31/9521",0.32258064516129,11.1683284457478,9.77924176754925,8.91011335025087e-09,2.30771935771498e-07,1.8101598701036e-07,"230/5211/229/2821/5236/9104/2203/64080/23729/414328",10,"Upres_DEq_MS_BDM_vs_CM"
"hsa04922","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","16/275","107/9521",0.149532710280374,5.1770943075616,7.49353860422363,6.20948033078206e-08,1.40447243126222e-06,1.10165892799678e-06,"3939/5256/5211/5257/32/5261/5836/5565/2203/5207/5105/2998/91860/2645/2308/2538",16,"Upres_DEq_MS_BDM_vs_CM"
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","14/275","81/9521",0.172839506172839,5.98401795735129,7.76862194424318,6.50720817573228e-08,1.40447243126222e-06,1.10165892799678e-06,"1806/51733/7498/2944/1807/2990/1571/2938/3251/1576/1548/2948/1549/2939",14,"Upres_DEq_MS_BDM_vs_CM"
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","13/275","71/9521",0.183098591549296,6.33920614596671,7.78749598735112,9.52975523724596e-08,1.89862046649746e-06,1.48926539335099e-06,"2944/3290/1571/2938/1559/1558/1576/1548/2948/1557/1551/1549/2939",13,"Upres_DEq_MS_BDM_vs_CM"
"hsa00590","Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","12/275","63/9521",0.19047619047619,6.59463203463203,7.68333951112437,1.90337903553478e-07,3.52125121573935e-06,2.76204626961062e-06,"3248/2053/247/1571/1559/1558/145482/1557/8529/4051/1555/6916",12,"Upres_DEq_MS_BDM_vs_CM"
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","13/275","76/9521",0.171052631578947,5.92215311004785,7.42965778702821,2.20124906559136e-07,3.80082338658775e-06,2.98134083971321e-06,"6342/116519/1582/123/2168/5105/345/1622/1593/51703/10998/3158/1581",13,"Upres_DEq_MS_BDM_vs_CM"
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","14/275","90/9521",0.155555555555556,5.38561616161616,7.20909713931503,2.55523375079059e-07,4.13628463409227e-06,3.24447443356964e-06,"5244/570/6580/760/1576/64241/10864/8671/8647/366/10998/28234/64240/1581",14,"Upres_DEq_MS_BDM_vs_CM"
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","17/275","138/9521",0.123188405797101,4.26500658761528,6.66285901026473,4.29798231102954e-07,6.24107055040954e-06,4.89545464836026e-06,"2194/5313/5256/5257/32/5261/5836/5565/2203/5105/2998/91860/2645/5507/2308/90673/2538",17,"Upres_DEq_MS_BDM_vs_CM"
"hsa01240","Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","18/275","154/9521",0.116883116883117,4.04670602125148,6.57352816010566,4.33742354854717e-07,6.24107055040954e-06,4.89545464836026e-06,"122622/6470/554235/55191/4522/210/125061/10327/23498/9104/29968/2990/6999/4351/55163/57026/8564/8630",18,"Upres_DEq_MS_BDM_vs_CM"
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","9/275","37/9521",0.243243243243243,8.42152334152334,7.80020512464495,7.51023372691068e-07,1.02376343961572e-05,8.0303330154779e-06,"126/316/125/1644/127/6898/130/124/4282",9,"Upres_DEq_MS_BDM_vs_CM"
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","9/275","39/9521",0.230769230769231,7.98965034965035,7.54302688631377,1.21606772436921e-06,1.57480770305813e-05,1.23526879370135e-05,"10840/6470/27232/635/10841/875/4522/1491/23743",9,"Upres_DEq_MS_BDM_vs_CM"
"hsa00500","Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","9/275","40/9521",0.225,7.78990909090909,7.42121063968635,1.52984382066566e-06,1.81292867587023e-05,1.42204931698011e-05,"178/5836/2821/5236/2998/2548/57733/2645/2538",9,"Upres_DEq_MS_BDM_vs_CM"
"hsa04979","Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","10/275","51/9521",0.196078431372549,6.78859180035651,7.14810461930206,1.53993941579711e-06,1.81292867587023e-05,1.42204931698011e-05,"55908/64241/344/8647/345/1593/341/4018/64240/1581",10,"Upres_DEq_MS_BDM_vs_CM"
"hsa00340","Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","7/275","22/9521",0.318181818181818,11.0160330578512,8.11103027399396,1.82684981906657e-06,2.00571107765485e-05,1.5732665636553e-05,"10841/144193/443/131669/55748/3176/84735",7,"Upres_DEq_MS_BDM_vs_CM"
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","10/275","52/9521",0.192307692307692,6.65804195804196,7.05543270347378,1.85857397157206e-06,2.00571107765485e-05,1.5732665636553e-05,"3939/27232/635/6898/875/26227/1491/29968/23743/1036",10,"Upres_DEq_MS_BDM_vs_CM"
"hsa00380","Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","9/275","42/9521",0.214285714285714,7.41896103896104,7.18978659176035,2.37140203306064e-06,2.45677250625082e-05,1.92707617844507e-05,"64577/316/1644/125061/130013/23498/39/6999/8564",9,"Upres_DEq_MS_BDM_vs_CM"
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","12/275","88/9521",0.136363636363636,4.72115702479339,6.04786783803773,7.69869262593083e-06,7.66908226967725e-05,6.01557763888523e-05,"3827/10878/2161/4153/2160/731/729/735/2155/3080/713/10877",12,"Upres_DEq_MS_BDM_vs_CM"
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","13/275","110/9521",0.118181818181818,4.0916694214876,5.62444122732027,1.58959451218937e-05,0.000152483325428536,0.000119606916511715,"230/3939/5211/229/5163/7018/5230/2027/2597/2026/2023/5232/1536",13,"Upres_DEq_MS_BDM_vs_CM"
"hsa01250","Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","7/275","37/9521",0.189189189189189,6.55007371007371,5.83326514022499,7.60550756739531e-05,0.000703509449984066,0.00055182818064184,"6675/2821/2582/5236/4351/64841/2645",7,"Upres_DEq_MS_BDM_vs_CM"
"hsa00520","Metabolism","Glycan biosynthesis and metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","7/275","38/9521",0.184210526315789,6.3777033492823,5.72827212367282,9.09541513187588e-05,0.00081231466177788,0.000637174272396386,"6675/2821/2582/5236/4351/64841/2645",7,"Upres_DEq_MS_BDM_vs_CM"
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","7/275","41/9521",0.170731707317073,5.91104212860311,5.43462141675526,0.000150463046441335,0.00129899763427686,0.00101892519169045,"6470/27232/635/875/26227/1491/29968",7,"Upres_DEq_MS_BDM_vs_CM"
"hsa00071","Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","7/275","43/9521",0.162790697674419,5.63610993657505,5.25457358231553,0.000205285749594245,0.00171512932725515,0.00134533615184005,"126/125/127/130/39/124/51703",7,"Upres_DEq_MS_BDM_vs_CM"
"hsa04981","Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","6/275","31/9521",0.193548387096774,6.70099706744868,5.48285088705844,0.00022023383552233,0.00178251760625886,0.00139819507420427,"6470/635/4522/11309/23743/28234",6,"Upres_DEq_MS_BDM_vs_CM"
"hsa00052","Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","6/275","32/9521",0.1875,6.49159090909091,5.36624899075528,0.000264563910285521,0.00201535449305735,0.00158083079520451,"5211/2582/5236/2548/2645/2538",6,"Upres_DEq_MS_BDM_vs_CM"
"hsa00630","Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","6/275","32/9521",0.1875,6.49159090909091,5.36624899075528,0.000264563910285521,0.00201535449305735,0.00158083079520451,"48/6470/55902/125061/2752/39",6,"Upres_DEq_MS_BDM_vs_CM"
"hsa00220","Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","5/275","23/9521",0.217391304347826,7.52648221343873,5.40424302509379,0.00042534856109328,0.00306014659230999,0.00240035883891822,"383/2752/2875/27165/162417",5,"Upres_DEq_MS_BDM_vs_CM"
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","5/275","23/9521",0.217391304347826,7.52648221343873,5.40424302509379,0.00042534856109328,0.00306014659230999,0.00240035883891822,"10991/760/5105/27165/8671",5,"Upres_DEq_MS_BDM_vs_CM"
"hsa00140","Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","8/275","64/9521",0.125,4.32772727272727,4.60647687246779,0.000476170002384744,0.00333319001669321,0.00261453230327897,"1109/6718/3290/1571/1576/8630/1551/1581",8,"Upres_DEq_MS_BDM_vs_CM"
"hsa00040","Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","6/275","36/9521",0.166666666666667,5.77030303030303,4.94522922914887,0.00051616236351434,0.003518054003953,0.00275953839773594,"6652/55277/10327/51084/51181/2990",6,"Upres_DEq_MS_BDM_vs_CM"
"hsa00250","Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","6/275","37/9521",0.162162162162162,5.6143488943489,4.84979514801501,0.000601344419225382,0.00399354370716344,0.00313250939029686,"122622/443/2752/2875/27165/56954",6,"Upres_DEq_MS_BDM_vs_CM"
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","12/275","144/9521",0.0833333333333333,2.88515151515151,3.93100345987439,0.000925788351736089,0.00599447957749118,0.00470203031276488,"2194/126/125/127/130/32/5565/1571/124/2168/2308/713",12,"Upres_DEq_MS_BDM_vs_CM"
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","10/275","109/9521",0.0917431192660551,3.17631359466222,3.94095650040473,0.00117943255934459,0.00745056177732316,0.00584417160342764,"32/5836/5565/5105/2998/5507/10998/2308/90673/2538",10,"Upres_DEq_MS_BDM_vs_CM"
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","7/275","59/9521",0.11864406779661,4.10767334360555,4.12931271169309,0.00146688292600871,0.00904577804372039,0.00709544873984164,"26873/2944/51056/2877/2938/2948/2939",7,"Upres_DEq_MS_BDM_vs_CM"
"hsa00591","Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","5/275","30/9521",0.166666666666667,5.77030303030303,4.51292883786526,0.00152704418762145,0.0091977777812548,0.00721467633319316,"1571/1559/1558/1576/1557",5,"Upres_DEq_MS_BDM_vs_CM"
"hsa00410","Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","5/275","31/9521",0.161290322580645,5.5841642228739,4.40875316693574,0.00177835387071744,0.0104680375571776,0.00821105973800156,"1806/51733/1807/55748/84735",5,"Upres_DEq_MS_BDM_vs_CM"
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","10/275","122/9521",0.0819672131147541,2.83785394932936,3.52336765370794,0.00274833914091279,0.0158182186110314,0.0124077065309045,"2194/5211/32/5565/2203/5207/5105/2998/2308/2538",10,"Upres_DEq_MS_BDM_vs_CM"
"hsa00760","Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","5/275","38/9521",0.131578947368421,4.5555023923445,3.78728314242866,0.00445764792448064,0.0250984959226193,0.0196870949525118,"316/554235/55191/4837/54981",5,"Upres_DEq_MS_BDM_vs_CM"
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","5/275","42/9521",0.119047619047619,4.12164502164502,3.49651000911692,0.0068803603564276,0.0379151772832925,0.0297404154264396,"7018/1356/112483/51703/1536",5,"Upres_DEq_MS_BDM_vs_CM"
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","5/275","45/9521",0.111111111111111,3.84686868686869,3.30117876628682,0.00921441307592885,0.0497194372221994,0.0389995992029445,"5244/64241/8647/23460/64240",5,"Upres_DEq_MS_BDM_vs_CM"
